cycles_old,cycles_new,instructions_old,instructions_new,branches_old,branches_new,branch_misses_old,branch_misses_new,comm,dso,symbol
13956880,41584864,3148325,0,518828,478152,33695,32175,"g4run","libG4particles.so","G4TauPlus::Definition"
0,6979231,0,0,0,0,0,26014,"g4run","libG4particles.so","G4PDGCodeChecker::CheckForNuclei"
3489819,6977861,2923029,2892487,998673,1074655,0,0,"g4run","libG4particles.so","G4NucleiPropertiesTheoreticalTable::ElectronicBindingEnergy"
3491355,0,0,0,0,0,0,0,"g4run","libG4particles.so","std::_Rb_tree<int, std::pair<int const, G4ParticleDefinition*>, std::_Select1st<std::pair<int const, G4ParticleDefinition*> >, std::less<int>, std::allocator<std::pair<int const, G4ParticleDefinition*> > >::_M_erase"
73272393,48858190,33738020,32464361,8321118,4673217,305150,346784,"g4run","libG4particles.so","G4Ions::FloatLevelBase"
1984601108,2590143270,2215054708,2490052286,405017096,476596609,2817248,3458636,"g4run","libG4particles.so","G4KaonMinus::Definition"
3414133901,2710794575,3697458821,2798501463,608383442,461867445,9113009,6988398,"g4run","libG4particles.so","G4AntiKaonZero::Definition"
3491751,3490807,3479316,2879159,0,0,28826,20726,"g4run","libG4particles.so","G4Deuteron::Definition@plt"
3068226,3079658,0,0,0,0,0,0,"g4run","libG4particles.so","G4PrimaryParticle::G4PrimaryParticle"
3492017,3489430,3431993,0,0,475312,24225,7090,"g4run","libG4particles.so","G4NucleiProperties::BindingEnergy"
41953886357,38795231820,39818450748,37189883931,6585304597,6252695813,144669796,134101501,"g4run","libG4particles.so","G4DynamicParticle::operator="
53589176538,56631432675,53495273134,55467092537,8486594850,8949494134,113576410,115688982,"g4run","libG4particles.so","G4NucleiProperties::GetNuclearMass"
4302204759,3544058842,2914676259,2079472406,520370153,413869701,16938648,15697850,"g4run","libG4particles.so","G4NucleiProperties::GetBindingEnergy"
129092584761,131348490267,108004862450,105920953581,17525195783,17387925170,278957113,281896615,"g4run","libG4particles.so","G4IonTable::FindIon"
251033486,152910378,270112037,163085663,34889871,23708797,435527,207162,"g4run","libG4particles.so","G4NucleiPropertiesTableAME12::GetAtomicMass@plt"
6981861,6796065,0,3248299,2567940,0,58564,76804,"g4run","libG4particles.so","G4ParticleTable::FindParticle"
0,3491770,0,0,0,0,0,0,"g4run","libG4particles.so","G4SigmaMinus::SigmaMinus"
66288363,52327167,6390134,16534176,1558387,1386404,286030,280721,"g4run","libG4particles.so","G4DecayProducts::PushProducts"
41433559166,34903463301,37961860714,32324867155,5386066515,4500913657,90553764,75091958,"g4run","libG4particles.so","G4ParticleDefinition::GetTrackingManager"
5488801022,4202017620,4639240656,4050099133,836423714,677273727,16407837,11309578,"g4run","libG4particles.so","G4PionMinus::Definition"
2295239768,2156605955,2589909550,2075396377,379005510,331398615,4736755,3745043,"g4run","libG4particles.so","G4NucleiPropertiesTableAME12::GetIndex@plt"
721540805,786191479,642632998,626575511,91241553,114393854,1255274,1024621,"g4run","libG4particles.so","G4IonTable::GetNucleusEncoding@plt"
34894119,17275098,8575658,0,499790,0,60583,86988,"g4run","libG4particles.so","G4KaonZeroShort::Definition"
3413085626,7461124392,2824089401,5775122596,455592779,929846696,9164132,12955777,"g4run","libG4particles.so","G4IonTable::GetIon"
3491630,0,0,0,951116,0,16003,0,"g4run","libG4particles.so","pDynamicParticleAllocator@plt"
20938341,13783858,10181963,3516023,453155,447936,53691,45876,"g4run","libG4particles.so","G4MuonPlus::Definition"
20941261,13963164,26481860,20283927,1503311,1381975,70367,102582,"g4run","libG4particles.so","G4IonTable::GetNucleusMass"
3490523,0,0,0,0,0,0,0,"g4run","libG4particles.so","G4PrimaryParticle::~G4PrimaryParticle"
6975460,3386518,0,3139342,944797,1003904,31710,58548,"g4run","libG4particles.so","G4NeutrinoMu::Definition"
212759838,295953127,155899158,218448551,27130842,32083573,627395,872555,"g4run","libG4particles.so","G4AntiProton::Definition"
17264091,10463272,0,9936792,0,0,16808,49775,"g4run","libG4particles.so","G4PhaseSpaceDecayChannel::ThreeBodyDecayIt"
3490135,3490839,0,0,0,0,7668,0,"g4run","libG4particles.so","G4KaonZeroShort::Definition@plt"
6975251,3491329,3254338,2984258,555702,0,25080,25038,"g4run","libG4particles.so","pthread_mutex_lock@plt"
10464307,24350949,23033275,22442682,1453347,7650471,6437,27752,"g4run","libG4particles.so","G4NucleiPropertiesTheoreticalTable::IsInTable"
59327917,72868587,36040745,26189607,4518854,9207547,279585,261845,"g4run","libG4particles.so","G4MuonDecayChannel::DecayIt"
0,3490312,0,0,0,0,0,0,"g4run","libG4particles.so","G4NucleiPropertiesTableAME12::GetBindingEnergy@plt"
184963526,257541108,138049857,140593450,14639686,20109734,1037467,1056406,"g4run","libG4particles.so","G4DecayTable::SelectADecayChannel"
4682898069,4455477418,4974688735,4615340883,883809295,780753788,9465929,9091056,"g4run","libG4particles.so","G4KaonZero::Definition"
216267927,222067088,152651065,145946604,25561209,21745383,676125,655884,"g4run","libG4particles.so","G4AntiAlpha::Definition"
23855954996,25503475851,22112211610,24074174930,3798369388,3905597958,69760616,64363868,"g4run","libG4particles.so","G4Electron::Definition"
4372229177,4144099865,3726397034,3659321165,643480394,657647806,13847537,11307770,"g4run","libG4particles.so","G4PionZero::Definition"
0,3488880,0,0,0,475216,0,0,"g4run","libG4particles.so","pthread_mutex_unlock@plt"
34901918,34614512,10476609,10320030,5120689,910308,143203,169898,"g4run","libG4particles.so","G4VDecayChannel::G4VDecayChannel"
0,3491462,0,0,0,0,0,0,"g4run","libG4particles.so","G4PionMinus::PionMinusDefinition"
104542377,118242248,42378022,59523691,6906767,10814983,494648,428613,"g4run","libG4particles.so","G4PhaseSpaceDecayChannel::IsOKWithParentMass"
156991575,250929194,213864488,274018086,30397169,40502101,183811,320691,"g4run","libG4particles.so","G4NucleiPropertiesTheoreticalTable::GetIndex"
10471830,13900973,0,0,0,0,23424,63358,"g4run","libG4particles.so","G4NuclideTable::GetIsotope"
52337947,45338140,31927923,26798908,2467929,2995427,321085,365639,"g4run","libG4particles.so","G4DecayProducts::Boost"
293141898,306525933,175610064,189924889,31632637,29621686,954590,1032882,"g4run","libG4particles.so","G4AntiHe3::Definition"
2800445071,1812299898,2690404596,1281536369,394015229,196392294,8007669,5246050,"g4run","libG4particles.so","G4Electron::Definition@plt"
3491889,0,0,0,0,0,7770,0,"g4run","libG4particles.so","G4Deuteron::Deuteron"
6896722,3490402,0,2920254,0,0,30940,38138,"g4run","libG4particles.so","G4CacheReference<double>::cache@plt"
0,3490746,0,0,0,0,0,7736,"g4run","libG4particles.so","G4ParticleTable::GetParticleTable@plt"
55831737,45174849,15977729,3037354,1915143,3913800,309396,251032,"g4run","libG4particles.so","G4DecayProducts::PopProducts"
136308084,142611827,78073221,67487175,11933335,8027504,546936,468682,"g4run","libG4particles.so","G4VDecayChannel::IsOKWithParentMass"
69785688,62734324,39270988,69211765,9448576,9271564,125969,90652,"g4run","libG4particles.so","G4AntiLambda::Definition"
3488422,0,0,0,500992,0,0,0,"g4run","libG4particles.so","G4NucleiPropertiesTheoreticalTable::GetIndex@plt"
254631995,201949575,106453436,126544191,26820827,15600944,734700,792334,"g4run","libG4particles.so","G4AntiTriton::Definition"
3490113,10425446,0,6244057,483338,481026,13860,15722,"g4run","libG4particles.so","G4AntiKaonZero::AntiKaonZero"
13344384981,12099281448,11419743151,10612376513,1878419150,1780943223,37773298,36909705,"g4run","libG4particles.so","G4Gamma::Definition"
3489367,6953764,0,9603400,888674,456719,21773,43507,"g4run","libG4particles.so","G4IonTable::GetIonMass"
10485714,3491702,14627460,8493354,2043828,1951426,29230,89042,"g4run","libG4particles.so","G4VDecayChannel::~G4VDecayChannel"
20938820,27741967,13079757,9744711,3053291,1024917,44288,52978,"g4run","libG4particles.so","G4NeutrinoE::Definition"
23496145754,25886865324,25190822779,26146667450,4004233055,4326125882,46842600,50255975,"g4run","libG4particles.so","G4NucleiPropertiesTableAME12::GetNuclearMass"
20932069,20932120,14078396,6627519,1051046,428533,117603,50147,"g4run","libG4particles.so","G4Positron::Definition"
299826703,184652335,152538935,160809078,25984018,25998126,639798,618395,"g4run","libG4particles.so","G4He3::Definition"
11013504731,10502826020,9811362609,8867478244,1577123402,1431587381,43606061,38185986,"g4run","libG4particles.so","G4DynamicParticle::SetMomentum"
3487428,10463825,9538061,17615138,0,493925,70267,61278,"g4run","libG4particles.so","std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char*>"
3491821,0,0,0,0,0,0,0,"g4run","libG4particles.so","G4PionPlus::Definition@plt"
10473161,20936191,6888570,3009276,0,0,81254,53639,"g4run","libG4particles.so","std::_Rb_tree<int, std::pair<int const, G4ParticleDefinition const*>, std::_Select1st<std::pair<int const, G4ParticleDefinition const*> >, std::less<int>, std::allocator<std::pair<int const, G4ParticleDefinition const*> > >::_M_insert_equal<std::pair<int const, G4ParticleDefinition const*> >"
27903475,13954485,3027476,0,0,867479,28224,36012,"g4run","libG4particles.so","G4AntiNeutrinoTau::Definition"
86983450,45192133,7180116,3623888,2467185,556583,126176,173175,"g4run","libG4particles.so","G4IonTable::InsertWorker"
6979958,13777085,3105924,0,1065573,0,6635,0,"g4run","libG4particles.so","G4TauMinus::Definition"
3488713,14676210521,0,13061635411,0,2129086800,0,27348184,"g4run","libG4particles.so","G4IonTable::GetNucleusEncoding"
48821271,41871022,15554010,12826854,3578338,4622561,295453,232385,"g4run","libG4particles.so","G4DecayProducts::G4DecayProducts"
35515019218,34559407893,32953401720,32431227487,5833846870,5866031444,67369018,64457991,"g4run","libG4particles.so","G4DynamicParticle::SetDefinition"
85685401876,69814853038,77956515854,63151790567,11998270256,9790179955,224050599,183911176,"g4run","libG4particles.so","G4DynamicParticle::~G4DynamicParticle"
7695403693,6136443593,7080432939,5336018814,1214930270,942500110,21947295,17144967,"g4run","libG4particles.so","G4Electron::Electron"
80231926,55785798,22736689,0,3626791,3817433,364988,331807,"g4run","libG4particles.so","G4PhaseSpaceDecayChannel::Pmx"
3487668,3491901,0,0,969123,589530,8534,17139,"g4run","libG4particles.so","G4NucleiPropertiesTheoreticalTable::GetBindingEnergy"
282316164,275189038,209274985,163126258,36250499,31742013,865710,1070201,"g4run","libG4particles.so","G4AntiDeuteron::Definition"
1300433751,688209644,903818319,446915718,128461788,59936800,5141818,3052971,"g4run","libG4particles.so","G4Gamma::Definition@plt"
