cycles,instructions,branches,branch_misses,comm,dso,symbol
18339188,31774707,5439562,0,"g4run","libpythia8.so","Pythia8::Settings::attributeValue"
17730983,25860742,4073405,8728,"g4run","libstdc++.so.6.0.30","std::use_facet<std::ctype<char> >@plt"
17541265,41089844,1562326,33581,"g4run","libxerces-c-3.2.so","xercesc_3_2::BaseRefVectorOf<xercesc_3_2::XMLAttr>::elementAt"
17520326,48871809,14013906,23188,"g4run","libxerces-c-3.2.so","xercesc_3_2::DOMDocumentImpl::allocate"
17473899,17381746,4327309,132431,"g4run","libG4processes.so","pFragmentAllocator@plt"
17465148,8195744,6170913,5340,"g4run","libxerces-c-3.2.so","xercesc_3_2::XMLReader::handleEOL"
17461166,13450850,0,0,"g4run","libicuuc.so.71.1","0x00000000000d7578"
17460752,34030891,7595406,17810,"g4run","libG4global.so","G4UnitDefinition::GetValueOf"
17460472,6750281,0,0,"g4run","libG4persistency.so","G4GDMLRead::AuxiliaryRead"
17460460,50160993,9389123,67493,"g4run","libG4geometry.so","G4BoundingEnvelope::CheckBoundingPolygons"
17460398,8212651,3114462,34587,"g4run","libxerces-c-3.2.so","non-virtual thunk to xercesc_3_2::DOMTextImpl::getChildNodeImpl()"
17459423,26531960,6991889,28837,"g4run","libG4processes.so","G4EmModelManager::FillDEDXVector"
17459338,90421946,18837597,93695,"g4run","libxerces-c-3.2.so","xercesc_3_2::IGXMLScanner::buildAttList"
17458752,18538436,19773465,21002,"g4run","libG4geometry.so","G4PVPlacement::IsRegularStructure"
17458432,40582152,7375929,18351,"g4run","libxerces-c-3.2.so","xercesc_3_2::ArrayJanitor<char16_t>::reset"
17456503,94394839,6132124,7864,"g4run","libstdc++.so.6.0.30","std::basic_streambuf<char, std::char_traits<char> >::xsgetn"
17456230,0,4310501,58375,"g4run","libG4processes.so","G4FTFModel::GetProjectileNucleus"
17455934,13064202,2379140,91658,"g4run","libG4particles.so","G4AntiNeutrinoE::Definition"
17455745,17369072,1092151,7294,"g4run","libG4processes.so","G4BinaryCascade::CorrectShortlivedPrimaryForFermi"
17455298,0,984570,64548,"g4run","libG4particles.so","G4KaonZeroLong::Definition"
17454070,6708796,449563,76536,"g4run","libG4processes.so","G4VParticipants::SetProjectileNucleus"
17453681,0,0,54827,"g4run","libG4processes.so","G4ExcitedString::G4ExcitedString"
17453505,37907069,7396351,72258,"g4run","libG4geometry.so","G4CutTubs::SurfaceNormal"
