id,cycles_old,cycles_new,overhead_old,overhead_new,ratio
"all",,,,,
"all;ksoftirqd/26",,,,,
"all;ksoftirqd/26;[kernel.vmlinux]",,,,,
"all;awk;[kernel.vmlinux];terminate_walk",0,398657,0.0000,0.0000,0.000
"all;awk;[kernel.vmlinux];fput_many",0,6964952,0.0000,0.0000,0.000
"all;awk;[kernel.vmlinux];get_unmapped_area",6614287,0,0.0000,0.0000,0.000
"all;awk;[kernel.vmlinux];get_page_from_freelist",8482929,1071722,0.0000,0.0000,0.126
"all;awk;[kernel.vmlinux];syscall_enter_from_user_mode",6814304,0,0.0000,0.0000,0.000
"all;awk;[kernel.vmlinux];page_counter_try_charge",0,9684998,0.0000,0.0000,0.000
"all;awk;[kernel.vmlinux];strncpy_from_user",0,14250410,0.0000,0.0000,0.000
"all;awk;[kernel.vmlinux];__x64_sys_prlimit64",0,6641281,0.0000,0.0000,0.000
"all;awk;[kernel.vmlinux];security_inode_permission",0,6655224,0.0000,0.0000,0.000
"all;awk;[kernel.vmlinux];fput",0,6848591,0.0000,0.0000,0.000
"all;awk;[kernel.vmlinux];d_path",0,6896983,0.0000,0.0000,0.000
"all;awk;[kernel.vmlinux];mark_page_accessed",6388400,6954901,0.0000,0.0000,1.089
"all;awk;[kernel.vmlinux];vm_area_dup",6588346,0,0.0000,0.0000,0.000
"all;awk;[kernel.vmlinux];__do_sys_brk",6807385,0,0.0000,0.0000,0.000
"all;awk;[kernel.vmlinux];switch_mm_irqs_off",6917442,0,0.0000,0.0000,0.000
"all;awk;[kernel.vmlinux];xas_find",0,6164566,0.0000,0.0000,0.000
"all;awk;[kernel.vmlinux];get_random_u32",6492835,0,0.0000,0.0000,0.000
"all;awk;[kernel.vmlinux];__mem_cgroup_charge",6968918,0,0.0000,0.0000,0.000
"all;awk;[kernel.vmlinux];psi_task_change",0,6363218,0.0000,0.0000,0.000
"all;awk;[kernel.vmlinux];get_acl",0,6561367,0.0000,0.0000,0.000
"all;awk;[kernel.vmlinux];asm_exc_page_fault",13930881,0,0.0000,0.0000,0.000
