cycles,instructions,branches,branch_misses,comm,dso,symbol
78439172518,66399007410,11715757950,204230124,"g4run","libG4processes.so","G4NucleiModel::generateInteractionLength"
76865733600,81786073646,11640389446,141607715,"g4run","libG4geometry.so","G4Navigator::ComputeSafety"
75466066435,68015415390,11308723607,97540088,"g4run","libG4tracking.so","G4SteppingManager::GetProcessNumber"
75123745389,65076389631,8910777342,210575382,"g4run","libG4processes.so","G4UniversalFluctuation::SampleFluctuations"
73845055174,68211672642,11644552189,294878767,"g4run","libG4processes.so","G4SeltzerBergerModel::SampleEnergyTransfer"
73543518187,83088459534,12376436258,148173067,"g4run","libG4geometry.so","G4NormalNavigation::ComputeSafety"
72679457168,65896705951,9568110143,197920815,"g4run","libG4event.so","G4EventManager::StackTracks"
71421659162,77995160418,8402745441,63939794,"g4run","libG4processes.so","G4VMscModel::GetRange"
71343248728,63655187082,7827559442,213967885,"g4run","libG4track.so","G4ParticleChangeForLoss::UpdateStepForAlongStep"
71155777707,62461893956,9730024996,153857702,"g4run","libG4processes.so","G4SauterGavrilaAngularDistribution::SampleDirection"
69814853038,63151790567,9790179955,183911176,"g4run","libG4particles.so","G4DynamicParticle::~G4DynamicParticle"
68376130667,66183474093,11751344610,133640634,"g4run","libG4particles.so","G4DynamicParticle::Set4Momentum"
66390359171,60523581509,8460794950,109956733,"g4run","libG4geometry.so","G4Navigator::ResetHierarchyAndLocate"
66161408121,86446830898,9415919842,74680564,"g4run","libG4processes.so","G4UrbanMscModel::ComputeTheta0"
65436057410,69241317995,12071978385,165942263,"g4run","libG4geometry.so","G4PolyhedraSide::ClosestPhiSegment"
64705048115,47933135935,6871670062,162842989,"g4run","libG4geometry.so","field_utils::absoluteError"
63968910030,66943874320,11172366678,151770417,"g4run","libG4geometry.so","G4PropagatorInField::FindAndSetFieldManager"
63604031822,56583321361,10246016402,84129180,"g4run","libG4geometry.so","G4PropagatorInField::ClearPropagatorState"
62883516200,57951130786,10110880846,74019519,"g4run","libG4processes.so","G4Transportation::StartTracking"
62565575207,58364408820,9979768332,254551200,"g4run","libG4global.so","G4Physics2DVector::Value"
62524525492,51219495009,8262430175,215769424,"g4run","libG4event.so","G4StackManager::PushOneTrack"
61657095357,58634875576,8800818560,116051182,"g4run","libG4processes.so","G4HadronElasticProcess::PostStepDoIt"
61586193356,58018038755,7141534306,106358850,"g4run","libG4processes.so","G4VMultipleScattering::AlongStepDoIt"
61304956629,57133232336,8295650355,197018598,"g4run","libG4clhep.so","CLHEP::MixMaxRng::flatArray"
60719200151,56296485583,9476874075,151038765,"g4run","libstdc++.so.6.0.30","__dynamic_cast"
60256824352,52110477922,10588805513,133564735,"g4run","libG4processes.so","G4LorentzConvertor::fillKinematics"
59978513011,53292634988,8704482317,124058262,"g4run","libG4processes.so","G4ElectroNuclearCrossSection::IsElementApplicable"
59345136508,50454471867,8249431272,126927977,"g4run","libG4processes.so","G4NucleiModel::generateInteractionPartners"
59330741441,58920065179,9480374507,165216505,"g4run","libG4geometry.so","G4VPhysicalVolume::GetRotation"
59257651750,49351710859,9600284123,95077562,"g4run","libG4processes.so","G4VMultipleScattering::StartTracking"
59045531432,60907661308,10049865011,164224175,"g4run","libG4geometry.so","G4Polyhedra::Inside"
59042876421,51971497223,8706569182,142066921,"g4run","libG4processes.so","G4CascadeCheckBalance::collide"
58712099962,70025353489,11812655595,193080102,"g4run","libG4geometry.so","G4VCSGfaceted::DistanceToOut"
57829209948,51193761184,9369306523,69466679,"g4run","libG4geometry.so","G4FieldTrack::G4FieldTrack"
57590016305,54029640592,7966674677,108462756,"g4run","libG4tracking.so","G4TrackingManager::ProcessOneTrack"
56631432675,55467092537,8949494134,115688982,"g4run","libG4particles.so","G4NucleiProperties::GetNuclearMass"
56320418269,46165838853,8146011525,183000781,"g4run","libG4particles.so","G4DynamicParticle::G4DynamicParticle"
56203248129,50277022085,7675598906,120340759,"g4run","libG4geometry.so","G4Tubs::DistanceToOut"
56121233746,51135854976,8661103018,139997710,"g4run","libstdc++.so.6.0.30","__cxxabiv1::__si_class_type_info::__do_dyncast"
55996265705,50053400508,7383167219,152810862,"g4run","libG4clhep.so","CLHEP::MixMaxRng::modadd"
55051142876,45599482258,7279709534,105501911,"g4run","libG4processes.so","G4ChipsNeutronElasticXS::CalculateCrossSection"
54445744279,49923136481,9143308823,96020651,"g4run","libG4processes.so","G4LorentzConvertor::setBullet"
54251005782,44435215716,6868975089,164155379,"g4run","libG4track.so","G4Track::G4Track"
53817556133,60819333846,7522913800,123944687,"g4run","libG4geometry.so","G4MultiLevelLocator::EstimateIntersectionPoint"
53760516824,48970531005,7457974116,121441945,"g4run","libG4geometry.so","G4Tubs::Inside"
53744777500,51555845967,7451478951,99975768,"g4run","libG4geometry.so","G4Tubs::DistanceToOut"
53608474808,48773330303,8441906187,129998425,"g4run","libG4processes.so","G4InuclElementaryParticle::type"
51822044585,47510673619,8192148279,120017365,"g4run","libG4clhep.so","CLHEP::operator/"
51473810443,46345691689,8275292859,97382400,"g4run","libG4clhep.so","CLHEP::HepLorentzVector::boostVector"
50981057851,48345554273,8160265636,124090834,"g4run","libG4geometry.so","G4FieldTrack::G4FieldTrack"
50787294124,53375023047,7660449482,126346441,"g4run","libG4geometry.so","G4VoxelNavigation::ComputeVoxelSafety"
50768212327,44956914396,6696119539,60089887,"g4run","libG4processes.so","G4ChipsNeutronElasticXS::GetChipsCrossSection"
50401871270,57626175619,8652038535,106242119,"g4run","libG4processes.so","G4CrossSectionDataStore::SampleZandA"
50036127396,42381212793,7216288410,112300917,"g4run","libG4geometry.so","G4IntegrationDriver<G4TDormandPrince45<G4Mag_UsualEqRhs, 6u> >::QuickAdvance"
49774159403,40159222412,7606479777,82236311,"g4run","libG4processes.so","G4VEnergyLossProcess::StartTracking"
49754612553,38613558989,6066096638,175497710,"g4run","libG4processes.so","G4SeltzerBergerModel::SampleSecondaries"
