cycles,comm,dso,symbol
45943937430,"g4run","libG4processes.so","G4ElementaryParticleCollider::collide"
45938352412,"g4run","libG4processes.so","G4SauterGavrilaAngularDistribution::SampleDirection"
45448950249,"g4run","libG4processes.so","G4InuclParticle::setMomentum"
45363185422,"g4run","libG4event.so","G4StackManager::PushOneTrack"
45079738755,"g4run","libG4processes.so","G4NucleiModel::generateParticleFate"
45063707849,"g4run","libG4geometry.so","G4Navigator::SetupHierarchy"
45008999683,"g4run","libG4processes.so","G4HadProjectile::InitialiseLocal"
45001718512,"g4run","libG4processes.so","CLHEP::MixMaxRng::generate@plt"
44567486758,"g4run","libG4geometry.so","G4TouchableHistory::G4TouchableHistory"
44559408465,"g4run","libG4geometry.so","G4Tubs::Inside"
44475005821,"g4run","libG4processes.so","G4ChipsNeutronElasticXS::CalculateCrossSection"
44446059386,"g4run","libG4processes.so","G4VMscModel::GetEnergy"
44402147248,"g4run","libc.so.6","__memset_avx2_unaligned"
43946232569,"g4run","libG4processes.so","G4InuclSpecialFunctions::G4cbrt"
43829123979,"g4run","libG4geometry.so","G4Tubs::DistanceToOut"
42880175161,"g4run","libG4processes.so","G4NucleiModel::boundaryTransition"
42398133711,"g4run","libm.so.6","__ieee754_pow_fma"
42321527995,"g4run","libG4geometry.so","G4LogicalVolume::GetMaterialCutsCouple"
42297066439,"g4run","libG4processes.so","G4NucleiModel::generateInteractionLength"
42271949550,"g4run","libG4geometry.so","G4Navigator::RestoreSavedState"
41220851844,"g4run","libG4geometry.so","G4Polyhedra::Inside"
41145671845,"g4run","libG4processes.so","G4InuclElementaryParticle::makeDefinition"
40440673721,"g4run","libG4geometry.so","G4LogicalVolume::GetSolid@plt"
40270667539,"g4run","libG4track.so","G4ParticleChange::Initialize"
40093098716,"g4run","libG4clhep.so","CLHEP::operator/"
39940398829,"g4run","libG4particles.so","G4DynamicParticle::operator="
39939241077,"g4run","libG4clhep.so","CLHEP::RandGaussQ::transformQuick"
39917620335,"g4run","libG4processes.so","G4LorentzConvertor::toTheCenterOfMass"
39859939774,"g4run","libG4processes.so","G4EmModelManager::GetModel"
39749579177,"g4run","libG4geometry.so","G4PolyhedraSide::ClosestPhiSegment@plt"
39745453755,"g4run","libG4event.so","G4StackManager::PopNextTrack"
39539701931,"g4run","libG4geometry.so","G4UnionSolid::Inside"
39374147578,"g4run","libG4geometry.so","G4PolyhedraSide::GetPhi@plt"
39299036771,"g4run","libG4processes.so","G4ChipsNeutronElasticXS::GetChipsCrossSection"
39117220298,"g4run","libG4geometry.so","G4VPhysicalVolume::GetRotation"
39084337313,"g4run","libG4processes.so","G4IntraNucleiCascader::generateCascade"
38674442276,"g4run","libG4geometry.so","G4FieldManagerStore::GetInstance"
38226277793,"g4run","libG4processes.so","G4CascadeInterpolator<30>::getBin"
37762106267,"g4run","libG4geometry.so","G4SubtractionSolid::DistanceToOut"
37421944224,"g4run","libG4geometry.so","field_utils::absoluteError"
36695414483,"g4run","libG4processes.so","CLHEP::HepRandom::getTheEngine@plt"
36240879996,"g4run","libG4processes.so","G4PhysicsVector::Value"
34732949549,"g4run","libG4processes.so","G4NucleiModel::zoneIntegralWoodsSaxon"
34456878365,"g4run","libG4processes.so","G4CrossSectionDataStore::SampleZandA"
33897276891,"g4run","libG4geometry.so","G4LineSection::Dist"
33612083291,"g4run","libG4processes.so","G4CollisionOutput::getTotalOutputMomentum"
33291399727,"g4run","libG4processes.so","G4RayleighAngularGenerator::SampleDirection"
32430352907,"g4run","libG4processes.so","G4ChipsNeutronElasticXS::GetExchangeT"
31828295536,"g4run","libG4processes.so","G4ProcessManager::GetAttribute@plt"
31735967147,"g4run","libm.so.6","__ieee754_log_fma"
31629680931,"g4run","libG4track.so","G4ParticleChange::UpdateStepForPostStep"
30954875847,"g4run","libG4processes.so","G4SeltzerBergerModel::SampleSecondaries"
30587466365,"g4run","libG4geometry.so","G4IntegrationDriver<G4TDormandPrince45<G4Mag_UsualEqRhs, 6u> >::AccurateAdvance"
30435717604,"g4run","libG4global.so","G4Physics2DVector::Value"
30423526523,"g4run","libG4geometry.so","G4PolyhedraSide::Normal"
30018765958,"g4run","libG4processes.so","G4EquilibriumEvaporator::deExcite"
29820305213,"g4run","libG4geometry.so","G4PolyhedraSide::PhiSegment@plt"
29604040998,"g4run","libG4processes.so","G4CollisionOutput::reset"
29195403025,"g4run","libG4processes.so","G4UrbanMscModel::SampleDisplacement"
29061558722,"g4run","libG4geometry.so","G4Box::DistanceToIn"
28968345267,"g4run","libG4processes.so","G4LogicalVolume::GetSensitiveDetector@plt"
28962228156,"g4run","libG4processes.so","G4WentzelOKandVIxSection::SetupTarget"
28471542861,"g4run","libG4geometry.so","G4LogicalVolume::GetMaterial"
28231132121,"g4run","libG4geometry.so","G4Box::DistanceToOut"
27995070349,"g4run","libG4processes.so","G4LorentzConvertor::setTarget"
27836310973,"g4run","libG4processes.so","G4NumIntTwoBodyAngDst<11, 19>::GetCosTheta"
27771194417,"g4run","libG4particles.so","G4NucleiPropertiesTableAME12::IsInTable"
27604312843,"g4run","libG4processes.so","G4PhysicsVector::Value"
27526831246,"g4run","libG4processes.so","G4WentzelVIModel::ComputeTransportXSectionPerVolume"
27303102079,"g4run","libG4processes.so","G4InuclSpecialFunctions::generateWithRandomAngles"
27169128204,"g4run","libG4geometry.so","G4VoxelSafety::SafetyForVoxelHeader"
27140978127,"g4run","libG4particles.so","G4DynamicParticle::SetDefinition"
27057032216,"g4run","libG4geometry.so","G4VoxelSafety::SafetyForVoxelNode"
27054956667,"g4run","libG4processes.so","G4LorentzConvertor::setBullet"
26777418809,"g4run","libG4geometry.so","G4PropagatorInField::FindAndSetFieldManager"
26715002227,"g4run","libG4processes.so","G4PropagatorInField::ClearPropagatorState@plt"
26622843836,"g4run","libG4physicslists.so","G4VEmProcess::CurrentSetup"
26589128255,"g4run","libG4processes.so","G4VEnergyLossProcess::StartTracking"
26574584433,"g4run","libG4processes.so","G4CascadeFunctions<G4CascadeNNChannelData, G4PionNucSampler>::getMultiplicity"
26404050095,"g4run","libG4processes.so","G4NucleiModel::inverseMeanFreePath"
26286509931,"g4run","libG4processes.so","G4LorentzConvertor::getKinEnergyInTheTRS"
26230809148,"g4run","libG4processes.so","G4VMscModel::GetRange@plt"
26118324257,"g4run","libG4geometry.so","G4PolyPhiFace::Intersect"
25891641774,"g4run","libG4processes.so","G4ElementaryParticleCollider::generateSCMfinalState"
25818652666,"g4run","libG4processes.so","G4InuclParticle::G4InuclParticle"
25600820374,"g4run","libG4geometry.so","G4IntersectingCone::HitOn"
25466853022,"g4run","libG4processes.so","G4UrbanMscModel::StartTracking"
25379112813,"g4run","libG4processes.so","G4ElectroNuclearCrossSection::IsElementApplicable"
25279706548,"g4run","libG4processes.so","G4WentzelOKandVIxSection::ComputeTransportCrossSectionPerAtom"
25177900131,"g4run","libG4processes.so","G4InuclSpecialFunctions::inuclRndm"
25152360976,"g4run","libG4track.so","G4ParticleChangeForGamma::UpdateStepForPostStep"
25119200842,"g4run","libG4processes.so","G4TwoBodyAngularDist::passVerbose"
24765399261,"g4run","libG4geometry.so","G4Box::DistanceToOut"
24688331124,"g4run","libG4geometry.so","G4DisplacedSolid::DistanceToIn"
24667189375,"g4run","libG4processes.so","G4WentzelVIModel::SampleScattering"
24583952900,"g4run","libG4geometry.so","G4VoxelNavigation::ComputeVoxelSafety"
24365772231,"g4run","libG4track.so","G4Track::~G4Track"
24301281924,"g4run","libG4processes.so","sincos@plt"
24273578452,"g4run","libG4geometry.so","G4VCSGfaceted::SurfaceNormal"
23822578003,"g4run","libG4geometry.so","G4PolyhedraSide::DistanceAway@plt"
23701067809,"g4run","libG4processes.so","G4NucleiModel::generateNucleonMomentum"
23279026403,"g4run","libG4processes.so","G4NeutronCaptureXS::IsoCrossSection@plt"
22969170961,"g4run","libG4track.so","G4DynamicParticle::~G4DynamicParticle@plt"
22805978473,"g4run","libG4track.so","G4ParticleChangeForMSC::UpdateStepForAlongStep"
22633030026,"g4run","libG4processes.so","G4Proton::Definition@plt"
22629099898,"g4run","libG4geometry.so","atan2@plt"
22491286194,"g4run","libG4processes.so","G4DynamicParticle::G4DynamicParticle@plt"
22429168480,"g4run","libG4processes.so","G4HadFinalState::Clear"
22374732820,"g4run","libG4processes.so","G4CascadParticle::getPathToTheNextZone"
22368378707,"g4run","libG4processes.so","G4ModifiedTsai::SampleCosTheta"
22314101176,"g4run","libG4processes.so","G4VEnergyLossProcess::GetLambdaForScaledEnergy"
22247416611,"g4run","libG4processes.so","G4VMscModel::GetRange@plt"
22247255309,"g4run","libG4particles.so","G4NucleiPropertiesTableAME12::GetNuclearMass"
21921889555,"g4run","libG4processes.so","G4CascadeFunctions<G4CascadeNPChannelData, G4PionNucSampler>::getMultiplicity"
21904462220,"g4run","libG4geometry.so","G4Trap::DistanceToOut"
21697484153,"g4run","libG4clhep.so","CLHEP::MixMaxRng::generate@plt"
21679478823,"g4run","libG4geometry.so","G4SubtractionSolid::DistanceToIn"
21551718196,"g4run","libG4geometry.so","G4Tubs::DistanceToIn"
21469778687,"g4run","libG4geometry.so","G4FieldManagerStore::ClearAllChordFindersState"
21457963498,"g4run","libG4global.so","std::__lower_bound<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double, __gnu_cxx::__ops::_Iter_less_val>"
21192228913,"g4run","g4run","ffunkti"
21057350253,"g4run","libG4processes.so","G4GEMProbability::I3"
20943406316,"g4run","libG4geometry.so","G4LogicalVolume::GetSolid"
20513747012,"g4run","libG4processes.so","G4UrbanMscModel::SimpleScattering"
20410798961,"g4run","libG4geometry.so","aNavigLevelRepAllocator"
20327829864,"g4run","libG4processes.so","G4CascadeChannelTables::GetTable"
20304032094,"g4run","libG4geometry.so","G4PropagatorInField::RefreshIntersectionLocator"
20021996458,"g4run","libG4processes.so","G4UrbanMscModel::ComputeCrossSectionPerAtom"
19939188908,"g4run","libG4processes.so","G4InuclElementaryParticle::type@plt"
19836374798,"g4run","libG4physicslists.so","G4GammaGeneralProcess::StartTracking"
19681182362,"g4run","libG4processes.so","G4LorentzConvertor::rotate"
19663539230,"g4run","libG4geometry.so","G4DisplacedSolid::DistanceToIn"
19606432859,"g4run","libG4geometry.so","G4NormalNavigation::ComputeStep@plt"
19506121749,"g4run","libG4track.so","G4ParticleChangeForLoss::UpdateStepForPostStep"
19499720697,"g4run","libG4processes.so","G4NeutronInelasticXS::IsoCrossSection@plt"
19415556427,"g4run","libm.so.6","__strtod_nan@plt"
19327542116,"g4run","libG4tracking.so","G4Step::UpdateTrack@plt"
19300764239,"g4run","libG4processes.so","G4NeutronElasticXS::SelectIsotope"
19221827399,"g4run","libG4processes.so","G4VProcess::EndTracking"
19197590955,"g4run","libG4processes.so","G4TouchableHistory::G4TouchableHistory@plt"
19088588168,"g4run","libG4geometry.so","G4EnclosingCylinder::MustBeOutside@plt"
18626491800,"g4run","libG4geometry.so","G4Polycone::Inside"
18464973300,"g4run","libc.so.6","__strcmp_avx2"
18453283660,"g4run","libG4processes.so","G4CascadeNNChannel::findCrossSection"
18444207790,"g4run","libG4geometry.so","G4SubtractionSolid::DistanceToIn"
