cycles,instructions,cache_references,cache_misses,L1_dcache_loads,L1_dcache_load_misses,comm,dso,symbol
320085275,300234016,74752569,7677330,174743656,30655139,"g4run","libG4geometry.so","memset@plt"
319939768,229661779,59665808,5550871,188900540,29175081,"g4run","libG4processes.so","G4HadronicProcess::UpdateCrossSectionAndMFP@plt"
319891502,280245491,26856432,5207973,192868604,5639799,"g4run","libG4processes.so","G4CollisionOutput::addOutgoingParticles@plt"
316928478,252830017,35983223,3783597,107006456,8275591,"g4run","libG4processes.so","G4LorentzConvertor::setTarget@plt"
316865893,282998620,36207797,6502046,186460343,8292042,"g4run","libG4particles.so","G4SigmaPlus::Definition"
313149566,556956185,2429126,90174,294335131,343065,"g4run","libstdc++.so.6.0.30","std::num_get<char, std::istreambuf_iterator<char, std::char_traits<char> > >::do_get"
310108096,337270349,48700695,4607013,221613429,20646362,"g4run","libG4track.so","G4DynamicParticle::~G4DynamicParticle@plt"
309986802,291918631,16894981,2505740,104683130,5967977,"g4run","libG4processes.so","G4ComponentAntiNuclNuclearXS::GetInelasticElementCrossSection"
306855509,358681673,86073647,7527254,273170404,35008068,"g4run","libG4tracking.so","G4Step::InitializeStep@plt"
306789205,275745397,33704789,3381024,144082200,8306548,"g4run","libG4processes.so","G4IonFluctuations::Factor"
306691104,226290092,60977241,8838907,137922205,21401744,"g4run","libG4processes.so","G4CrossSectionDataStore::ComputeCrossSection@plt"
303158456,157874595,31427171,15660859,118643866,2701894,"g4run","libG4processes.so","G4CascadeDeexciteBase::explosion"
299931437,411896521,30132386,2425356,240444120,4756526,"g4run","libG4processes.so","G4CascadeSampler<31, 6>::findMultiplicity"
299871130,318861885,53559349,8570879,188373280,17322556,"g4run","libG4event.so","G4Track::~G4Track@plt"
299705333,268513657,21318758,5347322,141352554,6655769,"g4run","libG4processes.so","G4PionZero::Definition@plt"
