cycles,instructions,cache_references,cache_misses,L1_dcache_loads,L1_dcache_load_misses,comm,dso,symbol
506910786,138789315,48111557,23281076,165546189,20245846,"g4run","libG4processes.so","G4PhysicsVector::Value"
506140907,459234489,13029853,2684171,264246089,4432814,"g4run","libG4processes.so","G4eBremsstrahlungRelModel::ComputeRelDXSectionPerAtom"
505058452,403411334,60908909,13402708,234763311,39834045,"g4run","libG4geometry.so","G4CutTubs::DistanceToIn"
501891765,352088770,99711645,24449109,217936405,30879813,"g4run","libG4processes.so","G4HadronicInteraction::GetMinEnergy"
501789386,260356259,71918617,24661133,167892809,20876302,"g4run","libG4processes.so","std::__final_insertion_sort<__gnu_cxx::__normal_iterator<G4InuclElementaryParticle*, std::vector<G4InuclElementaryParticle, std::allocator<G4InuclElementaryParticle> > >, __gnu_cxx::__ops::_Iter_comp_iter<G4ParticleLargerEkin> >"
501605441,442744956,51126671,14866981,282331695,11785642,"g4run","libG4processes.so","G4InuclElementaryParticle::~G4InuclElementaryParticle"
501402464,469372365,87436077,6096942,305160041,30360125,"g4run","libG4track.so","G4DynamicParticle::~G4DynamicParticle@plt"
499901379,620996691,43824682,11491721,254979534,30560574,"g4run","libpythia8.so","Pythia8::Sigma2Process::set2KinMPI"
484451315,646087486,7334059,1178821,452625433,1810209,"g4run","libG4processes.so","std::__unguarded_linear_insert<__gnu_cxx::__normal_iterator<G4Nucleon*, std::vector<G4Nucleon, std::allocator<G4Nucleon> > >, __gnu_cxx::__ops::_Val_comp_iter<bool (*)(G4Nucleon const&, G4Nucleon const&)> >"
474085785,325174524,80679030,4595203,175076689,19493656,"g4run","libG4processes.so","G4NucleiModel::generateInteractionLength@plt"
470719866,296168988,45758919,21059506,137988605,5214075,"g4run","libG4processes.so","G4InuclSpecialFunctions::csNN"
467291320,652303658,15304291,4225273,382673923,6834749,"g4run","libG4processes.so","G4FTFParticipants::GetList"
460645853,387486605,111441439,9946411,257455494,49750496,"g4run","libG4geometry.so","G4ChordFinderDelegate<G4IntegrationDriver<G4TDormandPrince45<G4Mag_UsualEqRhs, 6u> > >::FindNextChord@plt"
456911426,394582104,60177211,5738896,211700003,17795288,"g4run","libG4processes.so","G4LorentzConvertor::toTheCenterOfMass@plt"
456609912,634556988,8237334,2902952,406515478,1198548,"g4run","libG4processes.so","G4CascadeCoalescence::tryClusters"
453254951,401995616,56129336,12201780,191026387,22955450,"g4run","libG4processes.so","G4HadronNucleonXsc::HadronNucleonXscPDG"
453227244,637086981,73618957,5300642,359281769,14129625,"g4run","libG4processes.so","non-virtual thunk to G4CascadeNPChannel::findCrossSection(double, double const (&) [30]) const"
449490464,1102515990,23466993,715931,515853400,2942876,"g4run","libstdc++.so.6.0.30","__cxxabiv1::__vmi_class_type_info::__do_dyncast"
446742690,529514531,16107197,4280792,235077799,4006178,"g4run","libG4processes.so","G4eBremsstrahlungRelModel::GetLPMFunctions"
438863170,354136205,78679314,17836771,192028127,27843809,"g4run","libG4processes.so","G4BGGPionInelasticXS::IsIsoApplicable"
435879821,331389569,78154773,6632719,238579891,31232354,"g4run","libG4tracking.so","G4SteppingManager::GetProcessNumber@plt"
435874518,782262852,8899843,634465,471720985,566470,"g4run","libG4processes.so","G4CascadeCoalescence::fillCluster"
435606827,449202654,23527073,4448910,212820953,9759366,"g4run","libG4processes.so","G4VEmissionProbability::SampleEnergy"
432864170,427922970,215167,4206,280163441,129109,"g4run","libG4processes.so","G4MuBremsstrahlungModel::ComputeMicroscopicCrossSection"
428972283,424219344,97310391,7539599,266871378,35954407,"g4run","libG4processes.so","G4PropagatorInField::ComputeStep@plt"
421910002,336267241,77126654,11695868,238182261,27626181,"g4run","libG4tracking.so","G4SteppingManager::Stepping@plt"
414981145,367460513,94128079,4667155,245712679,33195220,"g4run","libG4tracking.so","G4SteppingManager::SetInitialStep@plt"
413381948,537657856,10531941,1012392,192513007,720996,"g4run","libstdc++.so.6.0.30","std::locale::id::_M_id"
411519133,349398700,92850284,7660174,250914057,26983983,"g4run","libG4particles.so","G4IonTable::GetLightIon@plt"
411331555,571863035,16501667,4617092,221111458,3726300,"g4run","libG4processes.so","G4VPreCompoundFragment::Initialize"
410948866,389063428,80567252,11751335,230906911,45541712,"g4run","libG4processes.so","G4CrossSectionDataStore::ComputeCrossSection@plt"
404645487,691458717,15858851,4787900,202364794,3204612,"g4run","libG4processes.so","G4CascadeFinalStateAlgorithm::FillMagnitudes"
404445439,340381523,84020045,4940820,205955292,35483895,"g4run","libG4processes.so","CLHEP::HepLorentzRotation::rotateY@plt"
404288419,239861930,53269496,18293757,151125512,12544128,"g4run","libG4processes.so","G4CascadeSampler<30, 8>::findFinalStateIndex"
399845825,208591649,89542015,26623770,175584324,12795993,"g4run","libG4processes.so","G4Fragment::operator="
397236260,451488258,13484914,3017777,253123736,1904097,"g4run","libG4processes.so","G4CoulombBarrier::GetCoulombBarrier"
385734657,355105265,27929662,6618045,213476332,18529114,"g4run","libpythia8.so","Pythia8::Sigma2Process::sigmaHatWrap"
383558269,291325766,81297209,7284246,254008347,26148786,"g4run","libG4tracking.so","G4Step::InitializeStep@plt"
382871032,590993658,9974264,4072524,184600697,2270101,"g4run","libG4processes.so","G4InuclParamMomDst::GetMomentum"
372763417,208450638,67809504,25630769,97096372,13333619,"g4run","libG4processes.so","G4EquilibriumEvaporator::getQF"
371744253,397968675,13882252,2949727,234901642,5997707,"g4run","libG4processes.so","G4Fancy3DNucleus::GetNextNucleon"
370992712,678211641,2313910,292773,409518937,308501,"g4run","libc.so.6","str_to_mpn.part.0.constprop.0"
369588522,214551605,39510313,24110476,137282838,8587873,"g4run","libG4processes.so","G4CascadeDeexciteBase::explosion"
369550104,483238824,67022964,4603119,286076962,13603263,"g4run","libG4processes.so","G4InuclParticle::setDefinition@plt"
369351170,348462715,46816767,9994607,244521781,9551579,"g4run","libG4processes.so","G4HadronicInteraction::GetFatalEnergyCheckLevels"
369101390,455728825,5535004,549026,210249812,217061,"g4run","libG4processes.so","G4KalbachCrossSection::ComputePowerParameter"
366592383,873852816,11864767,155842,450878057,5524278,"g4run","libG4geometry.so","G4BoundingEnvelope::TransformVertices"
358978784,341244831,54439520,6846918,213745898,12511807,"g4run","libG4particles.so","G4SigmaZero::Definition"
356340732,399769268,41836071,10741975,262639600,25487809,"g4run","libpythia8.so","Pythia8::Sigma2qg2QQbarX8q::sigmaKin"
355446247,256556604,38576899,6713013,197188623,16153753,"g4run","libm.so.6","hypot@@GLIBC_2.35"
355172831,230588097,32777670,18964942,94569376,7534072,"g4run","libG4processes.so","G4CascadeDeexciteBase::explosion"
354838832,227610452,34167158,11293882,146360718,6698572,"g4run","libG4processes.so","G4Diproton::Definition"
352207263,151864130,31069915,11804629,71288810,6900685,"g4run","libG4processes.so","G4Fragment::G4Fragment"
