cycles_old,cycles_new,comm,dso,symbol
13218373,19043982,"fgrep","libc.so.6","__GI___memmem"
6960824,2187118,"fgrep","libc.so.6","mblen"
49526341,42883222,"fgrep","libc.so.6","_int_malloc"
0,6926210,"fgrep","libc.so.6","__gconv_lookup_cache"
13291594,28392715,"fgrep","libc.so.6","msort_with_tmp.part.0"
6808755,0,"fgrep","libc.so.6","__strrchr_avx2"
0,3303759,"fgrep","libc.so.6","tcgetpgrp"
0,3514511,"fgrep","libc.so.6","_nl_load_locale_from_archive"
6808858,0,"fgrep","libc.so.6","_IO_no_init"
0,6951481,"fgrep","libc.so.6","pthread_rwlock_wrlock@@GLIBC_2.34"
6671229,0,"fgrep","libc.so.6","__gconv_read_conf"
16797657,0,"fgrep","libc.so.6","__strlen_avx2"
0,6651833,"fgrep","libc.so.6","_IO_setvbuf"
0,6862624,"fgrep","libc.so.6","__cxa_atexit"
6821318,0,"fgrep","libc.so.6","__rawmemchr"
6371495,0,"fgrep","libc.so.6","@plt"
20784380,6560654,"fgrep","libc.so.6","__strcmp_avx2"
3110465,0,"fgrep","libc.so.6","_nl_find_locale"
0,18647065,"fgrep","libc.so.6","__memset_avx2_unaligned_erms"
20138036,6234073,"fgrep","libc.so.6","__mbrtowc"
0,12740096,"fgrep","libc.so.6","_nl_intern_locale_data"
6967873,0,"fgrep","libc.so.6","__vfprintf_internal"
0,6965466,"fgrep","libc.so.6","__strchrnul_avx2"
0,1607395,"fgrep","libc.so.6","__wcsnlen_ifunc"
16208472,13075044,"fgrep","libc.so.6","__gconv_transform_utf8_internal"
0,3358631,"fgrep","libc.so.6","__memset_avx2_unaligned"
6483103,0,"fgrep","libc.so.6","_dl_mcount_wrapper_check"
0,6533008,"fgrep","[vdso]","__vdso_gettimeofday"
0,6968655,"fgrep","bash","bind_variable_internal"
0,6648132,"fgrep","bash","strlen@plt"
6659372,0,"fgrep","bash","execute_builtin"
0,6301576,"fgrep","bash","copy_word_list"
0,6777776,"fgrep","bash","initialize_shell_builtins"
9450556,20626530,"fgrep","bash","main"
0,6962145,"fgrep","bash","yyparse"
6683546,0,"fgrep","bash","getppid@plt"
0,3579024,"fgrep","bash","getenv"
0,6469965,"fgrep","bash","create_variable_tables"
0,6426960,"fgrep","bash","read_command"
6967711,0,"fgrep","bash","dispose_words"
6870851,0,"fgrep","bash","sh_canonpath"
0,6831957,"fgrep","bash","seedrand32"
6964804,0,"fgrep","bash","_init"
6891608,0,"fgrep","bash","set_line_mbstate"
6714816,0,"fgrep","bash","executing_line_number"
0,6769409,"fgrep","bash","do_redirections"
6932624,0,"fgrep","bash","array_insert"
6605051,0,"fgrep","bash","bind_variable"
0,3539339,"fgrep","bash","find_variable"
6478655,0,"fgrep","bash","new_shell_variable"
6643884,0,"fgrep","bash","maybe_make_export_env"
6865611,0,"fgrep","bash","get_string_value"
3345756,0,"fgrep","bash","make_word_flags"
0,5245489,"fgrep","bash","free@plt"
6586054,0,"fgrep","bash","strcmp@plt"
0,6594731,"fgrep","bash","reserved_word_acceptable"
0,13420217,"fgrep","bash","make_new_variable"
0,10388898,"fgrep","bash","expand_word_internal"
10895521,6534806,"fgrep","bash","xmalloc"
85016405,40974253,"fgrep","bash","flatten.constprop.0"
0,6862989,"fgrep","bash","adjust_shell_level"
6810170,0,"fgrep","bash","shell_getc"
0,6488050,"fgrep","bash","set_default_locale"
0,6457391,"fgrep","bash","fcntl@plt"
6853116,0,"fgrep","bash","get_edit_mode"
24093009,27859016,"fgrep","bash","hash_search"
6535461,0,"fgrep","bash","list_string"
0,6969509,"fgrep","bash","execute_command_internal"
3667294,0,"fgrep","bash","getopts_reset"
6830673,0,"fgrep","bash","xtrace_init"
13099626,0,"fgrep","bash","unquoted_glob_pattern_p"
0,6344989,"fgrep","bash","unbind_variable"
0,6356035,"fgrep","bash","shell_builtin_compare"
0,6849816,"fgrep","bash","initialize_shell_variables"
6604065,0,"fgrep","bash","add_temp_array_to_env.part.0.constprop.0"
26505336,27072532,"fgrep","bash","mbschr"
0,619665,"fgrep","bash","strvec_create"
13579913,0,"fgrep","bash","locale_setblanks"
12587468,10074821,"fgrep","bash","read_token.part.0"
0,3234618,"fgrep","bash","array_create"
13502471,6423240,"fgrep","bash","hash_insert"
0,6506738,"fgrep","bash","legal_identifier"
0,6671077,"fgrep","bash","find_flag"
0,2565484,"fgrep","[kernel.vmlinux]","find_vma"
0,6426843,"fgrep","[kernel.vmlinux]","__x64_sys_sysinfo"
6955122,0,"fgrep","[kernel.vmlinux]","down_write_killable"
46482775,49990307,"fgrep","[kernel.vmlinux]","vma_interval_tree_insert"
0,6463113,"fgrep","[kernel.vmlinux]","generic_permission"
0,13693555,"fgrep","[kernel.vmlinux]","vtime_user_exit"
0,6549396,"fgrep","[kernel.vmlinux]","down_read"
0,5954337,"fgrep","[kernel.vmlinux]","memcg_account_kmem"
0,6505251,"fgrep","[kernel.vmlinux]","tracer_hardirqs_off"
0,6944035,"fgrep","[kernel.vmlinux]","trace_hardirqs_on_prepare"
6412579,0,"fgrep","[kernel.vmlinux]","down_write"
6954872,0,"fgrep","[kernel.vmlinux]","get_mem_cgroup_from_mm"
13863745,20290154,"fgrep","[kernel.vmlinux]","__mod_memcg_lruvec_state"
0,6018080,"fgrep","[kernel.vmlinux]","__get_locked_pte"
33456812,6588158,"fgrep","[kernel.vmlinux]","mmap_region"
13519038,0,"fgrep","[kernel.vmlinux]","prepend_path"
6554570,5660286,"fgrep","[kernel.vmlinux]","__get_user_8"
6617804,13785464,"fgrep","[kernel.vmlinux]","__mod_node_page_state"
13876015,6232402,"fgrep","[kernel.vmlinux]","__rb_insert_augmented"
0,6916285,"fgrep","[kernel.vmlinux]","__do_sys_newuname"
13315578,0,"fgrep","[kernel.vmlinux]","__mem_cgroup_uncharge_list"
33453946,41509447,"fgrep","[kernel.vmlinux]","folio_memcg_lock.part.0"
0,6485454,"fgrep","[kernel.vmlinux]","PageHuge"
5723141,0,"fgrep","[kernel.vmlinux]","__memset"
13605499,0,"fgrep","[kernel.vmlinux]","propagate_protected_usage"
29094793,13329495,"fgrep","[kernel.vmlinux]","native_sched_clock"
0,6326278,"fgrep","[kernel.vmlinux]","free_unref_page_list"
0,6926492,"fgrep","[kernel.vmlinux]","kthread_blkcg"
6833128,0,"fgrep","[kernel.vmlinux]","arch_get_unmapped_area_topdown"
32823109,32886121,"fgrep","[kernel.vmlinux]","release_pages"
6523757,37416088,"fgrep","[kernel.vmlinux]","__rcu_read_lock"
0,3331921,"fgrep","[kernel.vmlinux]","do_dentry_open"
0,6478500,"fgrep","[kernel.vmlinux]","vmacache_update"
0,8414303,"fgrep","[kernel.vmlinux]","btrfs_permission"
0,20387726,"fgrep","[kernel.vmlinux]","inode_permission"
0,6783168,"fgrep","[kernel.vmlinux]","fget"
0,6112828,"fgrep","[kernel.vmlinux]","do_syscall_64"
0,6847665,"fgrep","[kernel.vmlinux]","do_mprotect_pkey.constprop.0"
6887594,0,"fgrep","[kernel.vmlinux]","step_into"
6947307,0,"fgrep","[kernel.vmlinux]","flush_signal_handlers"
6950115,0,"fgrep","[kernel.vmlinux]","change_protection"
47410470,22175782,"fgrep","[kernel.vmlinux]","unmap_page_range"
11047670,8245855,"fgrep","[kernel.vmlinux]","__mod_lruvec_state"
0,2631764,"fgrep","[kernel.vmlinux]","__x64_sys_openat"
0,3555806,"fgrep","[kernel.vmlinux]","__irqentry_text_end"
0,13681644,"fgrep","[kernel.vmlinux]","policy_nodemask"
6941258,0,"fgrep","[kernel.vmlinux]","__init_rwsem"
2803575,12990424,"fgrep","[kernel.vmlinux]","_find_next_bit"
6966026,3605717,"fgrep","[kernel.vmlinux]","tty_paranoia_check"
20396842,4618703,"fgrep","[kernel.vmlinux]","kmem_cache_free"
1066973,0,"fgrep","[kernel.vmlinux]","__x64_sys_close"
0,6923089,"fgrep","[kernel.vmlinux]","try_charge_memcg"
105401981,84179644,"fgrep","[kernel.vmlinux]","do_set_pte"
