id,cycles,instructions,branches,branch_misses
"all;g4run;libG4particles.so;G4XiZero::Definition",264128108,209870503,38024661,889348
"all;g4run;libG4particles.so;G4DynamicParticle::G4DynamicParticle",3489687,3215941,0,17921
"all;g4run;libG4particles.so;G4TauPlus::Definition",41584864,0,478152,32175
"all;g4run;libG4particles.so;std::_Rb_tree<int, std::pair<int const, G4ParticleDefinition*>, std::_Select1st<std::pair<int const, G4ParticleDefinition*> >, std::less<int>, std::allocator<std::pair<int const, G4ParticleDefinition*> > >::_M_erase",0,0,0,10545
"all;g4run;libG4particles.so;G4NucleiPropertiesTheoreticalTable::ElectronicBindingEnergy",6977861,2892487,1074655,0
"all;g4run;libG4particles.so;G4PDGCodeChecker::CheckForNuclei",6979231,0,0,26014
"all;g4run;libG4particles.so;G4Ions::FloatLevelBase",48858190,32464361,4673217,346784
"all;g4run;libG4particles.so;G4KaonMinus::Definition",2590143270,2490052286,476596609,3458636
"all;g4run;libG4particles.so;G4AntiKaonZero::Definition",2710794575,2798501463,461867445,6988398
"all;g4run;libG4particles.so;G4Deuteron::Definition@plt",3490807,2879159,0,20726
"all;g4run;libG4particles.so;G4PrimaryParticle::G4PrimaryParticle",3079658,0,0,0
"all;g4run;libG4particles.so;G4NucleiProperties::BindingEnergy",3489430,0,475312,7090
"all;g4run;libG4particles.so;G4DynamicParticle::operator=",38795231820,37189883931,6252695813,134101501
"all;g4run;libG4particles.so;G4NucleiProperties::GetNuclearMass",56631432675,55467092537,8949494134,115688982
"all;g4run;libG4particles.so;G4NucleiProperties::GetBindingEnergy",3544058842,2079472406,413869701,15697850
"all;g4run;libG4particles.so;G4IonTable::FindIon",131348490267,105920953581,17387925170,281896615
"all;g4run;libG4particles.so;G4DecayProducts::operator[]",0,0,0,6381
"all;g4run;libG4particles.so;G4NucleiPropertiesTableAME12::GetAtomicMass@plt",152910378,163085663,23708797,207162
"all;g4run;libG4particles.so;G4ParticleTable::FindParticle",6796065,3248299,0,76804
"all;g4run;libG4particles.so;G4SigmaMinus::SigmaMinus",3491770,0,0,0
"all;g4run;libG4particles.so;G4DecayProducts::PushProducts",52327167,16534176,1386404,280721
"all;g4run;libG4particles.so;G4ParticleDefinition::GetTrackingManager",34903463301,32324867155,4500913657,75091958
"all;g4run;libG4particles.so;G4PionMinus::Definition",4202017620,4050099133,677273727,11309578
"all;g4run;libG4particles.so;G4NucleiPropertiesTableAME12::GetIndex@plt",2156605955,2075396377,331398615,3745043
"all;g4run;libG4particles.so;G4IonTable::GetNucleusEncoding@plt",786191479,626575511,114393854,1024621
"all;g4run;libG4particles.so;G4KaonZeroShort::Definition",17275098,0,0,86988
"all;g4run;libG4particles.so;G4IonTable::GetIon",7461124392,5775122596,929846696,12955777
"all;g4run;libG4particles.so;std::_Rb_tree<int, std::pair<int const, G4ParticleDefinition*>, std::_Select1st<std::pair<int const, G4ParticleDefinition*> >, std::less<int>, std::allocator<std::pair<int const, G4ParticleDefinition*> > >::_M_emplace_unique<std::pair<int, G4ParticleDefinition*> >",0,0,0,4946
"all;g4run;libG4particles.so;operator delete[]@plt",0,3053246,0,15488
"all;g4run;libG4particles.so;pDynamicParticleAllocator@plt",0,3219256,0,0
"all;g4run;libG4particles.so;G4MuonPlus::Definition",13783858,3516023,447936,45876
"all;g4run;libG4particles.so;G4IonTable::GetNucleusMass",13963164,20283927,1381975,102582
"all;g4run;libG4particles.so;G4DalitzDecayChannel::DecayIt",0,0,0,20912
"all;g4run;libG4particles.so;G4NeutrinoMu::Definition",3386518,3139342,1003904,58548
"all;g4run;libG4particles.so;G4AntiProton::Definition",295953127,218448551,32083573,872555
"all;g4run;libG4particles.so;G4PhaseSpaceDecayChannel::ThreeBodyDecayIt",10463272,9936792,0,49775
"all;g4run;libG4particles.so;G4KaonZeroShort::Definition@plt",3490839,0,0,0
