cycles_old,cycles_new,instructions_old,instructions_new,cache_references_old,cache_references_new,cache_misses_old,cache_misses_new,L1_dcache_loads_old,L1_dcache_loads_new,L1_dcache_load_misses_old,L1_dcache_load_misses_new,comm,dso,symbol
38274929,31397804,18989868,46145159,514375,735787,645430,630857,7778076,13467158,776382,988268,"g4run","libG4processes.so","G4Fancy3DNucleus::StartLoop"
3491434,3492284,0,0,19431,0,0,0,0,0,0,47569,"g4run","libG4processes.so","G4ICRU73QOModel::GetNumberOfShells"
20869119,17441321,10536714,0,1663802,1281620,1836734,1574836,1872628,0,510937,268342,"g4run","libG4processes.so","G4ChipsProtonElasticXS::GetQ2max"
188208315,142931252,126683234,142888539,34332610,21018798,8726936,6281098,67003036,64157995,9479262,9728845,"g4run","libG4processes.so","G4PropagatorInField::ClearPropagatorState@plt"
156680549,146360900,294821667,269394583,12898669,10863005,2180945,1602584,121160322,142102124,9217692,4716033,"g4run","libG4processes.so","G4BGGNucleonElasticXS::GetIsoCrossSection"
24421746,34715570,20236835,9988909,5743791,3886350,1730935,1717291,15598899,10091672,988928,495766,"g4run","libG4processes.so","G4InuclSpecialFunctions::G4cbrt@plt"
170681353,131942011,80623051,46195523,10506543,15000046,2478368,2689313,59082931,50607350,3087510,1687032,"g4run","libG4processes.so","G4LundStringFragmentation::Quark_Diquark_lastSplitting"
3485189,0,3605544,0,0,0,0,0,0,0,0,0,"g4run","libG4processes.so","G4VCrossSectionSource::FindKeyParticle"
52076537,62679804,54676986,25981656,10512714,6723868,3100992,3146935,27228926,18221068,3455375,1071778,"g4run","libG4processes.so","G4LorentzConvertor::rotate@plt"
27769973,20935134,31039870,25357884,1896607,3061896,67309,151581,9077517,13276358,243153,440731,"g4run","libG4processes.so","G4EmCorrections::BlochCorrection"
20818489,27910865,22950012,29980834,0,601041,0,85130,2040572,4077475,0,0,"g4run","libG4processes.so","G4AntiNuclElastic::BesselJone"
3488623,0,0,0,0,0,0,0,0,0,0,0,"g4run","libG4processes.so","G4MuonMinusBoundDecay::GetMuonDecayRate"
20856409,31397110,26367613,26618261,0,576788,147356,136085,14476604,15937941,108148,258180,"g4run","libG4processes.so","std::vector<double, std::allocator<double> >::reserve@plt"
3490984,0,0,0,0,0,0,0,0,0,0,0,"g4run","libG4processes.so","G4NumIntTwoBodyAngDst<15, 19>::GetCosTheta"
29625240871,28862731378,24236212271,24161362480,3152047546,3294962567,931070908,941984128,13851740669,13910023566,604349256,642768174,"g4run","libG4processes.so","G4CollisionOutput::reset"
10418205,3490747,9791332,0,1279458,624409,64141,311714,0,0,749262,301502,"g4run","libG4processes.so","G4VLongitudinalStringDecay::PossibleHadronMass"
27406897363,25219285767,21823709568,19565124157,5230145167,4864757244,818469954,647700000,10092296964,9273728051,635877074,559111028,"g4run","libG4processes.so","G4NucleiModel::passFermi"
2133068888,2593250469,1923096024,2942808105,406650823,568300748,38989244,61282893,982352516,1360259109,95582418,136264090,"g4run","libG4processes.so","G4NucleiModel::passTrailing"
