id,cycles,instructions,cache_references,cache_misses,L1_dcache_loads,L1_dcache_load_misses
"all",,,,,,
"all;g4run",,,,,,
"all;g4run;libicuuc.so.71.1",,,,,,
"all;g4run;libc.so.6;_IO_file_close_it@@GLIBC_2.2.5",0,0,0,0,0,16849
"all;g4run;libc.so.6;__libc_alloca_cutoff",3490714,0,0,0,0,0
"all;g4run;libc.so.6;__memmove_avx_unaligned_erms",6479817722,6330810814,808555827,133667001,3923274946,209971235
"all;g4run;libc.so.6;__memcmp_avx2_movbe",2849507380,2030857046,272803311,125798489,1211359916,66949723
"all;g4run;libc.so.6;_IO_file_close",0,0,101173,0,0,0
"all;g4run;libc.so.6;__uselocale",0,63516,0,0,3796969,0
"all;g4run;libc.so.6;__memset_avx2_unaligned_erms",69098675,32479997,3724156,1202927,21730636,2571003
"all;g4run;libc.so.6;__GI___pthread_enable_asynccancel",0,0,163833,0,0,0
"all;g4run;libc.so.6;str_to_mpn.part.0.constprop.0",370992712,678211641,2313910,292773,409518937,308501
"all;g4run;libc.so.6;__vfprintf_internal",17447621,3022159,274116,224171,0,157990
"all;g4run;libc.so.6;_IO_file_open",0,0,0,42766,0,0
"all;g4run;libc.so.6;__strchrnul_avx2",0,6109590,0,0,0,0
"all;g4run;libc.so.6;__pthread_clockjoin_ex",39368,0,0,0,0,0
"all;g4run;libc.so.6;__memchr_avx2",198632162,419522982,5134062,268879,196383984,197564
"all;g4run;libc.so.6;__strstr_sse2",0,0,93130,63473,0,0
"all;g4run;libc.so.6;pthread_once@GLIBC_2.2.5",64924667,84900791,1415829,12275,57186427,136421
"all;g4run;libc.so.6;round_away",13228013,6927086,125081,0,11856028,150343
"all;g4run;libc.so.6;__memset_avx2_unaligned",56844413398,40635943647,12323832458,1021528594,27446387229,5575360816
"all;g4run;libc.so.6;__GI___printf_fp_l",26085185,24090044,1078343,314990,11521314,106257
"all;g4run;libc.so.6;__strchr_avx2",0,0,114063,18399,0,0
"all;g4run;libc.so.6;toupper",0,0,1850,1454,0,0
"all;g4run;libc.so.6;__errno_location",3490084,0,0,9229,0,0
"all;g4run;libc.so.6;pthread_join@@GLIBC_2.34",0,0,1132,0,0,0
"all;g4run;libG4run.so",,,,,,
"all;g4run;libG4run.so;virtual thunk to G4VModularPhysicsList::ConstructProcess()",0,0,0,0,0,193217
"all;g4run;libG4run.so;G4RunManagerKernel::PropagateGenericIonID",3492354,0,0,0,0,0
"all;g4run;libG4run.so;G4RunManagerKernel::CheckRegularGeometry",10471502,46712,283790,73023,0,2759
"all;g4run;libG4run.so;G4RunManager::RunTermination",0,0,0,51829,0,0
"all;g4run;libG4run.so;G4MTRunManager::SetUpNEvents",0,0,0,59082,0,0
"all;g4run;libG4run.so;G4PhysicsListHelper::AddTransportation",0,3910194,0,0,98615,1927
"all;g4run;libG4run.so;G4PhysicsListHelper::GetPhysicsListHelper",0,5157743,0,0,0,0
"all;g4run;libG4run.so;G4WorkerRunManagerKernel::SetupShadowProcess",16611045,3377549,334030,380764,1109584,633924
"all;g4run;libG4run.so;std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char*>",0,0,0,0,0,160149
"all;g4run;libG4run.so;G4RunManagerKernel::SetupShadowProcess",0,0,0,0,76331,0
"all;g4run;libG4run.so;G4PhysicsListHelper::ReadInDefaultOrderingParameter",0,0,0,8338,0,0
"all;g4run;libG4run.so;std::vector<G4String, std::allocator<G4String> >::emplace_back<char const*&>",0,1045780,0,0,0,58212
"all;g4run;libG4run.so;G4RunManagerKernel::CheckRegions",0,8411525,0,0,0,0
"all;g4run;libG4run.so;G4PhysicsListHelper::CheckParticleList",0,0,0,154447,0,0
