cycles,instructions,stalled_cycles_frontend,stalled_cycles_backend,comm,dso,symbol
2652656310,4468417505,174013189,274303591,"g4run","libG4processes.so","G4InuclCollider::collide"
2564247705,3587948372,61614426,298785766,"g4run","libG4processes.so","G4OpticalParametersMessenger::SetNewValue"
2550480400,4161027458,42606339,536438451,"g4run","libG4geometry.so","G4Navigator::PrintState"
2536949941,4212815043,51154384,355676319,"g4run","libG4geometry.so","G4PolyhedraSide::DistanceAway"
2369853359,3437615762,69405830,376776552,"g4run","libG4geometry.so","G4LogicalSkinSurface::DumpInfo"
2202591068,3830723586,31286537,526466371,"g4run","libG4geometry.so","G4TDormandPrince45<G4Mag_UsualEqRhs, 6u>::StepWithError"
2115018915,3671158053,19474768,975963802,"g4run","libG4processes.so","G4F18GEMProbability::G4F18GEMProbability"
2077272450,2979332776,62439236,276697110,"g4run","libG4processes.so","G4ThreadLocalSingleton<G4LossTableManager>::G4ThreadLocalSingleton"
2031355449,3628997432,46113262,404250997,"g4run","libG4tracking.so","G4SteppingManager::Stepping"
1954702474,2900747334,52602185,193662394,"g4run","libG4processes.so","std::map<G4String, bool, std::less<G4String>, std::allocator<std::pair<G4String const, bool> > >::operator[]"
1854339961,3140646726,39577166,379872787,"g4run","libG4processes.so","G4VEmProcess::StreamInfo"
1713864617,2671166131,41987624,306245198,"g4run","libG4geometry.so","G4PolyhedraSide::IntersectSidePlane"
1711746844,2693412474,22287025,298274806,"g4run","libG4processes.so","G4PairProductionRelModel::SampleSecondaries"
1697538566,2377291442,42214465,218626823,"g4run","libG4processes.so","G4LossTableManager::Register"
1675484458,2925304053,43068898,315028904,"g4run","libG4geometry.so","G4ReflectedSolid::CreatePolyhedron"
1661584410,2716671631,35012107,385373751,"g4run","libG4processes.so","G4VEmAdjointModel::ComputeAdjointCrossSectionVectorPerAtomForSecond"
1652936223,2773739493,115566127,185340027,"g4run","libG4processes.so","G4LightTargetCollider::collide"
1633098375,2284217698,38348734,473899268,"g4run","libG4geometry.so","G4VoxelSafety::SafetyForVoxelHeader"
1623407613,2691763392,22550075,372499599,"g4run","libG4processes.so","G4PEEffectFluoModel::SampleSecondaries"
1616089548,2509708601,28326803,207947859,"g4run","libG4geometry.so","G4PolyhedraSide::Inside"
1609031667,2552873197,92469484,204639754,"g4run","libG4particles.so","G4OmegacZero::Definition"
1596851031,2370827000,31761839,232452267,"g4run","libG4particles.so","0x000000000006f80c"
1578238860,2636837155,27708254,361927503,"g4run","libG4processes.so","G4ProcessManager::AddProcess"
1522944317,2137357564,91388979,135250867,"g4run","libCLHEP-2.4.5.3.so","CLHEP::operator/"
1486288523,2470351073,42353600,221221240,"g4run","libCLHEP-2.4.5.3.so","CLHEP::(anonymous namespace)::theDefaults"
1464263072,2258141927,26399507,242647631,"g4run","libG4processes.so","G4CacheReference<G4NuclearPolarizationStore*>::Destroy"
1460047884,1970888917,44244014,138344988,"g4run","libG4processes.so","G4PairProductionRelModel::ComputeRelDXSectionPerAtom"
1434531907,2275612008,16404832,280394215,"g4run","libG4track.so","std::vector<G4Track const*, std::allocator<G4Track const*> >::_M_realloc_insert<G4Track const* const&>"
1431021022,2154042925,103215053,167175838,"g4run","libG4particles.so","G4LambdacPlus::Definition"
1411621033,2420309937,29038108,386129593,"g4run","libG4processes.so","G4GoudsmitSaundersonTable::LoadMSCData"
1396492680,2064445164,67470378,237387460,"g4run","libG4processes.so","G4RKPropagation::Init"
1383910139,2363884492,42041959,269538841,"g4run","libCLHEP-2.4.5.3.so","CLHEP::MixMaxRng::generate"
1358433491,1704332965,38137458,200927288,"g4run","libG4processes.so","G4LossTableManager::Register"
1350854057,2319305567,36714726,290407435,"g4run","libG4particles.so","G4NucleiPropertiesTheoreticalTable::GetIndex"
1309283722,2084056067,19447488,245235614,"g4run","libG4geometry.so","G4RegularNavigation::ComputeStepSkippingEqualMaterials"
1271895293,1772382453,61973601,117131162,"g4run","libG4particles.so","G4DynamicParticle::operator="
1251266732,1910018568,32812049,314405064,"g4run","libG4processes.so","std::vector<bool, std::allocator<bool> >::_M_insert_aux"
1214633952,2138734965,21485955,299339963,"g4run","libG4processes.so","G4ParallelWorldProcessStore::SetParallelWorld"
1207746618,1990144036,23519563,200597608,"g4run","libG4processes.so","std::vector<std::function<void ()>, std::allocator<std::function<void ()> > >::_M_realloc_insert<G4ThreadLocalSingleton<G4NuclearPolarizationStore>::G4ThreadLocalSingleton()::{lambda()#1}>"
1204345609,1444605820,29339967,218831186,"g4run","libG4processes.so","G4LossTableManager::BuildTables"
1202699944,2057911124,23809686,282860572,"g4run","libG4processes.so","G4ParallelWorldScoringProcess::~G4ParallelWorldScoringProcess"
1193697347,1994266016,22694489,150174554,"g4run","libG4geometry.so","G4PolyPhiFace::Diagonalie"
1178838749,1594429920,36811716,116909413,"g4run","libG4processes.so","G4PairProductionRelModel::ComputeLPMfunctions"
1155977338,1715114030,33918991,166233492,"g4run","libG4processes.so","G4HadronNucleonXsc::HadronNucleonXscPDG"
1123885178,1656213342,53319551,98302626,"g4run","libG4processes.so","G4LightTargetCollider::AbsorptionOnDeuteron"
