ibs_fetch__pp,dummy_HG,comm,dso,symbol
326717691,g4run,"libG4geometry.so","[.]","std::_Rb_tree<G4String, std::pair<G4String const, std::vector<G4VSolid*, std::allocator<G4VSolid*> > >, std::_Select1st<std::pair<G4String const, std::vector<G4VSolid*, std::allocator<G4VSolid*> > > >, std::less<G4String>, std::allocator<std::pair<G4String const, std::vector<G4VSolid*, std::allocator<G4VSolid*> > > > >::_M_emplace_unique<std::pair<G4String, std::vector<G4VSolid*, std::allocator<G4VSolid*> > > >"
324189058,g4run,"libG4processes.so","[.]","G4ElasticHadrNucleusHE::GetQ2_2"
320622303,g4run,"libG4particles.so","[.]","G4NuclideTable::GetIsotope"
317421312,g4run,"libG4tracking.so","[.]","std::vector<G4String, std::allocator<G4String> >::_M_realloc_insert<char const*&>"
316601110,g4run,"libG4track.so","[.]","std::vector<G4Track const*, std::allocator<G4Track const*> >::_M_realloc_insert<G4Track const* const&>"
313505186,g4run,"libG4processes.so","[.]","G4PairProductionRelModel::ComputeRelDXSectionPerAtom"
311622342,g4run,"libG4processes.so","[.]","G4ChipsKaonPlusElasticXS::GetExchangeT"
309368292,g4run,"libG4processes.so","[.]","std::_Rb_tree<G4ParallelWorldProcess*, std::pair<G4ParallelWorldProcess* const, G4String>, std::_Select1st<std::pair<G4ParallelWorldProcess* const, G4String> >, std::less<G4ParallelWorldProcess*>, std::allocator<std::pair<G4ParallelWorldProcess* const, G4String> > >::_M_get_insert_unique_pos"
305469936,g4run,"libG4geometry.so","[.]","G4ChordFinderDelegate<G4IntegrationDriver<G4MagIntegratorStepper> >::FindNextChord"
304446804,g4run,"libG4processes.so","[.]","G4IntraNucleiCascader::createTarget"
300768323,g4run,"libG4processes.so","[.]","std::vector<G4InuclElementaryParticle, std::allocator<G4InuclElementaryParticle> >::_M_realloc_insert<G4InuclElementaryParticle>"
299263142,g4run,"libG4geometry.so","[.]","G4BooleanSolid::StackPolyhedron"
298984306,g4run,"libG4geometry.so","[.]","G4NormalNavigation::ComputeSafety"
297904990,g4run,"libG4particles.so","[.]","G4ExcitedSigmaConstructor::AddLambdaStarPiMode@plt"
296157571,g4run,"libG4processes.so","[.]","G4VDNAModel::~G4VDNAModel@plt"
293731773,g4run,"libG4track.so","[.]","G4Step::GetSecondaryInCurrentStep"
293312737,g4run,"libG4geometry.so","[.]","operator<<"
290851070,g4run,"libG4processes.so","[.]","G4LossTableBuilder::BuildDEDXTable"
289589924,g4run,"libG4processes.so","[.]","G4ChipsKaonPlusElasticXS::GetTabValues"
288970115,g4run,"libG4processes.so","[.]","G4ParallelWorldScoringProcess::CopyStep"
286699792,g4run,"libG4processes.so","[.]","G4ParallelWorldScoringProcess::IsAtRestRequired"
283447158,g4run,"libG4geometry.so","[.]","G4Tubs::DistanceToOut"
281900959,g4run,"libG4geometry.so","[.]","G4Tubs::SurfaceNormal"
278253504,g4run,"libG4processes.so","[.]","G4CascadeParameters::DumpConfig"
276741957,g4run,"libG4processes.so","[.]","G4CacheReference<G4MultiBodyMomentumDist*>::Destroy"
271844386,g4run,"libG4processes.so","[.]","G4ScoreSplittingProcess::Verbose"
271170534,g4run,"libG4processes.so","[.]","G4OpticalParametersMessenger::G4OpticalParametersMessenger"
270230089,g4run,"libG4processes.so","[.]","G4ITMultiNavigator::GetGlobalExitNormal"
268631995,g4run,"libG4geometry.so","[.]","G4Tubs::ApproxSurfaceNormal"
267854858,g4run,"libG4tracking.so","[.]","G4Allocator<G4TouchableHistory>::~G4Allocator"
265398498,g4run,"libG4processes.so","[.]","G4VEmAdjointModel::ComputeAdjointCrossSectionVectorPerAtomForSecond"
263582721,g4run,"libG4geometry.so","[.]","G4PolyhedraSide::G4PolyhedraSide"
260868600,g4run,"libG4geometry.so","[.]","G4MagErrorStepper::Stepper"
259866377,g4run,"libG4particles.so","[.]","G4DynamicParticle::G4DynamicParticle"
259194384,g4run,"libG4geometry.so","[.]","G4ParameterisedNavigation::LevelLocate"
257589480,g4run,"libG4processes.so","[.]","G4LorentzConvertor::rotate"
254766215,g4run,"libG4processes.so","[.]","G4SBBremTable::SampleEnergyTransfer"
252296993,g4run,"libCLHEP-2.4.5.3.so","[.]","CLHEP::MixMaxRng::generate@plt"
246563374,g4run,"libG4geometry.so","[.]","G4MagneticField::operator="
246199565,g4run,"libG4processes.so","[.]","std::vector<bool, std::allocator<bool> >::_M_fill_insert"
244457593,g4run,"libG4geometry.so","[.]","G4LogicalSkinSurface::DumpInfo"
242667008,g4run,"libG4processes.so","[.]","G4VEmProcess::ComputeIntegralLambda"
239950889,g4run,"libG4geometry.so","[.]","G4FieldManagerStore::DeRegister"
239938694,g4run,"libG4processes.so","[.]","G4Radioactivation::DecayIt"
238713191,g4run,"libG4processes.so","[.]","G4ParallelWorldScoringProcess::G4ParallelWorldScoringProcess"
237657892,g4run,"libG4geometry.so","[.]","G4MagneticField::~G4MagneticField"
236717041,g4run,"libCLHEP-2.4.5.3.so","[.]","CLHEP::HepLorentzVector::boost"
235891637,g4run,"libG4geometry.so","[.]","G4MagneticField::G4MagneticField"
