cycles,instructions,l2_itlb_misses,l2_dtlb_misses,comm,dso,symbol
5940759466,9272055051,99134,1108202,"g4run","libG4processes.so","G4Pow::powA"
5683402380,8844638067,156280,735216,"g4run","libG4geometry.so","G4PropagatorInField::ComputeStep"
5450808518,8286392565,84011,923970,"g4run","libG4processes.so","G4ChipsProtonInelasticXS::G4ChipsProtonInelasticXS"
5447767071,7906847895,122016,796926,"g4run","libG4tracking.so","G4SteppingVerbose::AlongStepDoItOneByOne"
5369078858,7664704061,186626,551084,"g4run","libG4processes.so","G4OpticalParametersMessenger::SetNewValue"
5184948984,7796001365,127779,1192554,"g4run","libG4geometry.so","std::vector<G4LogicalVolume*, std::allocator<G4LogicalVolume*> >::_M_realloc_insert<G4LogicalVolume*>"
5153615838,8934866521,99868,737695,"g4run","libG4geometry.so","G4TDormandPrince45<G4Mag_UsualEqRhs, 6u>::StepWithError"
4920490805,7782572836,138310,639717,"g4run","libG4processes.so","G4ParallelWorldScoringProcess::Verbose"
4512461976,6747319448,118805,437630,"g4run","libG4geometry.so","G4Navigator::PrintState"
4443848434,6509409055,170148,556587,"g4run","libG4processes.so","G4ThreadLocalSingleton<G4LossTableManager>::G4ThreadLocalSingleton"
4124077591,6533896435,94644,991353,"g4run","libG4geometry.so","operator<<"
4118986674,5742582989,148045,562941,"g4run","libG4processes.so","std::map<G4String, bool, std::less<G4String>, std::allocator<std::pair<G4String const, bool> > >::operator[]"
3845686497,5782537894,35085,1079110,"g4run","libG4geometry.so","G4VoxelSafety::SafetyForVoxelHeader"
3383566650,4702075796,23043,126723,"g4run","libG4processes.so","G4PEEffectFluoModel::SampleSecondaries"
3299269056,5352262274,35509,547905,"g4run","libG4processes.so","G4GoudsmitSaundersonTable::LoadMSCData"
3276108840,4555077221,71390,613692,"g4run","libG4processes.so","G4LossTableManager::Register"
3253104151,4557712687,139182,392815,"g4run","libG4processes.so","G4IntraNucleiCascader::finishCascade"
3233538694,4769765231,67263,529945,"g4run","libG4geometry.so","G4ParameterisedNavigation::ComputeStep"
3085666359,5497389714,8307,80429,"g4run","libG4processes.so","G4F18GEMProbability::G4F18GEMProbability"
3031587103,4874362576,80109,395564,"g4run","libG4processes.so","G4CacheReference<G4NuclearPolarizationStore*>::Destroy"
3026493247,4316381741,154755,271208,"g4run","libG4processes.so","G4PairProductionRelModel::ComputeRelDXSectionPerAtom"
3007135242,3928860409,23510,344817,"g4run","libG4processes.so","G4VEmAdjointModel::ComputeAdjointCrossSectionVectorPerAtomForSecond"
2934746788,3892076819,72924,381527,"g4run","libG4processes.so","G4VEmProcess::StreamInfo"
2899182944,4415126991,79089,436968,"g4run","libG4tracking.so","G4SteppingManager::Stepping"
2898037127,4711770206,31716,239680,"g4run","libG4processes.so","G4ProcessManager::AddProcess"
2879206104,4086225126,60635,602945,"g4run","libG4processes.so","G4LossTableManager::Register"
2866361003,4419722580,71844,395714,"g4run","libG4processes.so","G4PairProductionRelModel::SampleSecondaries"
2810339580,4131692962,57671,527381,"g4run","libG4geometry.so","G4ReflectedSolid::CreatePolyhedron"
2807964375,3710147215,30934,257555,"g4run","libG4track.so","std::vector<G4Track const*, std::allocator<G4Track const*> >::_M_realloc_insert<G4Track const* const&>"
2740947548,4401339489,61409,303468,"g4run","libG4processes.so","std::vector<std::function<void ()>, std::allocator<std::function<void ()> > >::_M_realloc_insert<G4ThreadLocalSingleton<G4NuclearPolarizationStore>::G4ThreadLocalSingleton()::{lambda()#1}>"
