cycles,instructions,dTLB_loads,dTLB_load_misses,iTLB_loads,iTLB_load_misses,comm,dso,symbol
734246435,1300924854,24836937,82408,8859398,19631,"g4run","libG4processes.so","G4ElasticHadrNucleusHE::GetQ2_2"
727631650,1149355381,25512838,166220,4520342,22850,"g4run","libG4processes.so","G4LossTableManager::PreparePhysicsTable"
722504927,1304110014,15001168,47880,7130206,5270,"g4run","libG4processes.so","G4PairProductionRelModel::InitialiseElementData"
718660270,930085643,12121788,105292,5122574,38727,"g4run","libstdc++.so.6.0.30","__dynamic_cast"
709522967,1045456221,12493610,72893,6881024,16110,"g4run","libG4processes.so","G4LorentzConvertor::rotate"
688586493,1402759994,16003961,82250,4134524,17177,"g4run","libG4processes.so","G4Radioactivation::DecayIt"
685301248,1139833702,11520496,71837,5203715,19042,"g4run","libCLHEP-2.4.5.3.so","CLHEP::HepLorentzVector::boostVector"
684637894,981558016,19923430,115117,4704701,13865,"g4run","libG4geometry.so","field_utils::relativeError2"
680224909,1164576207,11641345,145147,3208634,75829,"g4run","libG4geometry.so","G4ParameterisedNavigation::LocateNextVoxel"
677035188,919604090,19712080,109608,5288905,13682,"g4run","libG4track.so","G4StepPoint::G4StepPoint"
676413279,1075777660,17377035,120193,8109795,33173,"g4run","libG4track.so","G4VParticleChange::CheckIt"
669600591,1067338081,16304154,95911,4698163,29646,"g4run","libG4processes.so","G4ParallelWorldScoringProcess::CopyStep"
663595034,1076445915,12358416,71968,6697774,26193,"g4run","libG4processes.so","G4LightTargetCollider::AbsorptionOnDeuteron"
654414099,1105487852,16186143,101902,4253300,25184,"g4run","libG4geometry.so","G4IntegrationDriver<G4TDormandPrince45<G4Mag_UsualEqRhs, 6u> >::AdvanceChordLimited"
650880396,1004265204,11653071,179568,2401199,16729,"g4run","libG4processes.so","G4ScoreSplittingProcess::AtRestDoIt"
645130263,959040471,14331992,72430,4765657,9638,"g4run","libCLHEP-2.4.5.3.so","CLHEP::MixMaxRng::flatArray"
643813404,1073072783,13524380,129838,5199372,29553,"g4run","libG4event.so","G4GeneralParticleSource::ListSource"
632726684,981191312,13553265,86588,5033274,12958,"g4run","libCLHEP-2.4.5.3.so","CLHEP::MixMaxRng::MULWU"
628569422,1102153933,6530384,102915,2996818,13395,"g4run","libG4geometry.so","G4MultiLevelLocator::EstimateIntersectionPoint"
623733087,870314466,20145700,75383,8962838,44808,"g4run","libG4processes.so","G4VEmProcess::ComputeIntegralLambda"
611836235,1016157207,12620634,94386,3191934,7198,"g4run","libG4tracking.so","0x000000000002f809"
588068859,876869055,15709707,90756,5847665,15046,"g4run","libG4processes.so","G4ParallelWorldProcess::~G4ParallelWorldProcess"
588064709,926335675,11262578,117049,2572842,9531,"g4run","libG4processes.so","G4LivermoreBremsstrahlungModel::ReadData"
