cycles_ukP,comm,dso,symbol
912413522,"g4run","libG4track.so","G4ParticleChange::DumpInfo"
907301109,"g4run","libm.so.6","__ieee754_pow_fma"
906325488,"g4run","libG4geometry.so","G4Trap::SurfaceNormal"
905940581,"g4run","libG4processes.so","G4ParallelWorldProcess::~G4ParallelWorldProcess"
902841732,"g4run","libG4processes.so","G4CascadeParameters::DumpConfig"
884702135,"g4run","libG4geometry.so","G4IntegrationDriver<G4TDormandPrince45<G4Mag_UsualEqRhs, 6u> >::OneGoodStep"
883990771,"g4run","libG4geometry.so","G4Paraboloid::StreamInfo"
879868189,"g4run","libG4processes.so","G4ChipsKaonPlusElasticXS::GetTabValues"
877713257,"g4run","libG4processes.so","std::vector<bool, std::allocator<bool> >::_M_fill_insert"
870911568,"g4run","libG4geometry.so","G4VoxelSafety::SafetyForVoxelNode"
866530096,"g4run","libG4processes.so","G4RKPropagation::FieldTransport"
860049292,"g4run","libG4geometry.so","G4PolyhedraSide::Inside"
856050347,"g4run","libG4processes.so","G4OpticalParametersMessenger::~G4OpticalParametersMessenger"
856045231,"g4run","libG4processes.so","G4IntraNucleiCascader::copyWoundedNucleus"
851168479,"g4run","libG4particles.so","G4NucleiProperties::GetNuclearMass"
849768018,"g4run","libG4processes.so","G4CascadeData<30, 1, 9, 22, 38, 53, 69, 78, 86>::print"
845584669,"g4run","libstdc++.so.6.0.30","__cxxabiv1::__si_class_type_info::__do_dyncast"
840693954,"g4run","libm.so.6","__ieee754_log_fma"
829595263,"g4run","libG4processes.so","std::vector<G4String, std::allocator<G4String> >::emplace_back<char const*&>"
827449378,"g4run","libG4processes.so","G4ScoreSplittingProcess::AlongStepDoIt"
816249008,"g4run","libG4processes.so","G4ParallelWorldScoringProcess::AlongStepGetPhysicalInteractionLength"
806538737,"g4run","libG4tracking.so","G4SteppingManager::ProcessSecondariesFromParticleChange"
798089333,"g4run","libG4processes.so","G4ProductionCutsTable::StoreCutsInfo"
771568413,"g4run","libG4geometry.so","G4RKIntegrationDriver<G4TDormandPrince45<G4Mag_UsualEqRhs, 6u> >::ComputeNewStepSize"
771129585,"g4run","libG4processes.so","G4IntraNucleiCascader::collide"
766007987,"g4run","libG4processes.so","G4HadronNucleonXsc::HadronNucleonXscVU"
762499646,"g4run","libCLHEP-2.4.5.3.so","CLHEP::RandGaussQ::transformQuick"
760407276,"g4run","libG4processes.so","G4IntraNucleiCascader::rescatter"
753113921,"g4run","libG4geometry.so","G4Navigator::LocateGlobalPointAndSetup"
735169416,"g4run","libG4track.so","G4Track::G4Track"
734987922,"g4run","libG4geometry.so","std::vector<G4FieldManager*, std::allocator<G4FieldManager*> >::_M_realloc_insert<G4FieldManager* const&>"
723387991,"g4run","libG4processes.so","G4CascadeFunctions<G4CascadeKminusPChannelData, G4KaonSampler>::getMultiplicity"
713640191,"g4run","libG4processes.so","G4PenelopeRayleighModelMI::InitializeSamplingAlgorithm"
700384039,"g4run","libG4geometry.so","G4ParameterisedNavigation::LevelLocate"
696170049,"g4run","libG4processes.so","std::vector<G4PairProductionRelModel::ElementData*, std::allocator<G4PairProductionRelModel::ElementData*> >::_M_fill_insert"
689371979,"g4run","libG4geometry.so","G4NormalNavigation::ComputeStep"
685694013,"g4run","libG4processes.so","G4NucleiModel::~G4NucleiModel"
676614682,"g4run","libG4geometry.so","G4LogicalBorderSurface::GetSurface"
672886160,"g4run","libG4processes.so","G4PAIySection::DifPAIySection"
660569153,"g4run","libG4processes.so","G4LorentzConvertor::toTheCenterOfMass"
659977712,"g4run","libG4processes.so","G4ITMultiNavigator::GetGlobalExitNormal"
654280495,"g4run","libG4geometry.so","G4PolyPhiFace::Diagonalie"
649628347,"g4run","libG4track.so","G4StepPoint::G4StepPoint"
634013998,"g4run","libG4processes.so","G4CascadeInterface::Propagate"
629546924,"g4run","libG4processes.so","G4ScoreSplittingProcess::Verbose"
627796485,"g4run","libc.so.6","__strcmp_avx2"
622373721,"g4run","libG4processes.so","G4LossTableManager::PreparePhysicsTable"
618656536,"g4run","libG4processes.so","G4NucleiModel::G4NucleiModel"
617946849,"g4run","libG4processes.so","G4ComponentAntiNuclNuclearXS::GetInelasticElementCrossSection"
614399446,"g4run","libCLHEP-2.4.5.3.so","CLHEP::MixMaxRng::MULWU"
612363662,"g4run","libG4processes.so","G4ProcessManager::RemoveProcess"
611034339,"g4run","libG4track.so","G4VParticleChange::CheckIt"
608222382,"g4run","libG4geometry.so","G4ParameterisedNavigation::LocateNextVoxel"
601231181,"g4run","libG4event.so","G4GeneralParticleSource::ListSource"
600508515,"g4run","libG4processes.so","G4MultiBodyMomentumDist::G4MultiBodyMomentumDist"
