cycles,faults,minor_faults,major_faults,alignment_faults,comm,dso,symbol
108888044,0,0,0,0,"g4run","libG4processes.so","G4ScoreSplittingProcess::StartTracking"
108872178,0,0,0,0,"g4run","libG4processes.so","G4PAIySection::GetStepEnergyLoss"
108184281,0,0,0,0,"g4run","libG4processes.so","G4EmCalculator::PrintDEDXTable"
107484155,0,0,0,0,"g4run","libG4particles.so","G4IonTable::GetIon"
106893737,0,0,0,0,"g4run","libG4processes.so","G4CascadeFunctions<G4CascadeNPChannelData, G4PionNucSampler>::getOutgoingParticleTypes"
106097522,0,0,0,0,"g4run","libG4geometry.so","0x00000000000e516c"
105377021,0,0,0,0,"g4run","libG4processes.so","std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char const*>"
104719850,0,0,0,0,"g4run","libG4processes.so","G4PairProductionRelModel::LPMFuncs::~LPMFuncs"
103290405,0,0,0,0,"g4run","libG4particles.so","G4ParticleDefinition::operator!="
103279570,0,0,0,0,"g4run","libCLHEP-2.4.5.3.so","CLHEP::MixMaxRng::iterate@plt"
101887270,0,0,0,0,"g4run","libG4processes.so","G4ScreeningMottCrossSection::SetupKinematic"
101873151,0,0,0,0,"g4run","libG4processes.so","G4ElectroNuclearCrossSection::GetElementCrossSection"
101210405,0,0,0,0,"g4run","libG4processes.so","G4PhysicsTableHelper::PreparePhysicsTable@plt"
101203142,0,0,0,0,"g4run","libG4processes.so","G4IntraNucleiCascader::decayTrappedParticle"
99796961,0,0,0,0,"g4run","libG4geometry.so","G4ConstRK4::~G4ConstRK4@plt"
99794250,0,0,0,0,"g4run","libG4processes.so","G4PairProductionRelModel::ComputeCrossSectionPerAtom"
99119685,0,0,0,0,"g4run","libCLHEP-2.4.5.3.so","CLHEP::HepLorentzRotation::rotateY"
99105017,0,0,0,0,"g4run","libG4geometry.so","G4LogicalSkinSurface::CleanSurfaceTable"
98427422,0,0,0,0,"g4run","libG4particles.so","G4PionMinus::Definition"
97711226,0,0,0,0,"g4run","libG4processes.so","G4Integrator<G4InitXscPAI, double (G4InitXscPAI::*)(double)>::Legendre10"
97024644,0,0,0,0,"g4run","libG4tracking.so","G4SteppingManager::GetProcessNumber"
96997673,0,0,0,0,"g4run","libG4geometry.so","G4RKIntegrationDriver<G4MagIntegratorStepper>::ComputeNewStepSize"
96328161,0,0,0,0,"g4run","libG4processes.so","G4NonEquilibriumEvaporator::deExcite"
96324561,0,0,0,0,"g4run","libG4processes.so","G4IntraNucleiCascader::preloadCascade"
96322327,0,0,0,0,"g4run","libG4processes.so","G4IntraNucleiCascader::newCascade"
96303075,0,0,0,0,"g4run","libG4processes.so","G4CascadeFunctions<G4CascadePPChannelData, G4PionNucSampler>::getOutgoingParticleTypes"
95160653,0,0,0,0,"g4run","libG4particles.so","0x0000000000081316"
94941187,0,0,0,0,"g4run","libG4particles.so","G4PionPlus::Definition"
93525128,0,0,0,0,"g4run","libG4particles.so","G4NucleiPropertiesTheoreticalTable::IsInTable"
93513367,0,0,0,0,"g4run","libG4processes.so","G4ChipsKaonPlusElasticXS::~G4ChipsKaonPlusElasticXS"
