id,cycles,instructions,branches,branch_misses
"all;g4run;libc;pthread_mutex_unlock@@GLIBC_2.2.5",91277693,141553859,24075213,169165
"all;g4run;libc;__GI_____strtoll_l_internal",22312666,63974288,12685435,38599
"all;g4run;libc;read",653411,0,402598,1736
"all;g4run;libc;sysmalloc",5085716,5023812,1498199,36774
"all;g4run;libc;0x0000000000028624",0,0,262480,0
"all;g4run;libc;__printf_fp",666387,0,0,0
"all;g4run;libc;_IO_old_init",1333934,795538,0,1188
"all;g4run;libc;_int_free",1262715572,1934034506,386588707,5085579
"all;g4run;libc;str_to_mpn.constprop.0",215316480,434599389,88611588,304281
"all;g4run;libc;_IO_un_link",0,0,0,1690
"all;g4run;libc;__mpn_cmp",1339629,0,0,3754
"all;g4run;libc;pthread_mutex_lock@@GLIBC_2.2.5",125176310,64069291,15104722,283184
"all;g4run;libc;getenv",1282180396,830780406,133209853,9983005
"all;g4run;libc;malloc",2905308626,2830324422,463262137,12239279
"all;g4run;libc;malloc_consolidate",211177909,274791160,48904317,706781
"all;g4run;libc;_IO_link_in",0,0,0,3607
"all;g4run;libc;__strcpy_avx2",1004113,3910544,818622,2150
"all;g4run;libc;__mpn_rshift",0,852660,201564,2345
"all;g4run;libc;round_and_return",106265984,240589809,52297648,286992
"all;g4run;libc;__close_nocancel",0,0,0,1493
"all;g4run;libc;__strncmp_avx2",508362241,399442634,58554155,3864227
"all;g4run;libc;__GI_strtoll",696508,1682902,674557,0
"all;g4run;libc;0x0000000000028490",3322223,5836791,160417,26968
"all;g4run;libc;__GI_____strtod_l_internal",1188047563,2363503503,488834659,1949992
"all;g4run;libc;strtod",9617050,10244780,1734520,24541
"all;g4run;libc;0x0000000000028494",123684211,101242988,14192394,709238
"all;g4run;libc;__strtod_l",6506155,9348325,2005782,4921
"all;g4run;libc;__vsnprintf_internal",1991337,0,298589,2504
"all;g4run;libc;_IO_fwrite",0,0,0,1155
"all;g4run;libc;_IO_str_init_static_internal",740360,2287443,177836,0
"all;g4run;libc;fclose@@GLIBC_2.2.5",768792,1176804,0,2287
"all;g4run;libc;_IO_file_fopen@@GLIBC_2.2.5",685472,0,0,2636
"all;g4run;libc;_int_malloc",1142147797,1654710743,275306189,4111122
"all;g4run;libc;isspace",7028660,11535356,2397666,7613
"all;g4run;libc;__memmove_avx_unaligned",2000388106,3076803854,349708140,3737592
"all;g4run;libc;__mpn_lshift",75079620,218187984,45169344,167848
"all;g4run;libc;__GI___fileno",0,0,223091,0
"all;g4run;libc;__cxa_finalize",2013179,3607336,1063761,0
"all;g4run;libc;__GI___lll_lock_wake",2457478,482231,56110,9027
"all;g4run;libc;__mpn_mul",67727303,153269357,29658130,88474
"all;g4run;libc;0x0000000000028590",17969634,13139331,3758838,171419
"all;g4run;libc;__correctly_grouped_prefixmb",8409030,24316676,3637771,23101
"all;g4run;libc;isalpha",2018563,3893196,0,0
"all;g4run;libc;_IO_no_init",0,0,0,1024
"all;g4run;libc;__default_morecore@GLIBC_2.2.5",0,0,0,2497
"all;g4run;libc;__sbrk",0,1368212,0,0
"all;g4run;libc;0x0000000000028594",8674569,8960279,435203,86161
"all;g4run;libc;__brk",1008607,0,0,0
"all;g4run;libc;__strlen_avx2",446879348,578067125,89125458,1858634
"all;g4run;libc;__GI___lll_lock_wait",21544058,14120199,2138134,50435
"all;g4run;libc;__new_exitfn",212493,0,0,918
"all;g4run;libc;__mpn_divrem",0,0,389412,1795
"all;g4run;libc;__mpn_construct_double",24830288,49852697,9952449,70047
"all;g4run;libc;tolower",35894720,36772409,11894924,180629
"all;g4run;libc;__cxa_atexit",765415,0,0,0
"all;g4run;libc;__mpn_mul_1",33323574,90413518,18898514,56634
"all;g4run;libc;__GI__IO_un_link.part.0",0,1595671,1167514,9430
"all;g4run;libc;_IO_ferror",0,0,0,1501
"all;g4run;libc;__mprotect",2324378,0,87419,13358
"all;g4run;libc;_IO_do_write@@GLIBC_2.2.5",732038,0,0,0
"all;g4run;libc;__mpn_submul_1",0,0,0,2922
"all;g4run;libc;_IO_file_write@@GLIBC_2.2.5",504912,0,0,1292
"all;g4run;libc;__GI___libc_cleanup_push_defer",676231,1693536,0,4094
"all;g4run;libc;_IO_setb",686891,0,0,0
"all;g4run;libc;__strcmp_avx2",4808961549,7134702549,1135104016,17013518
"all;g4run;libc;hack_digit",0,0,0,18919
"all;g4run;libc;unlink_chunk.constprop.0",163849493,293706495,54240769,729569
"all;g4run;libc;__libc_alloca_cutoff",2567586,0,0,10534
"all;g4run;libc;__memmove_avx_unaligned_erms",1189972930,1459309434,299757082,4699853
"all;g4run;libc;__memcmp_avx2_movbe",713190796,582796771,119277804,2529344
"all;g4run;libc;__uselocale",2000063,0,425833,11748
"all;g4run;libc;__memset_avx2_unaligned_erms",7365267,17863113,3728575,51415
"all;g4run;libc;_IO_file_finish@@GLIBC_2.2.5",716287,0,0,0
"all;g4run;libc;__GI___pthread_enable_asynccancel",772214,727265,0,0
"all;g4run;libc;__vfprintf_internal",6723020,1248379,565373,10429
"all;g4run;libc;__strchrnul_avx2",2189568,0,0,3716
"all;g4run;libc;__memchr_avx2",64447505,109285867,24881735,144547
"all;g4run;libc;__strstr_sse2",0,1403418,296063,3691
"all;g4run;libc;pthread_once@GLIBC_2.2.5",14101368,26229756,3657301,21453
"all;g4run;libc;_IO_default_finish",791142,0,0,0
"all;g4run;libc;__memset_avx2_unaligned",1008989061,1640830509,130390320,2191070
"all;g4run;libc;__GI___printf_fp_l",4706945,7568877,705382,56081
"all;g4run;libc;__strchr_avx2",0,1481656,0,0
"all;g4run;libc;__errno_location",1006908,3837863,813276,2667
"all;g4run;libc;__vfscanf_internal",0,0,0,1170
"all;g4run;libG4tracking",,,,
"all;g4run;libG4tracking;0x0000000000013db4",44909154,66685264,9081848,142444
"all;g4run;libG4tracking;0x0000000000013a40",0,0,0,2104
"all;g4run;libG4tracking;0x0000000000013a44",178848153,312903941,54912288,442775
"all;g4run;libG4tracking;G4VSteppingVerbose::SetSilent",5584635312,8006593619,1312093921,17213118
"all;g4run;libG4tracking;0x0000000000013f20",304166847,416983318,68278584,1100461
"all;g4run;libG4tracking;0x0000000000012fe0",0,589979,0,0
"all;g4run;libG4tracking;0x0000000000013190",44488893,36098162,10624601,98194
"all;g4run;libG4tracking;0x0000000000013f24",98529258,143684556,22525308,539148
"all;g4run;libG4tracking;0x0000000000013194",47720021,50392117,6489801,140798
"all;g4run;libG4tracking;0x0000000000012fe4",232398598,234644627,45556128,872313
"all;g4run;libG4tracking;G4SteppingManager::InvokeAtRestDoItProcs",1116503461,1282536872,180234434,4573924
"all;g4run;libG4tracking;G4Step::InitializeStep",16394295003,28679936684,4969333523,30235046
"all;g4run;libG4tracking;0x00000000000135c0",61518226,115750227,19534019,316520
"all;g4run;libG4tracking;0x00000000000135c4",174492081,327831934,56906683,355771
"all;g4run;libG4tracking;G4SteppingManager::Stepping",64096903946,92789455526,13904307608,214828555
"all;g4run;libG4tracking;0x0000000000013250",654985,1105020,0,0
"all;g4run;libG4tracking;0x0000000000013d50",40642079,37572860,4626521,105946
"all;g4run;libG4tracking;G4SteppingManager::SetInitialStep",12400947965,17636932670,3110741580,19168219
"all;g4run;libG4tracking;0x0000000000013254",629292660,787363044,137990766,1973459
"all;g4run;libG4tracking;0x0000000000013d54",49685814,50781255,8343532,229587
"all;g4run;libG4tracking;0x0000000000013270",245932452,390573630,63904425,485333
"all;g4run;libG4tracking;0x0000000000013274",89362193,99091188,22719751,205072
"all;g4run;libG4tracking;aCountedObjectAllocator@plt",771760,0,0,0
"all;g4run;libG4tracking;0x0000000000013ab0",7286024,5801549,1093414,12513
"all;g4run;libG4tracking;G4SteppingManager::InvokePostStepDoItProcs",19356635672,30062497708,4473170406,73737982
"all;g4run;libG4tracking;0x0000000000013e10",9878462,18076705,2296281,61690
"all;g4run;libG4tracking;0x0000000000013ab4",130905509,218129351,34911603,231487
"all;g4run;libG4tracking;0x0000000000013e14",25775932,37960839,4736927,145552
"all;g4run;libG4tracking;0x00000000000136e0",1319325,0,0,0
"all;g4run;libG4tracking;0x00000000000136e4",5320960,6755079,1050511,49271
"all;g4run;libG4tracking;G4SteppingManager::GetProcessNumber",12258589954,15931197609,2938825924,33877648
"all;g4run;libG4tracking;G4Step::UpdateTrack",31486324466,48686698860,7117501025,105400215
"all;g4run;libG4tracking;G4SteppingManager::InvokeAlongStepDoItProcs",40306323428,70756224480,9003036116,112150459
"all;g4run;libG4tracking;G4SteppingManager::InvokePSDIP",72738133292,112821705463,17017060861,250461347
"all;g4run;libG4tracking;0x0000000000013d00",660414,785475,119308,1617
"all;g4run;libG4tracking;0x0000000000013d04",59083565,82233605,13839370,123068
"all;g4run;libG4tracking;G4SteppingManager::DefinePhysicalStepLength",143656629525,230831121647,33654072785,401504061
"all;g4run;libG4tracking;0x0000000000013220",21344414,14698854,3415919,22299
"all;g4run;libG4tracking;0x0000000000013224",154031228,209392085,33795456,259896
"all;g4run;libG4tracking;0x0000000000013ea0",31109787,47143795,6408486,106490
"all;g4run;libG4tracking;0x0000000000013ea4",23958468,23985437,4043472,94429
"all;g4run;libG4tracking;0x0000000000013a94",3988824,2956412,304742,16040
"all;g4run;libG4tracking;0x00000000000131b0",3982495,4031126,591320,24988
"all;g4run;libG4tracking;0x0000000000013b30",0,1020007,0,1470
"all;g4run;libG4tracking;G4TrackingManager::ProcessOneTrack",5396255921,7546919806,1172448251,12907594
