id,cycles,instructions,ls_dc_accesses,ls_dispatch_ld_dispatch,ls_dispatch_store_dispatch,ls_tlb_flush
"all;g4run;g4run;CMSMagneticField::GetFieldValue",9827865698,17156662539,10659365740,7828527706,3167520568,0
"all;g4run;g4run;ffunkti",792685035,1465309138,824942002,600094173,248413203,0
"all;g4run;g4run;CLHEP::MixMaxRng::flat",2095353,0,699954,1494539,463007,0
"all;g4run;g4run;_init",0,1085197,0,1858006,211131,0
"all;g4run;libG4event",,,,,,
"all;g4run;libG4event;0x0000000000068db1",4187894,2227239,3556053,1545158,1240969,0
"all;g4run;libG4event;0x0000000000069d4a",0,0,0,1008476,0,0
"all;g4run;libG4event;0x0000000000068e48",0,2391581,2803028,471566,1132525,0
"all;g4run;libG4event;0x0000000000069d4d",0,2076485,1861054,463080,653483,0
"all;g4run;libG4event;0x0000000000068db6",9070134,16119616,6994095,8315456,3538496,0
"all;g4run;libG4event;0x0000000000068db8",14647833,22010861,20343279,16219631,5336385,0
"all;g4run;libG4event;0x0000000000068d2b",1396550,1097360,1406375,484773,0,0
"all;g4run;libG4event;0x000000000006a4ab",695815,2159656,0,494858,0,0
"all;g4run;libG4event;0x0000000000069d6b",2786755,0,2074776,1974669,1145438,0
"all;g4run;libG4event;0x0000000000068eab",4190188,13112041,1402096,3945958,2951288,0
"all;g4run;libG4event;0x0000000000068d2f",2793114,6495413,2017108,3028117,640601,0
"all;g4run;libG4event;0x0000000000069d6f",6980024,13981161,6898228,4559521,2983462,0
"all;g4run;libG4event;0x0000000000069d8d",0,0,0,484312,0,0
"all;g4run;libG4event;0x0000000000069d53",2793415,4762757,4789108,2854233,1540110,0
"all;g4run;libG4event;0x000000000006a4b0",69078589,114531891,62311550,44781147,20242538,0
"all;g4run;libG4event;0x0000000000069d73",76068605,103213291,60321832,44356113,23887740,0
"all;g4run;libG4event;std::vector<G4SingleParticleSource::part_prop_t*, std::allocator<G4SingleParticleSource::part_prop_t*> >::_M_fill_insert",140250501,203307651,126934012,88704399,51108337,0
"all;g4run;libG4event;0x000000000006a40d",0,1114760,0,0,188985,0
"all;g4run;libG4event;0x0000000000069d75",0,1042826,678938,0,0,0
"all;g4run;libG4event;0x0000000000068e2c",225384026,390363508,268082763,179916520,99220604,0
"all;g4run;libG4event;0x0000000000068d70",74645569,82606054,73840985,44606239,22356047,0
"all;g4run;libG4event;0x0000000000068d71",16752934,22819254,10792868,13276505,4617888,0
"all;g4run;libG4event;0x0000000000068d76",694528,0,677638,0,0,0
"all;g4run;libG4event;0x0000000000068d78",6979841,13579212,11761509,6384798,4234340,0
"all;g4run;libG4event;0x0000000000068d79",698377,0,691859,526271,0,0
"all;g4run;libG4event;0x0000000000069da5",0,3298630,1390754,0,0,0
"all;g4run;libG4event;0x0000000000068e30",698452,1013362,2072250,1468689,201891,0
"all;g4run;libG4event;G4GeneralParticleSource::ListSource",640687814,1143272091,723422056,486538252,252904158,0
"all;g4run;libG4event;G4GeneralParticleSourceMessenger::GetInstance",3490175,3364185,2746013,1999962,235488,0
"all;g4run;libG4event;0x0000000000069d5a",9078660,17253290,7585438,6935616,3531149,0
"all;g4run;libG4event;G4AdjointStackingAction::ClassifyNewTrack",0,1206475,0,0,0,0
"all;g4run;libG4event;G4GeneralParticleSourceData::~G4GeneralParticleSourceData",340463971,611025426,398984081,276984950,157117652,0
"all;g4run;libG4event;0x000000000006a495",8372181,9895626,5516391,2439444,1867380,0
"all;g4run;libG4event;0x0000000000069d7e",4887361,5484803,6258809,3408251,886643,0
"all;g4run;libG4event;0x0000000000069d40",16738375,12433802,8907009,7446954,2981722,0
"all;g4run;libG4event;0x0000000000069d41",4188989,5353455,6311780,2461369,1546526,0
"all;g4run;libG4event;0x000000000006a499",45350993,61674029,50271204,25878453,16934783,0
"all;g4run;libG4event;0x0000000000069d44",5583230,6557017,4130793,4355077,1356341,0
"all;g4run;libG4event;0x0000000000069d46",2792021,4339259,2030286,1397043,686329,0
"all;g4run;libG4event;0x0000000000068d20",194631615,307555870,250324629,140940972,89370165,0
"all;g4run;libG4event;0x0000000000069d9f",0,0,0,0,227080,0
"all;g4run;libG4event;0x0000000000068ea0",0,1080578,644894,488716,0,0
"all;g4run;libG4event;0x0000000000069d48",1393880,0,0,444470,231675,0
"all;g4run;libG4event;0x0000000000069d63",0,0,0,0,230176,0
"all;g4run;libG4event;0x0000000000068d24",71234032,161565002,119614469,67677605,43778669,0
"all;g4run;libG4event;0x0000000000068ea2",12564133,11555860,4127279,5207654,2443491,0
"all;g4run;libG4event;0x0000000000068d7d",9071655,7717162,8880907,6366521,3704336,0
"all;g4run;libG4event;0x0000000000069d67",698436,0,0,522325,224698,0
"all;g4run;libG4event;0x0000000000068d28",169527537,330516718,222382754,130808518,80798593,0
"all;g4run;libG4event;0x000000000006a4a7",304925676,477797639,293556322,207854173,111385464,0
"all;g4run;libG4event;0x0000000000068ea6",9061109,6676364,4686468,5429380,3051084,0
"all;g4run;libG4event;0x000000000006a41a",0,1092301,0,0,223671,0
"all;g4run;libG4event;0x0000000000068ea9",696132,0,0,0,0,0
"all;g4run;libG4event;0x0000000000069d83",2789697,7853443,2027563,2913352,1293416,0
"all;g4run;libG4event;0x0000000000069dac",698090,4378601,5439286,3034251,1541214,0
"all;g4run;libG4event;0x000000000006a41d",14653664,19534323,10862285,12863207,4269218,0
"all;g4run;libG4event;G4GeneralParticleSourceMessenger::SetNewValue",2095004,1049556,1356055,0,884378,0
"all;g4run;libG4event;0x0000000000069d87",20932882,24209395,30217244,14586580,8962486,0
"all;g4run;libG4event;0x0000000000068e3c",2793203,2202005,1389928,990067,1519656,0
"all;g4run;libG4event;0x000000000006a400",1396836,0,698049,472225,1141306,0
"all;g4run;libG4event;0x000000000006a404",3492159,4312189,1399402,480134,221673,0
"all;g4run;libG4event;0x0000000000068d83",9764716,29100113,10286579,6951366,3566761,0
"all;g4run;libG4event;G4SPSRandomGenerator::GenRandPosTheta@plt",698405,976768,0,354132,0,0
"all;g4run;libG4event;G4IonTable::GetIon@plt",19529720,27469434,15072297,14781370,5073852,0
"all;g4run;libG4event;0x0000000000068e20",0,1171696,0,0,0,0
"all;g4run;libG4event;0x0000000000069db3",0,0,684821,483735,0,0
"all;g4run;libG4event;0x0000000000068e24",17446038,19235483,8343165,8294742,4074257,0
"all;g4run;libG4event;std::unique_lock<std::mutex>::unlock",334193837,617479324,422256674,285603340,157743303,0
"all;g4run;libG4event;0x000000000006a426",0,1108434,0,0,0,0
"all;g4run;libG4event;0x0000000000069db6",6980631,7687516,4995101,3439932,1577410,0
"all;g4run;libG4event;0x0000000000068e40",0,0,0,998766,214971,0
"all;g4run;libG4event;0x0000000000068e28",6980381,10011974,7647992,7468843,3765799,0
"all;g4run;libG4event;0x0000000000068e43",1396265,1057492,654607,1461586,172814,0
"all;g4run;libG4event;0x0000000000068e44",22310955,36523625,22969556,12102665,8014299,0
"all;g4run;libG4event;G4EventManager::ProcessOneEvent",2090384,2146548,1365294,1465542,193016,0
"all;g4run;libG4event;0x000000000006a49d",5582703,3348617,1352119,1441059,655405,0
"all;g4run;libG4event;0x0000000000068e46",1395288,0,0,0,189430,0
"all;g4run;libstdc++",,,,,,
"all;g4run;libstdc++;std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_assign",0,0,0,507858,206677,0
"all;g4run;libstdc++;free@plt",697960,1112105,1383032,983804,0,0
"all;g4run;libstdc++;operator delete@plt",4186345,4120139,0,971344,1311968,0
"all;g4run;libstdc++;__cxxabiv1::__si_class_type_info::__do_dyncast",653243594,883731454,524401541,339642755,185116056,0
"all;g4run;libstdc++;std::_Rb_tree_decrement",0,1155229,0,0,0,0
"all;g4run;libstdc++;malloc@plt",1396796,1079468,1999991,1485994,228285,0
"all;g4run;libstdc++;strcmp@plt",0,1144485,0,1464943,230978,0
"all;g4run;libstdc++;memcpy@plt",0,0,0,479576,0,0
"all;g4run;libstdc++;__cxxabiv1::__vmi_class_type_info::__do_dyncast",693830,0,0,0,0,0
"all;g4run;libstdc++;std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::_M_insert_float<double>",698397,0,0,0,0,0
"all;g4run;libstdc++;std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_replace",698448,0,0,0,0,0
"all;g4run;libstdc++;std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_create",11169819,7598897,6039422,4678059,2176358,0
"all;g4run;libstdc++;operator new",47415465,42403468,22497954,19631612,5468626,0
"all;g4run;libstdc++;__dynamic_cast",1027674957,1347407053,777127509,502335894,293808077,0
"all;g4run;libstdc++;std::_Rb_tree_increment",112650340,15599201,13939214,8630773,1275950,0
"all;g4run;libstdc++;std::_Rb_tree_insert_and_rebalance",698459,0,680172,462495,453909,0
"all;g4run;libstdc++;std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::reserve",6279973,7773954,5421801,1460543,1899934,0
"all;g4run;libstdc++;__cxxabiv1::__class_type_info::__do_dyncast",82346116,93677623,54180910,34508650,19084369,0
"all;g4run;libstdc++;std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_append",2787697,1033886,660811,438436,0,0
"all;g4run;libstdc++;std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::compare",2095032,0,0,977410,0,0
"all;g4run;libstdc++;operator delete",14653691,12035965,8936359,6827004,4251715,0
"all;g4run;libG4vis_management",,,,,,
"all;g4run;libG4vis_management;G4VisCommandViewerList::SetNewValue",1396202,2088336,1305964,485588,0,0
"all;g4run;libG4track",,,,,,
"all;g4run;libG4track;G4ParticleChangeForMSC::CheckIt",233190352,348066544,178771532,142532167,52606798,0
"all;g4run;libG4track;G4ParticleChange::CheckIt",16040303,15729713,8849991,4192547,3689049,0
"all;g4run;libG4track;G4ParticleChangeForLoss::G4ParticleChangeForLoss",6979845,3203356,2082476,996907,1286908,0
"all;g4run;libG4track;G4ParticleChangeForGamma::CheckIt",698312,0,0,1466545,0,0
