id,cycles_ukP
"all;g4run;libG4event;G4GeneralParticleSourceMessenger::GetInstance",2095312
"all;g4run;libG4event;0x0000000000069d5a",6285265
"all;g4run;libG4event;G4GeneralParticleSourceData::~G4GeneralParticleSourceData",226236649
"all;g4run;libG4event;0x000000000006a495",3491519
"all;g4run;libG4event;0x0000000000069d7e",4888493
"all;g4run;libG4event;0x0000000000069d40",14663356
"all;g4run;libG4event;0x0000000000069d41",2094380
"all;g4run;libG4event;0x000000000006a499",41206382
"all;g4run;libG4event;0x0000000000069d44",4887396
"all;g4run;libG4event;0x0000000000069d46",698440
"all;g4run;libG4event;0x0000000000068d20",119413235
"all;g4run;libG4event;0x0000000000069d48",698423
"all;g4run;libG4event;0x0000000000068d24",46089408
"all;g4run;libG4event;0x0000000000068ea2",7681924
"all;g4run;libG4event;0x0000000000068d7d",5587204
"all;g4run;libG4event;0x0000000000068ea6",1396961
"all;g4run;libG4event;0x0000000000068d28",104742596
"all;g4run;libG4event;0x000000000006a4a7",203197716
"all;g4run;libG4event;0x0000000000069d83",1396463
"all;g4run;libG4event;0x0000000000069dac",4887686
"all;g4run;libG4event;0x000000000006a41d",7680701
"all;g4run;libG4event;G4GeneralParticleSourceMessenger::SetNewValue",2793547
"all;g4run;libG4event;0x0000000000069d87",16758447
"all;g4run;libG4event;0x0000000000068e3c",4189424
"all;g4run;libG4event;0x000000000006a400",698325
"all;g4run;libG4event;0x0000000000068d83",5585168
"all;g4run;libG4event;G4IonTable::GetIon@plt",9775990
"all;g4run;libG4event;0x0000000000069db3",1396549
"all;g4run;libG4event;0x0000000000068e24",13964201
"all;g4run;libG4event;std::unique_lock<std::mutex>::unlock",209474305
"all;g4run;libG4event;0x0000000000069db6",4889141
"all;g4run;libG4event;0x0000000000068e28",6983608
"all;g4run;libG4event;0x0000000000068e43",2793263
"all;g4run;libG4event;0x0000000000068e44",11872244
"all;g4run;libG4event;0x000000000006a49d",2095158
"all;g4run;libstdc++",
"all;g4run;libstdc++;std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_assign",698416
"all;g4run;libstdc++;free@plt",1396895
"all;g4run;libstdc++;operator delete@plt",4189765
"all;g4run;libstdc++;__cxxabiv1::__si_class_type_info::__do_dyncast",724236681
"all;g4run;libstdc++;std::_Rb_tree_decrement",698370
"all;g4run;libstdc++;malloc@plt",2793757
"all;g4run;libstdc++;strcmp@plt",1396584
"all;g4run;libstdc++;memcpy@plt",698366
"all;g4run;libstdc++;std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_create",7681622
"all;g4run;libstdc++;operator new",49577830
"all;g4run;libstdc++;__dynamic_cast",1192675962
"all;g4run;libstdc++;std::_Rb_tree_increment",49581811
"all;g4run;libstdc++;std::_Rb_tree_insert_and_rebalance",698380
"all;g4run;libstdc++;std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::reserve",6985289
"all;g4run;libstdc++;__cxxabiv1::__class_type_info::__do_dyncast",93564894
"all;g4run;libstdc++;std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_append",2793048
"all;g4run;libstdc++;std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::compare",698411
"all;g4run;libstdc++;operator delete",14663333
"all;g4run;libG4vis_management",
"all;g4run;libG4vis_management;G4VisCommandViewerList::SetNewValue",698410
"all;g4run;libG4track",
"all;g4run;libG4track;G4Track::G4Track",540008328
"all;g4run;libG4track;G4ParticleChangeForLoss::G4ParticleChangeForLoss",4889101
"all;g4run;libG4track;G4Track::SetAuxiliaryTrackInformation",110321601
"all;g4run;libG4track;G4ParticleChange::CheckIt",11173090
"all;g4run;libG4track;G4VParticleChange::DumpInfo",232806175
"all;g4run;libG4track;G4Step::GetDeltaEnergy",415466090
"all;g4run;libG4track;_GLOBAL__sub_I_G4ParticleChangeForGamma.cc",698320
"all;g4run;libG4track;0x00000000000116cf",6283113
"all;g4run;libG4track;G4ParticleChangeForLoss::operator=",131273795
"all;g4run;libG4track;0x000000000001155f",16059879
"all;g4run;libG4track;0x00000000000137d6",23042211
"all;g4run;libG4track;G4VParticleChange::~G4VParticleChange",81884770
"all;g4run;libG4track;std::vector<double, std::allocator<double> >::_M_realloc_insert<double const&>",194143447
"all;g4run;libG4track;_GLOBAL__sub_I_G4StepPoint.cc",13966366
"all;g4run;libG4track;G4VelocityTable::GetVelocityTable",25137590
"all;g4run;libG4track;G4VParticleChange::CheckIt",420305665
"all;g4run;libG4track;std::vector<G4Track const*, std::allocator<G4Track const*> >::_M_realloc_insert<G4Track const* const&>",1289762028
"all;g4run;libG4track;0x00000000000137d8",3491394
"all;g4run;libG4track;0x00000000000101f8",2793579
"all;g4run;libG4track;G4StepPoint::operator=",41202146
"all;g4run;libG4track;G4ParticleChangeForMSC::CheckIt",166198511
"all;g4run;libG4track;G4Step::GetSecondaryInCurrentStep",208791327
"all;g4run;libG4track;0x000000000000f3b4",7680603
"all;g4run;libG4track;0x00000000000116c7",37707418
"all;g4run;libG4track;G4ParticleChange::AddSecondary",53768412
"all;g4run;libG4track;G4ParticleChangeForMSC::DumpInfo",305845112
"all;g4run;libG4track;0x000000000000f483",698266
"all;g4run;libG4track;G4ParticleChangeForGamma::DumpInfo",2094580
"all;g4run;libG4track;0x00000000000101fa",9078982
"all;g4run;libG4track;0x00000000000137dc",2095183
"all;g4run;libG4track;G4ParticleChangeForMSC::Initialize",141742808
"all;g4run;libG4track;G4StepPoint::G4StepPoint",16061575
"all;g4run;libG4track;0x000000000000c62c",2095153
"all;g4run;libG4track;0x00000000000116cb",4189353
"all;g4run;libG4track;G4Step::G4Step",136162264
"all;g4run;libG4track;G4ParticleChange::DumpInfo",649398881
"all;g4run;libG4digits_hits",
"all;g4run;libG4digits_hits;G4VSensitiveDetector::Clone",2095076
"all;g4run;libG4digits_hits;G4VSensitiveDetector::~G4VSensitiveDetector",5065705911
"all;g4run;libG4geometry",
"all;g4run;libG4geometry;G4BooleanSolid::GetConstituentSolid",16759004
"all;g4run;libG4geometry;G4RKIntegrationDriver<G4DormandPrince745>::GetDerivatives@plt",64240729
"all;g4run;libG4geometry;G4TwistedTubs::BoundingLimits",2766197054
"all;g4run;libG4geometry;0x00000000001cc616",698169
"all;g4run;libG4geometry;0x00000000001fe2cd",698419
