id,value,prev,curr
"all;athena.py;libMinBiasScintillator;virtual thunk to MinBiasScintillatorSDTool::Gather()",2072971,2072971,0
"all;athena.py;libMinBiasScintillator;std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char*>",8303712,8303712,0
"all;athena.py;libMinBiasScintillator;memcpy@plt",18685549,18685549,0
"all;athena.py;libMinBiasScintillator;MinBiasScintillatorSD::BirkLaw",78922038,39448369,39473669
"all;athena.py;libMinBiasScintillator;MinBiasScintillatorSD::ProcessHits",1127545144,552330168,575214976
"all;athena.py;libMinBiasScintillator;AtlasHitsVector<TileHit>::AtlasHitsVector",2067798,0,2067798
"all;athena.py;libMinBiasScintillator;std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char*>@plt",4150879,0,4150879
"all;athena.py;libMinBiasScintillator;std::vector<TileHit, std::allocator<TileHit> >::_M_realloc_insert<TileHit>",10363212,2073377,8289835
"all;athena.py;libMinBiasScintillator;MinBiasScintillatorSD::BirkLaw@plt",4151975,2076925,2075050
"all;athena.py;libMinBiasScintillator;std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char const*>@plt",2074011,0,2074011
"all;athena.py;libMinBiasScintillator;strtol@plt",29078970,10387239,18691731
"all;athena.py;libMinBiasScintillator;std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_create@plt",16612406,16612406,0
"all;athena.py;libMinBiasScintillator;std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char const*>",31140885,31140885,0
"all;athena.py;libSGComps",,,
"all;athena.py;libSGComps;virtual thunk to ProxyProviderSvc::retrieveProxy(unsigned int const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, IProxyRegistry&)",2081290,0,2081290
"all;athena.py;libSGComps;SG::Folder::begin",2077061,2077061,0
"all;athena.py;libSGComps;std::_Rb_tree<SG::FolderItem, SG::FolderItem, std::_Identity<SG::FolderItem>, std::less<SG::FolderItem>, std::allocator<SG::FolderItem> >::_M_get_insert_unique_pos",4100649,2077450,2023199
"all;athena.py;libSGComps;ProxyProviderSvc::retrieveProxy",3865216,2073214,1792002
"all;athena.py;libTileSimEventTPCnv",,,
"all;athena.py;libTileSimEventTPCnv;std::vector<TileHit_p1, std::allocator<TileHit_p1> >::_M_default_append",4152463,0,4152463
"all;athena.py;libTileSimEventTPCnv;TileHitCnv_p1::transToPers",31069773,20751562,10318211
"all;athena.py;libLArSimEvent",,,
"all;athena.py;libLArSimEvent;operator delete@plt",8262714,8262714,0
"all;athena.py;libLArSimEvent;AthenaHitsVector<LArHit>::AthenaHitsVector",2074921,2074921,0
"all;athena.py;libLArSimEvent;LArHitContainer::~LArHitContainer",65171438,48637585,16533853
"all;athena.py;libHepMC",,,
"all;athena.py;libHepMC;std::_Rb_tree<int, std::pair<int const, int>, std::_Select1st<std::pair<int const, int> >, std::less<int>, std::allocator<std::pair<int const, int> > >::_M_copy<std::_Rb_tree<int, std::pair<int const, int>, std::_Select1st<std::pair<int const, int> >, std::less<int>, std::allocator<std::pair<int const, int> > >::_Alloc_node>@plt",2073014,0,2073014
"all;athena.py;libHepMC;std::_Rb_tree<int, std::pair<int const, int>, std::_Select1st<std::pair<int const, int> >, std::less<int>, std::allocator<std::pair<int const, int> > >::_M_erase",6217609,6217609,0
"all;athena.py;libHepMC;std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, unsigned long>, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, unsigned long> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, unsigned long> > >::_M_copy<std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, unsigned long>, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, unsigned long> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, unsigned long> > >::_Alloc_node>",14543481,0,14543481
"all;athena.py;libHepMC;HepMC::GenParticle::parent_event@plt",6217418,2072473,4144945
"all;athena.py;libHepMC;HepMC::GenParticle::~GenParticle",6197290,4131341,2065949
"all;athena.py;libHepMC;std::_Rb_tree<int, std::pair<int const, int>, std::_Select1st<std::pair<int const, int> >, std::less<int>, std::allocator<std::pair<int const, int> > >::operator=",4162518,0,4162518
"all;athena.py;libHepMC;HepMC::GenEvent::delete_all_vertices",18285374,10023464,8261910
"all;athena.py;libHepMC;HepMC::GenVertex::set_parent_event_",14532998,12459629,2073369
"all;athena.py;libHepMC;HepMC::GenParticle::set_end_vertex_",24312171,10364660,13947511
"all;athena.py;libHepMC;HepMC::GenParticle::set_production_vertex_",31038431,12401606,18636825
"all;athena.py;libHepMC;std::_Rb_tree<HepMC::GenVertex const*, std::pair<HepMC::GenVertex const* const, HepMC::GenVertex*>, std::_Select1st<std::pair<HepMC::GenVertex const* const, HepMC::GenVertex*> >, std::less<HepMC::GenVertex const*>, std::allocator<std::pair<HepMC::GenVertex const* const, HepMC::GenVertex*> > >::_M_erase",8292121,4147635,4144486
"all;athena.py;libHepMC;HepMC::Flow::~Flow",146272000,78388937,67883063
"all;athena.py;libHepMC;HepMC::Flow::Flow",14518270,8305549,6212721
