id,cycles,instructions,l2_itlb_misses,l2_dtlb_misses
"all;g4run;libG4tracking;G4AttValue::G4AttValue@plt",18145556,35675382,283,1119
"all;g4run;libG4tracking;std::vector<G4Track*, std::allocator<G4Track*> >::_M_realloc_insert<G4Track* const&>",27905765,37399741,858,24162
"all;g4run;libG4tracking;G4Track::~G4Track@plt",3489779,3297258,0,225
"all;g4run;libG4tracking;G4SteppingManager::Stepping@plt",0,1152032,0,0
"all;g4run;libG4physicslists",,,,
"all;g4run;libG4physicslists;G4PrecoProtonBuilder::G4PrecoProtonBuilder",698400,0,94,669
"all;g4run;libG4physicslists;G4PrecoProtonBuilder::SetMinEnergy",0,0,0,69
"all;g4run;libG4global",,,,
"all;g4run;libG4global;0x0000000000037cdf",0,0,60,0
"all;g4run;libG4global;std::vector<double, std::allocator<double> >::_M_fill_assign",696557,3304259,647,738
"all;g4run;libG4global;G4JTPolynomialSolver::QuadraticPolynomialIteration",9068198,13458302,3372,6661
"all;g4run;libG4global;strlen@plt",697981,0,325,236
"all;g4run;libG4global;0x00000000000564c8",6273266,16929805,553,957
"all;g4run;libG4global;0x0000000000036aae",0,0,63,0
"all;g4run;libG4global;G4ThreadLocalSingleton<G4GeometryTolerance>::G4ThreadLocalSingleton",46764303,60193375,4628,9913
"all;g4run;libG4global;G4SimpleIntegration::G4SimpleIntegration",0,0,307,477
"all;g4run;libG4global;G4JTPolynomialSolver::ComputeScalarFactors",8368459,6326472,1565,1942
"all;g4run;libG4global;G4coutDestination::ReceiveG4cerr@plt",0,0,57,0
"all;g4run;libG4global;std::__basic_file<char>::~__basic_file@plt",0,0,56,0
"all;g4run;libG4global;G4PhysicsLogVector::G4PhysicsLogVector",20241338,9429798,10740,14018
"all;g4run;libG4global;G4PhysicsVector::Retrieve",485075017,613161862,4497,73147
"all;g4run;libG4global;G4PhysicsVector::Store@plt",2094070,5437756,0,0
"all;g4run;libG4global;G4JTPolynomialSolver::ComputeFixedShiftPolynomial",9061725,7625441,3652,3260
"all;g4run;libG4global;G4coutDestination::ReceiveG4cerr_",697709,0,809,1809
"all;g4run;libG4global;std::_Rb_tree_decrement@plt",0,0,18,0
"all;g4run;libG4global;0x0000000000054995",9076150,3180331,0,595
"all;g4run;libG4global;0x0000000000038eda",0,0,56,0
"all;g4run;libG4global;G4ProfilerConfig<1ul>::GetPersistent<1>",71187369,99759412,1500,25186
"all;g4run;libG4global;0x0000000000054997",18150394,20957719,48,1458
"all;g4run;libG4global;0x0000000000038edf",697965,0,24,0
"all;g4run;libG4global;G4JTPolynomialSolver::ComputeNextPolynomial",3491630,1958622,325,0
"all;g4run;libG4global;0x00000000000564cc",2094322,4136784,101,1243
"all;g4run;libG4global;0x00000000000564ce",7675364,17905061,224,665
"all;g4run;libG4global;G4SimplexDownhill<G4ConvergenceTester>::initialize@plt",0,0,122,0
"all;g4run;libG4global;G4JTPolynomialSolver::QuadraticSyntheticDivision",0,0,19,0
"all;g4run;libG4global;G4SimpleIntegration::Gauss",2095217,1023338,481,398
"all;g4run;libG4global;G4Physics2DVector::CopyData",295210691,315335202,3156,40436
"all;g4run;libG4global;std::_Vector_base<std::vector<double, std::allocator<double> >*, std::allocator<std::vector<double, std::allocator<double> >*> >::~_Vector_base@plt",0,0,46,0
"all;g4run;libG4global;G4JTPolynomialSolver::Quadratic",13259108,17193233,6212,11070
"all;g4run;libG4global;G4ProfilerConfig<4ul>::GetPersistent<1>@plt",32106277,45197107,508,9615
"all;g4run;libG4global;G4SimpleIntegration::MidPoint",698426,0,419,219
"all;g4run;libG4global;G4Pow::G4Pow",86555522,85957245,13418,44356
"all;g4run;libG4global;G4Physics2DVector::BicubicInterpolation",667137310,875260111,6699,97192
"all;g4run;libG4global;G4Physics2DVector::Retrieve",63512306,138289471,3234,10758
"all;g4run;libG4global;std::ios_base::failure[abi:cxx11]::failure@plt",0,0,41,0
"all;g4run;libG4global;G4ProfilerConfig<0ul>::GetPersistent<2>",0,0,66,0
"all;g4run;libG4global;0x0000000000036ea9",695757,0,32,0
"all;g4run;libG4global;0x000000000005499e",20238592,26471874,48,2188
"all;g4run;libG4global;G4Physics2DVector::PutVectors",127674751,143310145,15584,24770
"all;g4run;libG4global;G4JTPolynomialSolver::FindRoots",29312631,24325492,14994,22001
"all;g4run;libG4global;G4JTPolynomialSolver::ComputeNewEstimate",695892,989883,125,375
"all;g4run;libG4global;operator<<",698419,0,0,283
"all;g4run;libG4global;G4Pow::A13High@plt",0,0,0,221
"all;g4run;libG4global;G4JTPolynomialSolver::RealPolynomialIteration",2793342,991001,238,703
"all;g4run;libG4global;G4ProfilerConfig<4ul>::GetPersistentFallback<0>@plt",0,0,615,409
"all;g4run;libG4global;0x0000000000036eae",0,0,86,0
"all;g4run;libG4global;G4PhysicsModelCatalog::Initialize",43960796,34160650,22073,25203
"all;g4run;libG4global;0x0000000000038ed6",0,0,37,0
"all;g4run;libG4global;G4SimpleIntegration::Trapezoidal",698449,0,688,403
"all;g4run;g4run",,,,
"all;g4run;g4run;CMSMagneticField::GetFieldValue",13432770396,23351237713,201710,1947357
"all;g4run;g4run;CLHEP::MixMaxRng::iterate@plt",0,0,110,0
"all;g4run;g4run;ffunkti",1118616841,1893649741,7641,153178
"all;g4run;g4run;CLHEP::MixMaxRng::flat",2093935,2315653,118,959
"all;g4run;g4run;PythiaPrimaryGeneratorAction::GeneratePrimaries",698390,0,0,250
"all;g4run;g4run;_init",698452,0,0,365
"all;g4run;libstdc++",,,,
"all;g4run;libstdc++;std::ostream::sentry::sentry",0,0,54,0
"all;g4run;libstdc++;std::__use_cache<std::__numpunct_cache<char> >::operator()",0,0,162,0
"all;g4run;libstdc++;operator new[]",698426,0,69,149
"all;g4run;libstdc++;std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_assign",698504,4997891,282,611
"all;g4run;libstdc++;free@plt",1395142,0,544,400
"all;g4run;libstdc++;operator delete@plt",4189627,2163047,3360,1809
"all;g4run;libstdc++;__cxxabiv1::__si_class_type_info::__do_dyncast",540157584,747509958,34056,88370
"all;g4run;libstdc++;std::_Rb_tree_decrement",0,0,78,187
"all;g4run;libstdc++;malloc@plt",696213,2303932,581,497
"all;g4run;libstdc++;strcmp@plt",698383,2271464,212,0
"all;g4run;libstdc++;memcpy@plt",0,0,0,124
"all;g4run;libstdc++;std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::_M_insert_float<double>",0,0,18,0
"all;g4run;libstdc++;__cxxabiv1::__vmi_class_type_info::__do_dyncast",698048,0,90,0
"all;g4run;libstdc++;std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_replace",6275067,6608644,140,139
"all;g4run;libstdc++;std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_create",13966541,7971458,957,6401
"all;g4run;libstdc++;operator new",50945032,36512636,16318,24866
"all;g4run;libstdc++;__dynamic_cast",822163408,1162307150,35031,107093
"all;g4run;libstdc++;__uselocale@plt",697619,0,0,0
"all;g4run;libstdc++;std::_Rb_tree_increment",72583972,16647190,941,116344
"all;g4run;libstdc++;std::_Rb_tree_insert_and_rebalance",698429,0,41,0
"all;g4run;libstdc++;operator new@plt",0,1136338,71,0
"all;g4run;libstdc++;std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_create@plt",1393871,1118057,46,603
"all;g4run;libstdc++;std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::reserve",4883092,5502602,877,1526
"all;g4run;libstdc++;__cxxabiv1::__class_type_info::__do_dyncast",60708714,73862947,8733,16872
"all;g4run;libstdc++;std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_append",0,0,48,722
"all;g4run;libstdc++;operator delete[]",0,0,51,221
"all;g4run;libstdc++;std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::compare",698406,2088647,576,3115
"all;g4run;libstdc++;operator delete",11863484,16972464,3152,7578
"all;g4run;libG4event",,,,
"all;g4run;libG4event;0x0000000000068db1",7673079,10628748,29,1453
"all;g4run;libG4event;0x0000000000069d4a",0,0,75,167
"all;g4run;libG4event;0x0000000000068e48",3491114,3130011,52,365
"all;g4run;libG4event;0x0000000000069d4c",0,0,0,255
"all;g4run;libG4event;0x0000000000069d4d",694082,4100776,263,1179
"all;g4run;libG4event;0x0000000000068db6",18142734,24818998,740,4909
"all;g4run;libG4event;0x0000000000068db8",25132926,55993188,407,1395
"all;g4run;libG4event;0x0000000000068d2b",697961,2151302,92,197
