id,instructions,uops_dispatched,uops_retired,de_dis_uop_queue_empty_di0,de_dis_uops_from_decoder_decoder_dispatched,de_dis_uops_from_decoder_opcache_dispatched
"all",,,,,,
"all;g4run",,,,,,
"all;g4run;libG4tracking;G4Region::GetRegionalSteppingAction@plt",12100200,19569962,3582288,1592675,14044641,3596798
"all;g4run;libG4tracking;G4SteppingManager::GetProcessNumber@plt",12776590,11997054,24025266,1172424,13944948,2637027
"all;g4run;libG4tracking;G4RichTrajectoryPoint::~G4RichTrajectoryPoint@plt",5668625,1319401,2611288,273378,0,913256
"all;g4run;libG4tracking;0x000000000002f809",1092178695,1257509774,1171694116,118447583,789389204,453312993
"all;g4run;libG4tracking;0x000000000002f7cd",1062290,2550625,2252876,446065,743590,1551593
"all;g4run;libG4tracking;0x000000000002f826",16548222,24936822,14261410,2151467,10820422,5617903
"all;g4run;libG4tracking;std::_Rb_tree<G4String, std::pair<G4String const, G4AttDef>, std::_Select1st<std::pair<G4String const, G4AttDef> >, std::less<G4String>, std::allocator<std::pair<G4String const, G4AttDef> > >::_M_get_insert_unique_pos@plt",1176843,3892668,0,369910,942523,1106537
"all;g4run;libG4tracking;0x000000000002f9a9",16094995,16275833,17837003,2276046,15271662,1149849
"all;g4run;libG4tracking;G4CountedObject<G4VTouchable>::Release@plt",1219203,1127673,3459668,267058,3601530,861011
"all;g4run;libG4tracking;0x000000000002f7ed",3039462,4962392,3906108,666216,4388657,901554
"all;g4run;libG4tracking;G4UserSteppingAction::UserSteppingAction",426691410,423839186,393656488,37521909,270356992,152289542
"all;g4run;libG4tracking;G4PropagatorInField::SetTrajectoryFilter@plt",17648465,13983362,16734036,936905,14781332,1790252
"all;g4run;libG4tracking;G4AttValue::G4AttValue@plt",22725432,23117486,23186487,2041694,13994634,5925907
"all;g4run;libG4tracking;std::vector<G4Track*, std::allocator<G4Track*> >::_M_realloc_insert<G4Track* const&>",27941173,41175572,26967485,10327391,39662854,555592
"all;g4run;libG4tracking;G4Track::~G4Track@plt",2170572,3746673,1040716,129529,1462708,0
"all;g4run;libG4tracking;G4SteppingManager::Stepping@plt",0,1208793,0,0,0,0
"all;g4run;libG4physicslists",,,,,,
"all;g4run;libG4physicslists;G4ProtonBuilder::G4ProtonBuilder",0,0,0,168882,0,0
"all;g4run;libG4physicslists;G4PrecoProtonBuilder::G4PrecoProtonBuilder",0,0,0,237476,0,0
"all;g4run;libG4global",,,,,,
"all;g4run;libG4global;0x0000000000037cdf",0,0,0,139821,0,0
"all;g4run;libG4global;std::vector<double, std::allocator<double> >::_M_fill_assign",0,2356605,0,233028,0,0
"all;g4run;libG4global;G4JTPolynomialSolver::QuadraticPolynomialIteration",6872801,5981182,8697065,2023196,8330784,1891950
"all;g4run;libG4global;strlen@plt",0,0,0,185112,0,0
"all;g4run;libG4global;0x00000000000564c8",2222961,4773133,3386159,458856,864120,3972590
"all;g4run;libG4global;G4ThreadLocalSingleton<G4GeometryTolerance>::G4ThreadLocalSingleton",68567611,71174412,79405051,11152527,57180807,20176347
"all;g4run;libG4global;G4SimpleIntegration::G4SimpleIntegration",1130317,0,0,223110,1658223,374372
"all;g4run;libG4global;G4JTPolynomialSolver::ComputeScalarFactors",6829476,4989045,2270237,650544,2536044,0
"all;g4run;libG4global;G4PhysicsLogVector::G4PhysicsLogVector",6374010,4940775,3639111,3907248,5139527,0
"all;g4run;libG4global;G4PhysicsVector::Retrieve",487190282,616951974,519169523,105432620,591718789,44303870
"all;g4run;libG4global;G4PhysicsVector::Store@plt",1020765,1285356,0,0,0,0
"all;g4run;libG4global;G4JTPolynomialSolver::ComputeFixedShiftPolynomial",3029164,2290369,5908773,1729619,7191782,1029248
"all;g4run;libG4global;G4coutDestination::ReceiveG4cerr_",0,0,0,317013,0,0
"all;g4run;libG4global;0x0000000000054995",7573707,3732743,4435519,941894,4380295,710867
"all;g4run;libG4global;G4ProfilerConfig<1ul>::GetPersistent<1>",88816058,96628573,106287153,12743070,75059646,40150472
"all;g4run;libG4global;0x0000000000054997",17142258,27088311,16929365,3137128,22325615,862884
"all;g4run;libG4global;0x0000000000038edf",0,0,0,0,0,428469
"all;g4run;libG4global;G4JTPolynomialSolver::ComputeNextPolynomial",0,2464889,2681014,333964,3558270,376616
"all;g4run;libG4global;0x00000000000564cc",0,1260485,0,505983,2732469,550932
"all;g4run;libG4global;0x00000000000564ce",2097761,5031018,2365744,482516,0,2898581
"all;g4run;libG4global;G4JTPolynomialSolver::QuadraticSyntheticDivision",954328,0,0,114475,0,0
"all;g4run;libG4global;G4SimpleIntegration::Gauss",0,1311478,1005501,140863,0,867736
"all;g4run;libG4global;G4JTPolynomialSolver::ComputeNextPolynomial@plt",0,0,0,0,548947,0
"all;g4run;libG4global;G4Physics2DVector::CopyData",291551027,354751530,306985647,65206971,347989195,18891549
"all;g4run;libG4global;std::_Vector_base<std::vector<double, std::allocator<double> >*, std::allocator<std::vector<double, std::allocator<double> >*> >::~_Vector_base@plt",0,0,1138876,122924,0,0
"all;g4run;libG4global;G4JTPolynomialSolver::Quadratic",13833064,7007286,8363122,2644757,13155455,708244
"all;g4run;libG4global;G4ProfilerConfig<4ul>::GetPersistent<1>@plt",44023484,54232862,70327914,4417222,31367868,17366716
"all;g4run;libG4global;G4SimpleIntegration::MidPoint",917600,2774425,0,246296,912014,423724
"all;g4run;libG4global;G4Pow::G4Pow",32403551,62530899,59555767,18352355,38027985,10709735
"all;g4run;libG4global;G4Physics2DVector::BicubicInterpolation",634641930,812652166,709144693,151458546,825933523,54756573
"all;g4run;libG4global;G4Physics2DVector::Retrieve",25812765,23167102,29010110,5927148,21211156,16059499
"all;g4run;libG4global;std::ios_base::failure[abi:cxx11]::failure@plt",0,0,0,0,879487,0
"all;g4run;libG4global;0x000000000005499e",22710529,25849752,26004954,4446977,25772462,2636168
"all;g4run;libG4global;G4Physics2DVector::PutVectors",78086417,84174535,74339672,13211539,43835264,40991674
"all;g4run;libG4global;0x0000000000036aa4",0,0,1031290,0,0,0
"all;g4run;libG4global;0x0000000000036aa8",0,0,0,0,0,244996
"all;g4run;libG4global;G4JTPolynomialSolver::FindRoots",8997587,24040888,18560593,4244308,12002175,4068544
"all;g4run;libG4global;G4JTPolynomialSolver::ComputeNewEstimate",986742,0,1044526,251342,878210,0
"all;g4run;libG4global;G4JTPolynomialSolver::RealPolynomialIteration",2112945,1221578,2550303,148322,0,846349
"all;g4run;libG4global;G4ProfilerConfig<4ul>::GetPersistentFallback<0>@plt",1092653,1302921,0,0,0,0
"all;g4run;libG4global;G4PhysicsModelCatalog::Initialize",9952463,19818012,9360157,9123550,15103356,581810
"all;g4run;libG4global;G4SimpleIntegration::Trapezoidal",0,1224507,1176453,366669,0,0
"all;g4run;g4run",,,,,,
"all;g4run;g4run;CMSMagneticField::GetFieldValue",23505200467,25910547571,25729192375,1847662590,12714439856,13123945668
"all;g4run;g4run;ffunkti",1203681836,1266169254,1307825305,49726075,576718889,634404634
"all;g4run;g4run;CLHEP::MixMaxRng::flat",2268407,0,2425090,0,1523558,0
"all;g4run;g4run;_init",0,0,0,0,0,1277958
"all;g4run;libstdc++",,,,,,
"all;g4run;libstdc++;operator new[]",0,0,0,118870,0,0
"all;g4run;libstdc++;free@plt",0,0,0,462679,0,364482
"all;g4run;libstdc++;std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_assign",1057875,0,1150638,267037,818424,521047
"all;g4run;libstdc++;operator delete@plt",3464119,0,0,1135919,831811,528837
"all;g4run;libstdc++;__cxxabiv1::__si_class_type_info::__do_dyncast",312584568,345648881,329473020,93053656,346256373,33668912
"all;g4run;libstdc++;malloc@plt",0,0,1341613,326682,814616,254587
"all;g4run;libstdc++;std::__num_base::_S_format_float",0,0,0,124158,0,0
"all;g4run;libstdc++;strcmp@plt",0,2454798,1328953,0,0,0
"all;g4run;libstdc++;std::use_facet<std::ctype<char> >",0,0,0,115279,0,0
"all;g4run;libstdc++;std::basic_streambuf<char, std::char_traits<char> >::xsputn",0,0,0,131164,0,0
"all;g4run;libstdc++;std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::_M_insert_float<double>",0,0,0,268466,0,0
"all;g4run;libstdc++;std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_replace",0,1367785,1100521,0,0,819852
"all;g4run;libstdc++;std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_create",1114354,1220514,5982522,1686043,6081962,0
"all;g4run;libstdc++;operator new",17180477,19764950,16773645,9240684,18433681,3533325
"all;g4run;libstdc++;__dynamic_cast",523561798,509493101,521272943,142209908,526139567,49669679
"all;g4run;libstdc++;std::_Rb_tree_increment",7825575,13929739,10112580,3402528,3077507,11489742
"all;g4run;libstdc++;std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::do_put",0,0,0,125260,0,0
"all;g4run;libstdc++;std::_Rb_tree_insert_and_rebalance",2207944,0,0,0,0,1201984
"all;g4run;libstdc++;operator new@plt",1158075,1229494,0,0,0,0
"all;g4run;libstdc++;std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::reserve",1772684,2472339,3427922,1738946,2918044,0
"all;g4run;libstdc++;__cxxabiv1::__class_type_info::__do_dyncast",35536530,42414529,38717155,10410826,33624588,3842682
"all;g4run;libstdc++;std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_append",1124703,0,1231079,494518,0,0
"all;g4run;libstdc++;std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::compare",0,1185882,0,155125,805259,292137
"all;g4run;libstdc++;operator delete",2347556,2358468,8178401,2437793,5028801,4606785
"all;g4run;libG4event",,,,,,
"all;g4run;libG4event;0x0000000000068db1",1105875,7453079,5953645,703237,6436291,1162274
"all;g4run;libG4event;0x0000000000068e48",1048516,4937030,1141614,382017,2268007,0
"all;g4run;libG4event;0x0000000000068e49",0,0,0,0,774240,0
"all;g4run;libG4event;0x0000000000069d4d",4131892,2560774,1187653,868408,1085264,0
"all;g4run;libG4event;0x0000000000068db6",10850986,15684791,6920912,2215664,18895042,3145816
"all;g4run;libG4event;0x0000000000068db8",33254099,31721016,40765889,2512392,26496449,6228074
"all;g4run;libG4event;0x0000000000068d2b",2152367,0,3587207,0,1717422,0
"all;g4run;libG4event;0x000000000006a4ab",0,0,0,0,0,155404
"all;g4run;libG4event;0x0000000000069d6b",4182488,3985279,0,0,2753106,343007
"all;g4run;libG4event;0x0000000000068eab",5550568,8461719,8404764,693466,7660733,874937
"all;g4run;libG4event;0x0000000000068d2f",2138252,7636762,6244485,536800,6314766,1793767
