id,instructions,L1_dcache_loads,L1_dcache_load_misses,L1_icache_load_misses
"all;g4run;libc;isalpha",5766650,814510,43885,8616
"all;g4run;libc;__sbrk",0,0,0,2446
"all;g4run;libc;__default_morecore@GLIBC_2.2.5",0,0,4957,395
"all;g4run;libc;_IO_no_init",0,873555,0,0
"all;g4run;libc;0x0000000000028594",13885805,10933295,951366,110204
"all;g4run;libc;__brk",0,0,15327,0
"all;g4run;libc;__strlen_avx2",627124033,336963946,11458900,2337835
"all;g4run;libc;__GI___lll_lock_wait",10413116,6400895,158293,25008
"all;g4run;libc;__new_exitfn",1526246,0,0,0
"all;g4run;libc;__mpn_divrem",0,0,0,5788
"all;g4run;libc;__mpn_construct_double",50481438,22309896,31364,29325
"all;g4run;libc;tolower",58960342,26544499,399797,36813
"all;g4run;libc;__cxa_atexit",0,0,21525,1497
"all;g4run;libc;__mpn_mul_1",66918450,26766702,20377,29696
"all;g4run;libc;__GI__IO_un_link.part.0",2034984,1835548,42796,14895
"all;g4run;libc;__mprotect",562658,0,122664,8605
"all;g4run;libc;__mpn_submul_1",0,985790,0,444
"all;g4run;libc;__GI___libc_open",2203659,0,3447,3293
"all;g4run;libc;__GI___libc_cleanup_push_defer",0,0,2743,0
"all;g4run;libc;_IO_setb",0,0,7828,2348
"all;g4run;libc;__strcmp_avx2",6989323844,3841834492,95712471,54994688
"all;g4run;libc;hack_digit",0,0,0,178
"all;g4run;libc;unlink_chunk.constprop.0",250324889,113457902,3065944,101861
"all;g4run;libc;_IO_file_close_it@@GLIBC_2.2.5",0,0,0,2638
"all;g4run;libc;__libc_alloca_cutoff",0,0,0,4038
"all;g4run;libc;__memmove_avx_unaligned_erms",1310829001,734796247,75398321,8418447
"all;g4run;libc;__memcmp_avx2_movbe",598731527,302026068,15156242,4005287
"all;g4run;libc;_IO_file_close",0,0,4015,0
"all;g4run;libc;__uselocale",0,2487736,49947,6006
"all;g4run;libc;__memset_avx2_unaligned_erms",12233207,5884619,260976,69655
"all;g4run;libc;_IO_file_finish@@GLIBC_2.2.5",0,0,2479,0
"all;g4run;libc;__GI___pthread_enable_asynccancel",0,975687,0,0
"all;g4run;libc;__mmap",0,0,10141,81
"all;g4run;libc;__vfprintf_internal",4521058,2577367,0,31104
"all;g4run;libc;_IO_file_open",0,0,0,1040
"all;g4run;libc;__strchrnul_avx2",0,0,0,12923
"all;g4run;libc;_IO_unsave_markers",0,0,2157,2816
"all;g4run;libc;__memchr_avx2",114902083,61253396,229398,240093
"all;g4run;libc;__strstr_sse2",0,0,13024,3288
"all;g4run;libc;pthread_once@GLIBC_2.2.5",23587245,8932400,90813,37813
"all;g4run;libc;_IO_default_finish",0,0,0,802
"all;g4run;libc;__memset_avx2_unaligned",1559791510,1127523673,87724226,2916939
"all;g4run;libc;__GI___printf_fp_l",9956303,3140200,0,40721
"all;g4run;libc;__strchr_avx2",0,0,3987,0
"all;g4run;libc;__errno_location",3793392,838333,0,7371
"all;g4run;libG4tracking",,,,
"all;g4run;libG4tracking;0x0000000000013db4",67561811,34971526,1393219,109266
"all;g4run;libG4tracking;0x0000000000013a40",662092,0,0,1805
"all;g4run;libG4tracking;0x0000000000013a44",313055300,189198605,20573902,969948
"all;g4run;libG4tracking;G4VSteppingVerbose::SetSilent",8180072500,4896999572,291482613,56880544
"all;g4run;libG4tracking;0x0000000000013f20",435623986,261396922,27934309,1714134
"all;g4run;libG4tracking;0x0000000000012fe0",951824,332748,53068,10130
"all;g4run;libG4tracking;0x0000000000013190",31590485,21967408,2812952,229179
"all;g4run;libG4tracking;0x0000000000013f24",124854381,71728100,5751000,451718
"all;g4run;libG4tracking;0x0000000000013194",54868288,37565897,4612884,496553
"all;g4run;libG4tracking;0x0000000000012fe4",136198930,75570684,13430188,1413445
"all;g4run;libG4tracking;G4SteppingManager::InvokeAtRestDoItProcs",1650204301,1099118228,86855837,12115775
"all;g4run;libG4tracking;G4Step::InitializeStep",25144289346,15285627863,1705089703,92981357
"all;g4run;libG4tracking;0x00000000000135c0",81205496,44655653,5170075,664998
"all;g4run;libG4tracking;0x00000000000135c4",310611362,207993444,20761293,923065
"all;g4run;libG4tracking;G4SteppingManager::Stepping",92351261268,57250729237,4171928142,405626784
"all;g4run;libG4tracking;0x0000000000013250",0,606732,114985,1774
"all;g4run;libG4tracking;0x0000000000013d50",43489950,22544851,2803122,205363
"all;g4run;libG4tracking;G4SteppingManager::SetInitialStep",19460744845,12710331117,1387414417,123103363
"all;g4run;libG4tracking;0x0000000000013254",863413546,510759859,37508783,5063485
"all;g4run;libG4tracking;0x0000000000013d54",60078998,43672860,5434658,361485
"all;g4run;libG4tracking;0x0000000000013270",273836524,167886846,25935126,1562888
"all;g4run;libG4tracking;0x0000000000013274",133160515,57228190,8952797,1148262
"all;g4run;libG4tracking;0x0000000000013ab0",11270968,1889526,515235,21497
"all;g4run;libG4tracking;G4SteppingManager::InvokePostStepDoItProcs",29595551370,17380751762,1128324314,116357283
"all;g4run;libG4tracking;0x0000000000013e10",18399641,8789592,760715,51858
"all;g4run;libG4tracking;0x0000000000013ab4",227821516,145056641,19084693,1232003
"all;g4run;libG4tracking;0x0000000000013e14",42030507,23054970,1643884,123480
"all;g4run;libG4tracking;0x00000000000136e0",1742958,581068,0,0
"all;g4run;libG4tracking;0x00000000000136e4",9515338,1798436,506447,53491
"all;g4run;libG4tracking;G4SteppingManager::GetProcessNumber",15728892437,8242389277,1141405071,129084812
"all;g4run;libG4tracking;G4Step::UpdateTrack",46800552847,27589352981,2033686519,177928951
"all;g4run;libG4tracking;G4SteppingManager::InvokeAlongStepDoItProcs",68629016545,41232633788,2018220594,142996293
"all;g4run;libG4tracking;G4SteppingManager::InvokePSDIP",105301609399,63808609839,4661618355,432938792
"all;g4run;libG4tracking;0x0000000000013d00",0,0,0,4049
"all;g4run;libG4tracking;0x0000000000013d04",108072240,49529231,8871835,469095
"all;g4run;libG4tracking;G4SteppingManager::DefinePhysicalStepLength",217606561037,133072101344,12877799590,814362550
"all;g4run;libG4tracking;0x0000000000013220",22625626,10915995,600034,130824
"all;g4run;libG4tracking;0x0000000000013224",302210216,172977963,8773276,2116394
"all;g4run;libG4tracking;0x0000000000013ea0",26012663,23850885,1981887,307076
"all;g4run;libG4tracking;0x0000000000013a90",0,680831,57281,0
"all;g4run;libG4tracking;0x0000000000013ea4",22468243,15919506,1561603,200410
"all;g4run;libG4tracking;0x0000000000013a94",11848412,9210126,849577,82867
"all;g4run;libG4tracking;0x00000000000131b0",3930502,645182,268058,28888
"all;g4run;libG4tracking;0x0000000000013b30",0,0,46985,4352
"all;g4run;libG4tracking;G4TrackingManager::ProcessOneTrack",7268690667,4704768649,469929698,54515419
"all;g4run;libG4tracking;0x0000000000013cb0",376419706,231502532,15597067,1586774
"all;g4run;libG4tracking;0x00000000000131b4",6440307,6311044,206029,34399
"all;g4run;libG4tracking;0x0000000000013b34",8016615,3115635,425429,51697
"all;g4run;libG4tracking;0x0000000000013cb4",608298340,347836756,32636025,2359563
"all;g4run;libG4tracking;0x00000000000131f0",5134392,6161498,259495,33670
"all;g4run;libG4tracking;0x00000000000131f4",8636073,4087110,104857,16224
"all;g4run;libG4tracking;0x0000000000013db0",2903703,5088805,208754,0
"all;g4run;libG4intercoms",,,,
"all;g4run;libG4intercoms;G4UIcommand::Yylex",0,0,0,360
"all;g4run;libG4intercoms;G4UIcontrolMessenger::G4UIcontrolMessenger",0,0,2258,0
"all;g4run;libG4intercoms;G4UIcommandTree::AddNewCommand",624413,294518,0,0
"all;g4run;libG4intercoms;0x0000000000012a04",0,0,0,4152
"all;g4run;libG4intercoms;G4UIparameter::SetDefaultValue",0,279365,19116,1392
"all;g4run;libG4intercoms;std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char*>",0,0,16736,2612
"all;g4run;libG4intercoms;G4UIcommandTree::~G4UIcommandTree",665126,0,0,0
"all;g4run;libG4intercoms;G4UImanager::GetUIpointer",0,0,3242,0
"all;g4run;libG4intercoms;G4UIcommand::G4UIcommand",0,176955,0,0
"all;g4run;libG4intercoms;0x00000000000120e4",0,0,87,0
"all;g4run;libG4intercoms;G4strstreambuf::overflow",0,879095,355,6304
"all;g4run;libG4intercoms;G4UIcommand::G4UIcommandCommonConstructorCode",0,0,0,1167
"all;g4run;libG4intercoms;G4UIcommandTree::RemoveCommand",986798,506891,55217,724
"all;g4run;libG4intercoms;G4UIcommand::~G4UIcommand",0,0,17159,0
"all;g4run;libG4intercoms;G4UImessenger::G4UImessenger",1288037,0,0,0
"all;g4run;libG4intercoms;std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char const*>",0,0,0,1116
"all;g4run;libG4intercoms;G4UImanager::fUImanager",0,0,0,138
"all;g4run;libG4intercoms;0x0000000000012aa4",0,0,0,2900
"all;g4run;libG4physicslists",,,,
"all;g4run;libG4physicslists;G4ProtonBuilder::Build",0,0,0,3758
"all;g4run;libG4physicslists;G4DecayPhysics::ConstructProcess",0,2146640,24915,0
"all;g4run;libG4physicslists;G4StoppingPhysics::ConstructProcess",0,1692881,67058,3086
"all;g4run;libG4physicslists;G4NeutronTrackingCut::ConstructProcess",1034585,0,0,0
"all;g4run;libG4physicslists;std::vector<G4ExcitedString*, std::allocator<G4ExcitedString*> >::_M_realloc_insert<G4ExcitedString* const&>",4957822,616428,191649,36438
"all;g4run;libG4physicslists;0x00000000000742c4",0,536905,0,0
"all;g4run;libG4physicslists;0x0000000000071924",837498,0,0,8026
"all;g4run;libG4physicslists;0x0000000000071704",4109235,0,0,0
"all;g4run;libG4clhep",,,,
"all;g4run;libG4clhep;0x00000000000255e0",538212479,364827382,35397274,3838113
"all;g4run;libG4clhep;engine",36664438,16555146,188983,80437
"all;g4run;libG4clhep;CLHEP::RandFlat::shoot",0,556019,0,7994
"all;g4run;libG4clhep;CLHEP::Hep3Vector::operator*=",1643001228,1026980741,133286897,4734710
"all;g4run;libG4clhep;0x00000000000255e4",91381006,65506774,4176059,781558
"all;g4run;libG4clhep;CLHEP::HepLorentzVector::beta",0,562684,50506,0
"all;g4run;libG4clhep;CLHEP::(anonymous namespace)::theDefaults",31675826737,19636458666,1368130733,170261103
"all;g4run;libG4clhep;CLHEP::MixMaxRng::fmodmulM61",0,262720,0,0
"all;g4run;libG4clhep;CLHEP::HepLorentzVector::operator()",0,567761,0,0
