id,cycles,ex_div_busy,ex_div_count
"all;g4run;libG4track;G4Step::GetDeltaEnergy",520880512,16531,2655
"all;g4run;libG4track;0x00000000000116cf",6978932,328,0
"all;g4run;libG4track;G4ParticleChangeForLoss::operator=",259662445,5648,1262
"all;g4run;libG4track;0x000000000001155f",18153563,468,0
"all;g4run;libG4track;0x00000000000137d6",35604413,834,22
"all;g4run;libG4track;G4VParticleChange::~G4VParticleChange",145177118,9653,1665
"all;g4run;libG4track;std::vector<double, std::allocator<double> >::_M_realloc_insert<double const&>",296700852,40916,768
"all;g4run;libG4track;G4ParticleChangeForGamma::CheckIt",698388,0,0
"all;g4run;libG4track;_GLOBAL__sub_I_G4StepPoint.cc",24423982,364,16
"all;g4run;libG4track;G4VelocityTable::GetVelocityTable",32103736,1713,55
"all;g4run;libG4track;G4VParticleChange::CheckIt",673174811,24273,3188
"all;g4run;libG4track;std::vector<G4Track const*, std::allocator<G4Track const*> >::_M_realloc_insert<G4Track const* const&>",1877693282,62136,8775
"all;g4run;libG4track;0x00000000000137d8",14660542,159,36
"all;g4run;libG4track;0x00000000000101f8",696888,0,0
"all;g4run;libG4track;G4StepPoint::operator=",50957450,570,225
"all;g4run;libG4track;G4ParticleChangeForMSC::CheckIt",205227215,11001,583
"all;g4run;libG4track;G4Step::GetSecondaryInCurrentStep",263156217,18495,685
"all;g4run;libG4track;0x000000000000f3b4",16752309,52,0
"all;g4run;libG4track;0x00000000000116c7",41871639,3064,118
"all;g4run;libG4track;G4ParticleChange::AddSecondary",87236814,3394,55
"all;g4run;libG4track;G4ParticleChangeForMSC::DumpInfo",471116828,16160,2008
"all;g4run;libG4track;0x000000000000f483",698547,0,0
"all;g4run;libG4track;G4ParticleChangeForGamma::DumpInfo",2095016,0,0
"all;g4run;libG4track;0x00000000000101fa",6283075,0,0
"all;g4run;libG4track;0x00000000000137dc",2793624,0,0
"all;g4run;libG4track;G4ParticleChangeForMSC::Initialize",180085002,4225,969
"all;g4run;libG4track;G4StepPoint::G4StepPoint",31415356,995,256
"all;g4run;libG4track;0x000000000000c62c",2790743,0,0
"all;g4run;libG4track;0x00000000000116cb",10474263,73,19
"all;g4run;libG4track;G4Step::G4Step",173793793,3255,327
"all;g4run;libG4track;G4ParticleChange::DumpInfo",893425769,30220,6532
"all;g4run;libG4digits_hits",,,
"all;g4run;libG4digits_hits;G4VSensitiveDetector::Clone",696347,0,16
"all;g4run;libG4digits_hits;G4VSensitiveDetector::~G4VSensitiveDetector",6282338433,254552,27404
"all;g4run;libG4geometry",,,
"all;g4run;libG4geometry;G4BooleanSolid::GetConstituentSolid",15356925,1224,0
"all;g4run;libG4geometry;G4RKIntegrationDriver<G4DormandPrince745>::GetDerivatives@plt",62120415,1801,184
"all;g4run;libG4geometry;G4TwistedTubs::BoundingLimits",1687870206,49608,6212
"all;g4run;libG4geometry;G4MagInt_Driver::AccurateAdvance",0,640,20
