cycles,instructions,ic_fetch_stall_ic_stall_any,ic_fetch_stall_ic_stall_dq_empty,ic_fetch_stall_ic_stall_back_pressure,ic_cache_fill_sys,comm,dso,symbol
1637614878,2350859766,847996767,91946928,128671887,9628064,"g4run","libG4particles.so","G4DynamicParticle::Set4Momentum"
1597241302,2202044571,804109573,43125072,145492303,9034979,"g4run","libG4processes.so","G4PairProductionRelModel::ComputeLPMfunctions"
1579797163,2226107050,907009536,31756592,410600935,9340511,"g4run","libG4processes.so","G4ParallelWorldScoringProcess::~G4ParallelWorldScoringProcess"
1578486689,2217775539,818847037,25648066,251111923,16485109,"g4run","libG4processes.so","G4VEmProcess::PostStepGetPhysicalInteractionLength"
1555529856,2086298424,867503499,17968044,386619579,10997838,"g4run","libG4processes.so","G4PenelopeRayleighModelMI::InitializeSamplingAlgorithm"
1539020497,2184166738,839622148,35111339,296898744,10582381,"g4run","libG4processes.so","G4CrossSectionDataStore::G4CrossSectionDataStore"
1532225183,1941108223,912307041,62686881,403652931,6366315,"g4run","libG4processes.so","std::vector<G4PairProductionRelModel::ElementData*, std::allocator<G4PairProductionRelModel::ElementData*> >::_M_fill_insert"
1525574815,2224120701,816935783,33346530,313648663,10057854,"g4run","libG4processes.so","G4ParallelWorldProcessStore::SetParallelWorld"
1518458911,2319650241,830809921,24391507,284095266,18786284,"g4run","libG4particles.so","G4ParticleDefinition::DumpTable"
1512730594,2426872906,788423838,44182887,354496770,20926135,"g4run","libG4particles.so","G4NucleiPropertiesTheoreticalTable::GetIndex"
1507582329,2428857164,768603297,15416547,376214750,9896223,"g4run","libG4processes.so","std::vector<G4String, std::allocator<G4String> >::emplace_back<char const*&>"
1503799120,2281611357,784081510,33693959,271392600,8042084,"g4run","libG4geometry.so","G4SubtractionSolid::DistanceToIn"
1501555707,2477133780,768668132,26189918,361746090,9922948,"g4run","libCLHEP-2.4.5.3.so","CLHEP::Hep3Vector::rotateUz"
1485543402,2138214160,754674986,67560064,144073850,9497423,"g4run","libG4processes.so","G4LorentzConvertor::rotate"
1481341950,1994548011,759682518,22064974,345778499,10801365,"g4run","libCLHEP-2.4.5.3.so","CLHEP::RandGaussQ::transformQuick"
1479336208,2464129778,685395748,70654698,143097360,7321969,"g4run","libG4processes.so","G4LightTargetCollider::AbsorptionOnDeuteron"
1449172217,2144653669,744113472,26852394,170447737,13673816,"g4run","libG4processes.so","std::vector<bool, std::allocator<bool> >::_M_fill_insert"
1431342399,2086529575,737523297,40775550,328285582,9151504,"g4run","libG4processes.so","G4LivermoreBremsstrahlungModel::ReadData"
1407156488,1943820768,720800825,125658919,112578034,14053037,"g4run","libstdc++.so.6.0.30","__dynamic_cast"
1397233370,2106962849,743580751,35035644,353281090,4480984,"g4run","libG4geometry.so","G4Box::SetYHalfLength"
1377333848,1881365283,737159101,26000371,257918140,9350343,"g4run","libG4processes.so","std::_Rb_tree<G4ParallelWorldProcess*, std::pair<G4ParallelWorldProcess* const, G4String>, std::_Select1st<std::pair<G4ParallelWorldProcess* const, G4String> >, std::less<G4ParallelWorldProcess*>, std::allocator<std::pair<G4ParallelWorldProcess* const, G4String> > >::_M_get_insert_unique_pos"
1375645120,2057696310,641864138,30894720,242260828,6892544,"g4run","libG4geometry.so","G4ExtrudedSolid::StreamInfo"
