cycles,ex_ret_brn,ex_ret_brn_misp,ex_ret_brn_tkn,ex_ret_brn_tkn_misp,ex_ret_brn_far,comm,dso,symbol
1175300079,280980716,3123315,177305491,2007720,17024,"g4run","libG4processes.so","std::_Rb_tree<G4ParallelWorldProcess*, std::pair<G4ParallelWorldProcess* const, G4String>, std::_Select1st<std::pair<G4ParallelWorldProcess* const, G4String> >, std::less<G4ParallelWorldProcess*>, std::allocator<std::pair<G4ParallelWorldProcess* const, G4String> > >::_M_get_insert_unique_pos"
1144748948,268433531,4072347,168633982,2691632,17351,"g4run","libG4processes.so","G4CrossSectionDataSetRegistry::Clean"
1144134818,285861197,3382389,194544304,2047600,17103,"g4run","libG4particles.so","G4LambdacPlus::Definition"
1140696086,228725820,1755679,141150619,1095628,15473,"g4run","libG4processes.so","std::vector<G4PairProductionRelModel::ElementData*, std::allocator<G4PairProductionRelModel::ElementData*> >::_M_fill_insert"
1118805829,197023708,3382526,125316880,1959386,15419,"g4run","libG4processes.so","G4PenelopeRayleighModelMI::InitializeSamplingAlgorithm"
1113106440,242466255,2568478,156610355,1636399,17516,"g4run","libG4processes.so","std::vector<G4String, std::allocator<G4String> >::emplace_back<char const*&>"
1094688726,259248162,2708273,156417088,1726121,16088,"g4run","libG4geometry.so","G4IntegrationDriver<G4TDormandPrince45<G4Mag_UsualEqRhs, 6u> >::OneGoodStep"
1057676895,251173587,2716511,166493792,1700280,15887,"g4run","libG4geometry.so","G4LogicalSurface::G4LogicalSurface"
1053769117,238984302,3127231,163906142,1916930,16557,"g4run","libG4processes.so","G4OpticalParametersMessenger::~G4OpticalParametersMessenger"
1050754685,256643406,3455722,166673890,2184586,16856,"g4run","libG4geometry.so","G4PolyhedraSide::IntersectSidePlane"
1043294983,263530929,4123732,173339279,2340627,18182,"g4run","libG4geometry.so","G4Paraboloid::SurfaceNormal"
1038880686,248578506,3505960,149372595,2179441,16320,"g4run","libG4processes.so","G4RKPropagation::Init"
1036570773,265499651,3468254,169834775,2250843,16553,"g4run","libCLHEP-2.4.5.3.so","CLHEP::operator/"
1019839088,233386680,1908923,156598440,1341125,12566,"g4run","libG4processes.so","std::vector<bool, std::allocator<bool> >::_M_fill_insert"
1004061901,243245272,3060472,156785828,1812794,16406,"g4run","libG4processes.so","G4ScoreSplittingProcess::AlongStepDoIt"
999329673,243459972,3137411,153820102,1925058,14552,"g4run","libG4particles.so","G4DynamicParticle::operator="
990805460,227617408,2242469,154279162,1405073,13246,"g4run","libG4geometry.so","G4NormalNavigation::ComputeStep"
987250338,242153354,2932874,159299670,1708301,14172,"g4run","libG4processes.so","G4NeutronInelasticXS::Initialise"
982238452,249841908,2398575,167007295,1486424,15223,"g4run","libCLHEP-2.4.5.3.so","CLHEP::HepRandom::getTheEngine"
960591522,226654221,2141832,142107690,1311900,12690,"g4run","libG4processes.so","G4HadronNucleonXsc::HadronNucleonXscPDG"
953036734,237435297,2487142,159593544,1430344,14816,"g4run","libG4processes.so","G4ParallelWorldScoringProcess::AlongStepGetPhysicalInteractionLength"
942919335,247800477,2380049,168506485,1417504,15546,"g4run","libG4geometry.so","G4RKIntegrationDriver<G4TDormandPrince45<G4Mag_UsualEqRhs, 6u> >::ComputeNewStepSize"
930591471,186539052,3965583,106581923,2195793,15210,"g4run","libG4geometry.so","G4VoxelSafety::SafetyForVoxelNode"
909839444,200156559,1640530,124672576,1149912,13213,"g4run","libG4tracking.so","G4SteppingManager::ProcessSecondariesFromParticleChange"
904412196,221790980,1923140,145998335,1361904,13148,"g4run","libG4geometry.so","G4Trap::SurfaceNormal"
888739479,226765986,2137934,153863460,1316494,13309,"g4run","libG4geometry.so","G4ParameterisedNavigation::LevelLocate"
867195271,235419897,2127200,153203356,1425151,13245,"g4run","libG4particles.so","G4DynamicParticle::Set4Momentum"
856173671,178700852,1033211,112093134,679055,11531,"g4run","libG4processes.so","G4PairProductionRelModel::InitialiseElementData"
855238394,195243405,2088121,132948207,1379351,11468,"g4run","libG4track.so","G4Track::G4Track"
852163186,201611713,1231762,129129883,832226,10779,"g4run","libG4processes.so","G4SBBremTable::LoadSTGrid"
