cycles,ex_div_busy,ex_div_count,comm,dso,symbol
307829156,14970,1209,"g4run","libG4processes.so","G4LossTableBuilder::BuildDEDXTable"
307108202,8774,1029,"g4run","libG4geometry.so","G4Cons::DistanceToIn"
306435533,8979,1314,"g4run","libG4processes.so","G4EmElementSelector::SelectRandomAtom"
305746354,21631,1666,"g4run","libG4geometry.so","G4MagneticField::G4MagneticField"
304330654,11986,821,"g4run","libG4processes.so","G4ParallelWorldScoringProcess::IsAtRestRequired"
304312319,12065,1094,"g4run","libG4geometry.so","G4Tubs::ApproxSurfaceNormal"
302956763,11478,842,"g4run","libG4processes.so","G4PEEffectFluoModel::G4PEEffectFluoModel"
302244060,10530,3625,"g4run","libG4processes.so","G4CascadeFunctions<G4CascadeKminusPChannelData, G4KaonSampler>::printTable"
301797469,18650,1096,"g4run","libG4geometry.so","G4FieldTrack::G4FieldTrack"
301530120,6951,2082,"g4run","libG4processes.so","G4GeneralPhaseSpaceDecay::G4GeneralPhaseSpaceDecay"
298066790,14907,1184,"g4run","libG4geometry.so","G4FSALBogackiShampine45::Stepper"
296700852,40916,768,"g4run","libG4track.so","std::vector<double, std::allocator<double> >::_M_realloc_insert<double const&>"
295955513,14977,1281,"g4run","libG4processes.so","G4Fancy3DNucleus::ReduceSum"
293162044,11399,863,"g4run","libG4global.so","G4PhysicsVector::Retrieve"
291745036,4928,1531,"g4run","libG4processes.so","G4NeutronElasticXS::Initialise"
286415487,8682,2172,"g4run","libG4processes.so","G4SauterGavrilaAngularDistribution::PrintGeneratorInformation"
284757797,16405,1196,"g4run","libG4geometry.so","operator<<"
282662223,12346,2049,"g4run","libG4processes.so","std::vector<G4InuclElementaryParticle, std::allocator<G4InuclElementaryParticle> >::~vector"
279878137,6326,653,"g4run","libG4particles.so","0x0000000000081316"
279861553,11634,1413,"g4run","libG4geometry.so","G4Trap::G4Trap"
277787831,3435,930,"g4run","libG4geometry.so","G4LogicalBorderSurface::DumpInfo"
277241891,8247,1347,"g4run","libG4processes.so","std::vector<unsigned long, std::allocator<unsigned long> >::operator="
275730214,8724,638,"g4run","libG4geometry.so","G4FieldTrack::G4FieldTrack"
274995082,12522,615,"g4run","libG4tracking.so","std::vector<G4String, std::allocator<G4String> >::_M_realloc_insert<char const*&>"
274317542,12795,1212,"g4run","libG4processes.so","G4ChipsPionPlusInelasticXS::GetChipsCrossSection"
274303638,8359,1341,"g4run","libG4geometry.so","G4BooleanSolid::StackPolyhedron"
265940949,6733,828,"g4run","libG4tracking.so","G4UserSteppingAction::UserSteppingAction"
264539738,10280,1223,"g4run","libG4geometry.so","G4PolyconeSide::DistanceAway"
263156217,18495,685,"g4run","libG4track.so","G4Step::GetSecondaryInCurrentStep"
262414101,5475,1089,"g4run","libG4processes.so","G4NonEquilibriumEvaporator::deExcite"
259662445,5648,1262,"g4run","libG4track.so","G4ParticleChangeForLoss::operator="
257551435,11284,7549,"g4run","libG4processes.so","G4NuclearPolarization::operator=="
256836681,8698,574,"g4run","libG4processes.so","G4ChipsProtonElasticXS::GetPTables"
256146679,5946,735,"g4run","libG4processes.so","G4ChipsKaonPlusElasticXS::~G4ChipsKaonPlusElasticXS"
249195797,9766,1584,"g4run","libG4processes.so","G4LossTableBuilder::GetBaseMaterialFlag"
244988880,8878,1585,"g4run","libG4geometry.so","G4PolyPhiFace::Intersect"
242921630,5751,903,"g4run","libG4processes.so","G4PAIySection::InitPAI"
235962126,4603,1412,"g4run","libG4geometry.so","G4SimpleLocator::EstimateIntersectionPoint"
235929170,11984,1053,"g4run","libG4processes.so","G4SBBremTable::BuildSamplingTables"
235213526,7312,1404,"g4run","libG4processes.so","G4NucleiModel::boundaryTransition"
234299297,4892,780,"g4run","libCLHEP-2.4.5.3.so","CLHEP::HepLorentzRotation::rotateZ"
233825673,9591,3175,"g4run","libG4processes.so","G4GeneralPhaseSpaceDecay::G4GeneralPhaseSpaceDecay"
233796066,10391,547,"g4run","libG4geometry.so","field_utils::relativeError@plt"
233574631,6751,689,"g4run","libG4processes.so","G4ComponentBarNucleonNucleusXsc::GetInelasticIsotopeCrossSection"
228940028,6583,893,"g4run","libG4processes.so","G4SBBremTable::ClearSamplingTables"
228918474,9539,972,"g4run","libG4processes.so","G4CascadeFunctions<G4CascadeNNChannelData, G4PionNucSampler>::getOutgoingParticleTypes"
228251133,4798,1430,"g4run","libG4processes.so","G4LossTableManager::Register"
227544936,7748,558,"g4run","libG4processes.so","G4LossTableManager::ResetParameters"
226832151,20297,1962,"g4run","libG4particles.so","G4DynamicParticle::AllocateElectronOccupancy"
225454933,7326,882,"g4run","libG4event.so","0x0000000000068e2c"
225430710,35998,622,"g4run","libG4geometry.so","G4LogicalSurface::~G4LogicalSurface"
224055415,32240,4977,"g4run","libG4processes.so","G4IntraNucleiCascader::decayTrappedParticle"
221252057,8141,892,"g4run","libG4particles.so","G4NucleiPropertiesTheoreticalTable::IsInTable"
219169622,5150,976,"g4run","libG4geometry.so","G4ChordFinderDelegate<G4IntegrationDriver<G4MagIntegratorStepper> >::FindNextChord"
219163326,6715,1413,"g4run","libG4geometry.so","std::vector<G4LogicalSkinSurface*, std::allocator<G4LogicalSkinSurface*> >::_M_realloc_insert<G4LogicalSkinSurface*>"
217110789,6506,369,"g4run","libG4geometry.so","G4PolyconeSide::G4PolyconeSide"
215686675,5269,923,"g4run","libCLHEP-2.4.5.3.so","CLHEP::HepLorentzRotation::rotateY"
215665616,16321,1411,"g4run","libG4processes.so","0x000000000093f725"
212886559,11093,1250,"g4run","libG4geometry.so","G4LogicalSkinSurface::~G4LogicalSkinSurface"
212211215,5493,785,"g4run","libG4event.so","0x0000000000068d20"
212189847,12890,665,"g4run","libG4processes.so","G4PhotoElectricEffect::InitialiseProcess"
211508280,8947,818,"g4run","libG4processes.so","G4IntraNucleiCascader::newCascade"
210775251,6852,519,"g4run","libG4tracking.so","G4UserLimits::SetMaxAllowedStep"
208673472,4110,728,"g4run","libG4geometry.so","G4Trap::operator="
208023062,12296,623,"g4run","libG4processes.so","G4LorentzConvertor::reflectionNeeded"
205227215,11001,583,"g4run","libG4track.so","G4ParticleChangeForMSC::CheckIt"
204514258,8911,1316,"g4run","libG4processes.so","G4VTransitionRadiation::PostStepDoIt"
204510441,5971,849,"g4run","libG4geometry.so","G4Paraboloid::Clone"
203829005,8618,3135,"g4run","libG4geometry.so","G4DisplacedSolid::BoundingLimits"
203114520,8069,1002,"g4run","libc.so.6","malloc"
202425631,3478,615,"g4run","libG4processes.so","G4CascadeFunctions<G4CascadeNPChannelData, G4PionNucSampler>::getOutgoingParticleTypes"
201005457,7310,764,"g4run","libG4processes.so","std::_Rb_tree<G4ParallelWorldProcess*, std::pair<G4ParallelWorldProcess* const, G4String>, std::_Select1st<std::pair<G4ParallelWorldProcess* const, G4String> >, std::less<G4ParallelWorldProcess*>, std::allocator<std::pair<G4ParallelWorldProcess* const, G4String> > >::_M_get_insert_hint_unique_pos"
200316695,4644,1415,"g4run","libG4processes.so","G4IntraNucleiCascader::preloadCascade"
198925435,5329,2023,"g4run","libG4particles.so","G4DynamicParticle::G4DynamicParticle"
198902640,7780,347,"g4run","libG4track.so","G4ParticleChange::AddSecondary"
197531811,12883,800,"g4run","libG4geometry.so","G4IntegrationDriver<G4TDormandPrince45<G4Mag_UsualEqRhs, 6u> >::AccurateAdvance"
196852182,6822,479,"g4run","libG4processes.so","G4EmCalculator::FindEnergyLossProcess"
196849079,26731,386,"g4run","libG4processes.so","G4CascadeFunctions<G4CascadePPChannelData, G4PionNucSampler>::getOutgoingParticleTypes"
196804014,3433,843,"g4run","libG4geometry.so","std::_Rb_tree<std::pair<G4VPhysicalVolume const*, G4VPhysicalVolume const*>, std::pair<std::pair<G4VPhysicalVolume const*, G4VPhysicalVolume const*> const, G4LogicalBorderSurface*>, std::_Select1st<std::pair<std::pair<G4VPhysicalVolume const*, G4VPhysicalVolume const*> const, G4LogicalBorderSurface*> >, std::less<std::pair<G4VPhysicalVolume const*, G4VPhysicalVolume const*> >, std::allocator<std::pair<std::pair<G4VPhysicalVolume const*, G4VPhysicalVolume const*> const, G4LogicalBorderSurface*> > >::_M_erase"
196142195,7629,2842,"g4run","libG4processes.so","G4NucleiModel::zoneIntegralWoodsSaxon"
195443533,4913,968,"g4run","libG4processes.so","G4PAIySection::SumOverBordPlasmon"
195431801,2639,1753,"g4run","libG4geometry.so","G4Navigator::CheckOverlapsIterative"
194118613,5752,321,"g4run","libG4geometry.so","G4PolyPhiFace::EarInit"
193318978,4714,640,"g4run","libG4processes.so","G4CascadeParamMessenger::SetNewValue"
191257519,11540,357,"g4run","libG4event.so","0x0000000000068d28"
191255771,3428,807,"g4run","libG4tracking.so","0x000000000002f7fb"
188469900,3816,963,"g4run","libG4processes.so","G4PAIySection::IntegralPlasmon"
187995577,9432,316,"g4run","libG4processes.so","G4LossTableManager::PreparePhysicsTable"
