cycles_ukP,comm,dso,symbol
855388201,"g4run","libG4processes.so","G4CrossSectionDataSetRegistry::Clean"
844433006,"g4run","libG4geometry.so","G4LogicalBorderSurface::GetSurface"
840542650,"g4run","libG4processes.so","std::_Rb_tree<G4ParallelWorldProcess*, std::pair<G4ParallelWorldProcess* const, G4String>, std::_Select1st<std::pair<G4ParallelWorldProcess* const, G4String> >, std::less<G4ParallelWorldProcess*>, std::allocator<std::pair<G4ParallelWorldProcess* const, G4String> > >::_M_get_insert_unique_pos"
837234363,"g4run","libG4processes.so","G4CascadeParameters::DumpConfig"
809291123,"g4run","libG4geometry.so","G4LogicalSurface::G4LogicalSurface"
806691631,"g4run","libG4geometry.so","G4ParameterisedNavigation::LevelLocate"
799695240,"g4run","libG4geometry.so","G4Tubs::SurfaceNormal"
796056311,"g4run","libG4geometry.so","G4MagErrorStepper::Stepper"
792537653,"g4run","libG4geometry.so","G4PolyPhiFace::Diagonal"
789060547,"g4run","libG4processes.so","G4IntraNucleiCascader::rescatter"
781764474,"g4run","libG4processes.so","G4IntraNucleiCascader::copyWoundedNucleus"
766304564,"g4run","libG4processes.so","G4VEmProcess::PostStepGetPhysicalInteractionLength"
751334797,"g4run","libG4processes.so","G4ComponentBarNucleonNucleusXsc::LoadData"
749435657,"g4run","libG4geometry.so","G4PolyhedraSide::Normal"
748627711,"g4run","libG4processes.so","G4ITMultiNavigator::GetGlobalExitNormal"
745819367,"g4run","libG4processes.so","G4ScoreSplittingProcess::AtRestDoIt"
726916560,"g4run","libG4processes.so","G4ParallelWorldScoringProcess::AlongStepGetPhysicalInteractionLength"
725895017,"g4run","libG4processes.so","G4CascadeFunctions<G4CascadeKminusPChannelData, G4KaonSampler>::getMultiplicity"
724236681,"g4run","libstdc++.so.6.0.30","__cxxabiv1::__si_class_type_info::__do_dyncast"
713646065,"g4run","libCLHEP-2.4.5.3.so","CLHEP::RandGaussQ::transformQuick"
711345589,"g4run","libG4processes.so","G4IntraNucleiCascader::collide"
