instructions,L1_dcache_loads,L1_dcache_load_misses,L1_icache_load_misses,comm,dso,symbol
26393733586,16744794335,1268911245,194145770,"g4run","libG4clhep.so","CLHEP::MixMaxRng::generate"
26154966660,18058434421,1312214250,22884462,"g4run","libG4geometry.so","G4FieldTrack::LoadFromArray"
25608686908,18974872098,1397402848,279184356,"g4run","libG4event.so","G4EventManager::DoProcessing"
24941533338,14905614377,1654139388,85513511,"g4run","libG4tracking.so","G4Step::InitializeStep"
24853086472,16801123171,1741559694,98115830,"g4run","libG4geometry.so","G4PolyconeSide::DistanceAway"
24637945448,13754289970,1027861655,44349934,"g4run","libG4geometry.so","G4SubtractionSolid::Inside"
24284240937,15664963316,1609625027,96105900,"g4run","libG4geometry.so","G4NormalNavigation::LevelLocate"
24051024719,13847079555,1039585507,155600932,"g4run","libG4processes.so","G4ProcessManager::StartTracking"
24048914355,12873514430,321248542,313005279,"g4run","libG4processes.so","G4InuclSpecialFunctions::G4cbrt"
24009169489,11486277930,496473707,27154000,"g4run","libm.so.6","__ieee754_pow_fma"
23363289673,12934506735,346121097,17344127,"g4run","libG4geometry.so","G4PolyPhiFace::Distance"
22944642994,12980942713,462609115,201328994,"g4run","libG4particles.so","G4NucleiPropertiesTableAME12::GetIndex"
22698849419,11831149098,389840225,103939650,"g4run","libG4processes.so","G4VEnergyLossProcess::PostStepDoIt"
22308387133,14183152296,1571197617,144636310,"g4run","libG4tracking.so","G4SteppingManager::SetInitialStep"
21575473975,16171118395,1245425760,145937957,"g4run","libG4processes.so","G4ProcessManager::EndTracking"
21157374433,13615156529,1618835556,114561546,"g4run","libG4processes.so","G4VMultipleScattering::AlongStepGetPhysicalInteractionLength"
20720909893,11851234967,258178908,150742978,"g4run","libG4particles.so","G4Proton::Definition"
20578176829,13045684367,59454196,163263086,"g4run","libG4processes.so","G4NucleiModel::generateInteractionLength"
20425080475,13632351437,902302596,139921821,"g4run","libG4processes.so","G4VEmProcess::StartTracking"
19855313636,11982236948,871595414,105339289,"g4run","libG4clhep.so","CLHEP::Hep3Vector::rotateUz"
19139706252,7925316011,140640860,105699546,"g4run","libG4processes.so","G4LorentzConvertor::fillKinematics"
19005969878,9916971445,244458944,192429362,"g4run","libG4processes.so","G4InuclParticle::setMomentum"
18920778869,11766725292,986155612,118370596,"g4run","libG4processes.so","G4VProcess::SubtractNumberOfInteractionLengthLeft"
18828429770,13458210877,1530417368,188076035,"g4run","libG4processes.so","G4VCrossSectionDataSet::IsIsoApplicable"
18603410308,12887829331,832858511,90870868,"g4run","libG4processes.so","G4SauterGavrilaAngularDistribution::SampleDirection"
18515697935,8888244352,1376294946,172259127,"g4run","libG4processes.so","G4HadronElastic::ApplyYourself"
18234171258,10344863172,246860981,134274248,"g4run","libG4particles.so","G4Neutron::Definition"
18114270683,11408812635,995685306,47736237,"g4run","libG4geometry.so","G4NavigationHistory::G4NavigationHistory"
18105687443,12015698478,1065299148,136090255,"g4run","libG4processes.so","G4Poisson"
17705283772,12093412144,728933442,108719254,"g4run","libG4track.so","G4Track::~G4Track"
17646783852,9937032611,518788101,66281192,"g4run","libG4track.so","G4ParticleChangeForLoss::UpdateStepForAlongStep"
17533987568,9430424238,344432452,69084857,"g4run","libG4processes.so","G4UniversalFluctuation::SampleFluctuations"
17424194625,10946120102,801585669,97348398,"g4run","libG4clhep.so","CLHEP::HepRandom::getTheEngine"
17142222680,10556785737,844291409,80285030,"g4run","libG4clhep.so","CLHEP::RandGaussQ::transformQuick"
16891586243,8992505589,265439031,40968504,"g4run","libG4processes.so","G4VMultipleScattering::AlongStepDoIt"
16460584879,10747197965,1100304892,90707385,"g4run","libG4geometry.so","G4FieldManagerStore::ClearAllChordFindersState"
16043158569,9518315736,885201748,94616056,"g4run","libG4track.so","G4StepPoint::operator="
15933596125,10302468048,925953182,101941510,"g4run","libG4clhep.so","CLHEP::MixMaxRng::MULWU"
15933205849,9012534712,637217098,24776202,"g4run","libG4geometry.so","G4PolyhedraSide::ClosestPhiSegment"
15846271929,9329196724,1029364036,118245349,"g4run","libG4processes.so","G4HadronElasticProcess::PostStepDoIt"
15534351251,9083127122,219407671,17996740,"g4run","g4run","ffunkti"
15223883169,8146174582,1085047090,116792551,"g4run","libG4tracking.so","G4SteppingManager::GetProcessNumber"
14947497787,7029756549,253326088,136116159,"g4run","libG4processes.so","G4LorentzConvertor::setBullet"
14902349709,9087494911,293237171,15676219,"g4run","libG4geometry.so","G4PolyPhiFace::Intersect"
14755464383,10267603207,805393081,87149241,"g4run","libG4particles.so","G4ParticleDefinition::GetProcessManager"
14492817940,9545763300,959128238,28409745,"g4run","libG4geometry.so","G4Tubs::DistanceToOut"
14482449982,9308231394,881202615,61760196,"g4run","libG4geometry.so","G4Tubs::Inside"
14344631306,9164934885,1091642252,28141164,"g4run","libG4geometry.so","G4Tubs::DistanceToOut"
14315138042,8868301520,322361975,44957049,"g4run","libG4geometry.so","G4MultiLevelLocator::EstimateIntersectionPoint"
14240061589,10283712089,1180635723,56894102,"g4run","libG4geometry.so","G4IntegrationDriver<G4TDormandPrince45<G4Mag_UsualEqRhs, 6u> >::AdvanceChordLimited"
14006275189,7322429005,584184847,86501560,"g4run","libG4processes.so","G4VMultipleScattering::StartTracking"
13989577387,9302864819,1021666466,55322906,"g4run","libG4geometry.so","G4Navigator::ComputeSafety"
13890677040,9654312999,752001763,77534019,"g4run","libG4processes.so","G4LivermorePhotoElectricModel::SampleSecondaries"
13701606794,10011741672,1028570955,104850021,"g4run","libG4processes.so","G4UrbanMscModel::ComputeTheta0"
13530733423,7791559805,196338181,160320233,"g4run","libG4particles.so","G4DynamicParticle::Set4Momentum"
13138120679,8034795781,303734267,19446537,"g4run","libG4geometry.so","G4VCSGfaceted::DistanceToOut"
13120356026,7170991478,163429516,85839439,"g4run","libstdc++.so.6.0.30","__dynamic_cast"
13041544239,4319013962,614409,410902,"g4run","libG4processes.so","G4ElasticHadrNucleusHE::HadrNucDifferCrSec"
12752645943,8544423706,1053054945,95020267,"g4run","libG4global.so","G4Physics2DVector::Value"
12737316541,8271553825,1004158774,95289465,"g4run","libG4processes.so","G4SeltzerBergerModel::SampleEnergyTransfer"
12710014215,7722341421,857778774,41612298,"g4run","libG4geometry.so","G4NormalNavigation::ComputeSafety"
12598150806,10374378180,958737416,52171680,"g4run","libG4geometry.so","G4TDormandPrince45<G4Mag_UsualEqRhs, 6u>::DistChord"
12492441013,8237197179,678941215,69925453,"g4run","libG4clhep.so","CLHEP::MixMaxRng::flatArray"
12401035156,8246871425,624231251,155398953,"g4run","libG4geometry.so","G4Navigator::ResetHierarchyAndLocate"
12259921092,7043419279,633850337,27957067,"g4run","libG4processes.so","G4Transportation::PostStepGetPhysicalInteractionLength"
12170942141,7580673924,1218448873,70398029,"g4run","libG4geometry.so","G4PropagatorInField::FindAndSetFieldManager"
11963151149,7665556001,861653323,49321961,"g4run","libG4processes.so","G4CrossSectionDataStore::SampleZandA"
11962083638,6945372275,190995510,100322756,"g4run","libG4clhep.so","CLHEP::operator/"
11924865224,8662562241,1028759861,111962284,"g4run","libG4event.so","G4StackManager::PushOneTrack"
11922566130,7865237806,240514007,90665150,"g4run","libG4processes.so","G4CascadeCheckBalance::collide"
11869232061,8196915306,924907748,117663299,"g4run","libG4processes.so","G4ElectroNuclearCrossSection::IsElementApplicable"
11776367069,6957486242,120253910,88969266,"g4run","libG4processes.so","G4NucleiModel::generateInteractionPartners"
