comm,dso,symbol,cycles,instructions,branches,branch_misses
"g4run","libpythia8.so","std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Pythia8::Parm>, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Pythia8::Parm> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Pythia8::Parm> > >::_M_get_insert_hint_unique_pos",408305,0,0,0
"g4run","libG4physicslists.so","G4EmBuilder::ConstructCharged",405609,0,0,0
"g4run","libG4persistency.so","std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<std::allocator<char> >",395110,0,0,0
"g4run","libG4processes.so","_GLOBAL__sub_I_G4CascadeKzeroNChannel.cc",394464,0,0,0
"g4run","libG4processes.so","_GLOBAL__sub_I_G4CascadeLambdaNChannel.cc",392535,0,0,0
"g4run","libG4global.so","G4UnitsTable::Synchronize",388653,0,0,0
"g4run","libpythia8.so","Pythia8::StringRegion::setUp",387324,588064,275458,5803
"g4run","libG4geometry.so","G4LogicalVolume::InitialiseWorker",385557,3359020,812870,3102
"g4run","libpythia8.so","std::vector<Pythia8::Particle, std::allocator<Pythia8::Particle> >::_M_realloc_insert<Pythia8::Particle>",385379,665945,0,0
"g4run","libpythia8.so","Pythia8::StringPT::pxyGauss",383747,0,303198,0
"g4run","libG4intercoms.so","std::vector<G4ApplicationState, std::allocator<G4ApplicationState> >::_M_realloc_insert<G4ApplicationState>",382155,0,0,0
"g4run","libpythia8.so","Pythia8::PDF::xfVal",378316,3359457,633227,10894
"g4run","libG4processes.so","G4FTFSettingDefaultHDP::G4FTFSettingDefaultHDP",378156,246039,0,0
"g4run","libG4clhep.so","CLHEP::MixMaxRng::fmodmulM61",377585,355307,110357,1461
"g4run","libG4intercoms.so","G4UIcmdWithoutParameter::G4UIcmdWithoutParameter",376901,0,0,1992
"g4run","libG4processes.so","std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, double const>, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, double const> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, double const> > >::find",376041,710982,0,2886
